pose_label,J1,J2,J3,J4,J5,J6,Speed,Acceleration
front_mid_wrist_a,0,45,-60,-35,45,-45,300,150
front_mid_wrist_b,0,45,-60,35,45,45,300,150
front_mid_wrist_c,0,45,-60,0,25,0,300,150
left_mid_wrist_a,90,45,-60,-35,45,-45,300,150
left_mid_wrist_b,90,45,-60,35,45,45,300,150
left_mid_wrist_c,90,45,-60,0,25,0,300,150
back_mid_wrist_a,180,45,-60,-35,45,-45,300,150
back_mid_wrist_b,180,45,-60,35,45,45,300,150
back_mid_wrist_c,180,45,-60,0,25,0,300,150
right_mid_wrist_a,270,45,-60,-35,45,-45,300,150
right_mid_wrist_b,270,45,-60,35,45,45,300,150
right_mid_wrist_c,270,45,-60,0,25,0,300,150
front_high_wrist_a,0,70,-20,-30,20,-50,300,150
front_high_wrist_b,0,70,-20,30,20,50,300,150
left_high_wrist_a,90,70,-20,-30,20,-50,300,150
left_high_wrist_b,90,70,-20,30,20,50,300,150
back_high_wrist_a,180,70,-20,-30,20,-50,300,150
back_high_wrist_b,180,70,-20,30,20,50,300,150
right_high_wrist_a,270,70,-20,-30,20,-50,300,150
right_high_wrist_b,270,70,-20,30,20,50,300,150
front_low_wrist_a,0,25,-90,-30,65,-40,300,150
left_low_wrist_b,90,25,-90,30,65,40,300,150
back_low_wrist_a,180,25,-90,-30,65,-40,300,150
right_low_wrist_b,270,25,-90,30,65,40,300,150
