pose_label,J1,J2,J3,J4,J5,J6,Speed,Acceleration
front_mid_roll_n60,0,45,-60,-35,45,-60,220,100
front_mid_roll_p60,0,45,-60,35,45,60,220,100
front_high_pitch_n45,0,70,-25,-45,20,-45,220,100
front_high_pitch_p45,0,70,-25,45,20,45,220,100
front_low_yaw_n30,0,25,-90,-35,65,-30,220,100
front_low_yaw_p30,0,25,-90,35,65,30,220,100
front_folded_twist_n60,0,55,-100,-45,75,-60,220,100
front_folded_twist_p60,0,35,-75,45,55,60,220,100
diag_fl_mid_roll_n60,45,45,-60,-35,45,-60,220,100
diag_fl_mid_roll_p60,45,45,-60,35,45,60,220,100
diag_fl_high_pitch_n45,45,70,-25,-45,20,-45,220,100
diag_fl_high_pitch_p45,45,70,-25,45,20,45,220,100
diag_fl_low_yaw_n30,45,25,-90,-35,65,-30,220,100
diag_fl_low_yaw_p30,45,25,-90,35,65,30,220,100
diag_fl_folded_twist_n60,45,55,-100,-45,75,-60,220,100
diag_fl_folded_twist_p60,45,35,-75,45,55,60,220,100
left_mid_roll_n60,90,45,-60,-35,45,-60,220,100
left_mid_roll_p60,90,45,-60,35,45,60,220,100
left_high_pitch_n45,90,70,-25,-45,20,-45,220,100
left_high_pitch_p45,90,70,-25,45,20,45,220,100
left_low_yaw_n30,90,25,-90,-35,65,-30,220,100
left_low_yaw_p30,90,25,-90,35,65,30,220,100
left_folded_twist_n60,90,55,-100,-45,75,-60,220,100
left_folded_twist_p60,90,35,-75,45,55,60,220,100
diag_lb_mid_roll_n60,135,45,-60,-35,45,-60,220,100
diag_lb_mid_roll_p60,135,45,-60,35,45,60,220,100
diag_lb_high_pitch_n45,135,70,-25,-45,20,-45,220,100
diag_lb_high_pitch_p45,135,70,-25,45,20,45,220,100
diag_lb_low_yaw_n30,135,25,-90,-35,65,-30,220,100
diag_lb_low_yaw_p30,135,25,-90,35,65,30,220,100
diag_lb_folded_twist_n60,135,55,-100,-45,75,-60,220,100
diag_lb_folded_twist_p60,135,35,-75,45,55,60,220,100
back_mid_roll_n60,180,45,-60,-35,45,-60,220,100
back_mid_roll_p60,180,45,-60,35,45,60,220,100
back_high_pitch_n45,180,70,-25,-45,20,-45,220,100
back_high_pitch_p45,180,70,-25,45,20,45,220,100
back_low_yaw_n30,180,25,-90,-35,65,-30,220,100
back_low_yaw_p30,180,25,-90,35,65,30,220,100
back_folded_twist_n60,180,55,-100,-45,75,-60,220,100
back_folded_twist_p60,180,35,-75,45,55,60,220,100
diag_br_mid_roll_n60,225,45,-60,-35,45,-60,220,100
diag_br_mid_roll_p60,225,45,-60,35,45,60,220,100
diag_br_high_pitch_n45,225,70,-25,-45,20,-45,220,100
diag_br_high_pitch_p45,225,70,-25,45,20,45,220,100
diag_br_low_yaw_n30,225,25,-90,-35,65,-30,220,100
diag_br_low_yaw_p30,225,25,-90,35,65,30,220,100
diag_br_folded_twist_n60,225,55,-100,-45,75,-60,220,100
diag_br_folded_twist_p60,225,35,-75,45,55,60,220,100
right_mid_roll_n60,270,45,-60,-35,45,-60,220,100
right_mid_roll_p60,270,45,-60,35,45,60,220,100
right_high_pitch_n45,270,70,-25,-45,20,-45,220,100
right_high_pitch_p45,270,70,-25,45,20,45,220,100
right_low_yaw_n30,270,25,-90,-35,65,-30,220,100
right_low_yaw_p30,270,25,-90,35,65,30,220,100
right_folded_twist_n60,270,55,-100,-45,75,-60,220,100
right_folded_twist_p60,270,35,-75,45,55,60,220,100
diag_rf_mid_roll_n60,315,45,-60,-35,45,-60,220,100
diag_rf_mid_roll_p60,315,45,-60,35,45,60,220,100
diag_rf_high_pitch_n45,315,70,-25,-45,20,-45,220,100
diag_rf_high_pitch_p45,315,70,-25,45,20,45,220,100
diag_rf_low_yaw_n30,315,25,-90,-35,65,-30,220,100
diag_rf_low_yaw_p30,315,25,-90,35,65,30,220,100
diag_rf_folded_twist_n60,315,55,-100,-45,75,-60,220,100
diag_rf_folded_twist_p60,315,35,-75,45,55,60,220,100
