elapsed_s,tcp_x_m,tcp_y_m,tcp_z_m,tcp_rx_deg,tcp_ry_deg,tcp_rz_deg,rb_raw_x_m,rb_raw_y_m,rb_raw_z_m,rb_qx,rb_qy,rb_qz,rb_qw,rb_aligned_x_m,rb_aligned_y_m,rb_aligned_z_m,mocap_age_ms,error_mm
0.0009,0.007269,-0.256936,1.32996,0.7817,-0.0113,179.943,-0.529391,2.137138,-0.477489,-0.013071,-0.021105,0.029052,-0.99927,0.048216,-0.273451,1.324425,-2.694,44.4982
0.1401,0.00742,-0.256648,1.330009,0.7581,-0.0025,179.9385,-0.529266,2.137177,-0.477368,-0.012971,-0.020455,0.028919,-0.999288,0.048268,-0.273285,1.324465,5.339,44.4533
0.2522,0.007825,-0.255879,1.330138,0.6948,0.0212,179.9263,-0.528844,2.137249,-0.476858,-0.011059,-0.020761,0.028028,-0.99933,0.048534,-0.272679,1.324536,0.733,44.3949
0.3523,0.008401,-0.254784,1.33032,0.6045,0.0549,179.9089,-0.527868,2.137321,-0.475602,-0.012174,-0.019352,0.029366,-0.999307,0.049214,-0.27124,1.324602,0.994,44.376
0.4576,0.009232,-0.253203,1.330577,0.4741,0.1034,179.8837,-0.52742,2.137608,-0.474191,-0.00577,-0.00726,0.018263,-0.99979,0.050278,-0.270205,1.324869,6.36,44.7936
0.5613,0.010245,-0.251273,1.330882,0.3148,0.1624,179.8529,-0.525841,2.137812,-0.472682,-0.004664,-0.014308,0.020628,-0.999674,0.050915,-0.268116,1.325077,-0.818,44.4007
0.6848,0.011755,-0.24839,1.331322,0.0762,0.25,179.8064,-0.523613,2.138094,-0.469722,-0.006708,-0.014496,0.020023,-0.999672,0.052554,-0.264792,1.325347,-0.776,44.3761
0.8292,0.013891,-0.244304,1.331911,-0.2627,0.3733,179.74,-0.520567,2.138459,-0.466103,-0.005012,-0.01766,0.022281,-0.999583,0.054412,-0.260442,1.325704,2.771,44.0557
1.0242,0.017237,-0.237876,1.332756,-0.7978,0.565,179.6342,-0.515915,2.139058,-0.460098,-0.00154,-0.013117,0.020024,-0.999712,0.057677,-0.253582,1.32628,5.419,43.8639
1.2248,0.020019,-0.232507,1.333385,-1.2469,0.7231,179.5444,-0.512152,2.139745,-0.455314,-9.9e-05,-0.017676,0.016731,-0.999704,0.060259,-0.248068,1.326951,6.554,43.6209
1.3705,0.021542,-0.22956,1.3337,-1.4941,0.8091,179.4946,-0.510196,2.140037,-0.452373,0.003279,-0.010647,0.009245,-0.999895,0.062005,-0.244995,1.327223,2.747,43.7884
1.5171,0.02264,-0.22743,1.333914,-1.6732,0.8709,179.4584,-0.508502,2.140012,-0.450454,0.001935,-0.014913,0.011212,-0.999824,0.062947,-0.242616,1.327197,7.289,43.5932
1.6397,0.023235,-0.226275,1.334026,-1.7704,0.9043,179.4387,-0.507569,2.140214,-0.449217,0.003905,-0.013672,0.009523,-0.999854,0.063633,-0.241226,1.327394,5.175,43.5834
1.7564,0.023529,-0.225704,1.33408,-1.8185,0.9207,179.4289,-0.5072,2.140259,-0.448611,0.00362,-0.013406,0.009281,-0.999861,0.064009,-0.240622,1.327434,5.027,43.6498
1.8895,0.023756,-0.22519,1.33414,-1.8337,0.9322,179.4087,-0.506837,2.140245,-0.448307,0.002737,-0.016559,0.011615,-0.999792,0.064115,-0.240161,1.327422,4.633,43.5667
2.0385,0.024601,-0.223206,1.33438,-1.8674,0.9734,179.3207,-0.505256,2.14035,-0.446768,0.006161,-0.009097,0.011947,-0.999868,0.064774,-0.238055,1.327531,1.403,43.3729
2.1731,0.02597,-0.220005,1.334754,-1.9217,1.0397,179.1784,-0.503154,2.140625,-0.444213,0.006464,-0.007881,0.00954,-0.999903,0.066108,-0.235027,1.3278,5.252,43.418
2.2799,0.027495,-0.216457,1.335152,-1.9822,1.1132,179.0204,-0.500316,2.141037,-0.441293,0.007425,-0.000892,0.008909,-0.999932,0.067439,-0.23118,1.328215,3.499,43.1328
2.3903,0.02944,-0.211959,1.335631,-2.059,1.2062,178.8195,-0.497116,2.141431,-0.437685,0.007854,-0.004545,0.010639,-0.999902,0.069219,-0.226697,1.328606,5.521,42.9997
2.5063,0.031925,-0.206253,1.336197,-2.1569,1.3238,178.564,-0.49285,2.141936,-0.43322,0.011395,-0.002966,0.011943,-0.999859,0.071284,-0.220878,1.329114,4.015,42.5813
2.6292,0.035028,-0.199196,1.336833,-2.2785,1.4689,178.2466,-0.487754,2.142357,-0.427292,0.009793,0.002936,0.009353,-0.999904,0.074274,-0.213654,1.329526,1.166,42.4578
