elapsed_s,tcp_x_m,tcp_y_m,tcp_z_m,tcp_rx_deg,tcp_ry_deg,tcp_rz_deg,rb_raw_x_m,rb_raw_y_m,rb_raw_z_m,rb_qx,rb_qy,rb_qz,rb_qw,rb_corrected_x_m,rb_corrected_y_m,rb_corrected_z_m,rb_aligned_x_m,rb_aligned_y_m,rb_aligned_z_m,mocap_age_ms,error_mm
0.0003,0.007269,-0.256936,1.32996,0.7817,-0.0113,179.943,-0.529317,2.137232,-0.47739,0.012905,0.020636,-0.028987,0.999283,-0.527737,2.158186,-0.461978,0.003884,-0.265248,1.33247,-0.896,9.3196
0.191,0.007598,-0.256311,1.330066,0.7303,0.0079,179.9331,-0.529003,2.137274,-0.477033,0.01204,0.020413,-0.028547,0.999311,-0.527449,2.158256,-0.461657,0.004056,-0.264852,1.332541,8.199,9.5723
0.3616,0.008512,-0.254573,1.330354,0.5871,0.0614,179.9056,-0.527871,2.137493,-0.475319,0.010326,0.014857,-0.026043,0.999497,-0.526591,2.158538,-0.460004,0.005205,-0.263387,1.332824,3.322,9.7319
0.5078,0.009762,-0.252193,1.330738,0.3907,0.1343,179.8676,-0.526285,2.137791,-0.473225,0.006958,0.015342,-0.022985,0.999594,-0.52512,2.158945,-0.458051,0.006373,-0.26124,1.333236,-0.569,9.9785
0.6588,0.011517,-0.248845,1.331254,0.1139,0.2362,179.8138,-0.523836,2.138113,-0.469973,0.007776,0.014443,-0.020453,0.999656,-0.522806,2.159246,-0.454762,0.008403,-0.257769,1.333546,0.857,9.7254
0.8056,0.013633,-0.244797,1.331842,-0.2217,0.3585,179.7481,-0.520838,2.138479,-0.466428,0.005739,0.015101,-0.022254,0.999622,-0.519711,2.159671,-0.451304,0.010264,-0.253519,1.333985,6.094,9.5934
0.952,0.016139,-0.239987,1.33249,-0.6218,0.5024,179.6691,-0.517386,2.139067,-0.461834,0.002053,0.008759,-0.018078,0.999796,-0.516626,2.16038,-0.446858,0.013029,-0.24887,1.334704,2.319,9.6688
1.1003,0.018476,-0.235488,1.333044,-0.9973,0.6356,179.5944,-0.51405,2.139591,-0.457518,0.002055,0.016293,-0.01759,0.999711,-0.513086,2.1609,-0.44255,0.015479,-0.243862,1.33524,0.67,9.1608
1.2485,0.020367,-0.231835,1.333458,-1.3032,0.7428,179.5331,-0.511394,2.139908,-0.454235,0.000161,0.017457,-0.01627,0.999715,-0.510452,2.161276,-0.439348,0.017298,-0.240138,1.335626,-0.845,9.1137
1.4055,0.021885,-0.228895,1.333768,-1.55,0.8284,179.4833,-0.509712,2.140165,-0.45173,-0.004329,0.010188,-0.008867,0.999899,-0.509304,2.161676,-0.437025,0.018936,-0.238131,1.336027,6.067,9.9545
