iteration,phase,sample_type,nearest_idx,node_count,accepted,collision,collision_pairs,reason,cost,from_q,to_q,sample_q
0,add_node,random,0,2,True,False,,best_parent=0,0.08000000000000002,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.206265, 0.086239, -0.219796, 0.098948, -0.093532, 0.209311, -0.093965, 0.180838]","[2.168565, 0.906675, -2.31082, 1.040285, -0.983348, 2.20059, -0.987899, 1.901241]"
1,add_node,random,0,3,True,False,,best_parent=0,0.07999999999999999,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.094676, -0.097808, -0.219461, -0.027383, 0.136047, -0.146326, 0.137308, 0.211502]","[0.886909, -0.916254, -2.055874, -0.256523, 1.274465, -1.370761, 1.286279, 1.981313]"
2,add_node,random,1,4,True,False,,best_parent=0,0.12745557981313183,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.523015, 0.083205, -0.149501, 0.264501, 0.126444, 0.398339, 0.120361, 0.34365]","[4.260627, 0.047398, 0.679968, 2.218012, 2.722146, 2.62885, 2.649386, 2.264815]"
3,add_node,random,2,5,True,False,,best_parent=0,0.11935252939234545,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.423379, -0.179759, -0.223049, 0.09145, -0.117959, -0.229442, 0.043546, 0.058007]","[3.093479, -0.845456, -0.252191, 1.05675, -2.181282, -0.904599, -0.718096, -1.188854]"
4,add_node,random,4,6,True,False,,best_parent=0,0.16907368912903378,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.830871, -0.169033, -0.308069, 0.063779, -0.320481, -0.418561, -0.037718, -0.176431]","[5.911184, -0.035307, -1.368045, -0.281203, -2.845379, -2.776371, -1.050862, -3.099226]"
5,add_node,random,3,7,True,False,,best_parent=0,0.1831729141984092,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.603807, 0.08284, -0.117214, 0.41412, 0.467557, 0.618465, -0.082007, 0.4818]","[1.08327, 0.080676, 0.074395, 1.302035, 2.491896, 1.924803, -1.282962, 1.301654]"
6,add_node,random,3,8,True,False,,best_parent=0,0.17012903556762832,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.776659, 0.113472, -0.362911, 0.464778, 0.214649, 0.091806, 0.202952, 0.43584]","[2.203418, 0.283729, -1.563347, 1.591345, 0.7108, -1.632453, 0.667531, 0.954407]"
7,add_node,random,6,9,True,False,,best_parent=0,0.23279516968616337,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.629471, 0.027385, 0.121927, 0.66416, 0.544979, 0.797279, 0.047639, 0.699017]","[0.858006, -0.466446, 2.251467, 2.890759, 1.234421, 2.389616, 1.202131, 2.633324]"
8,add_node,random,8,10,True,False,,best_parent=0,0.24282687080092605,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.645944, -0.043005, 0.407893, 0.630467, 0.57183, 0.674696, 0.367187, 0.750123]","[0.768678, -0.567452, 2.538517, 0.379432, 0.771883, -0.238622, 2.748012, 1.13089]"
9,add_node,random,9,11,True,False,,best_parent=0,0.2678528451853577,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.095562, 0.029812, 0.567697, 0.499389, 0.638126, 0.713103, 0.442642, 0.615596]","[6.816231, 0.956292, 2.600945, -1.168359, 1.48163, 1.201772, 1.402689, -1.09604]"
10,add_node,random,7,12,True,False,,best_parent=0,0.22762904713981538,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.240697, 0.090465, -0.533028, 0.60747, 0.268862, -0.048196, 0.37889, 0.344625]","[6.289323, -0.159853, -2.383858, 2.159922, 0.85869, -1.571382, 2.293051, -0.647774]"
11,add_node,random,6,13,True,False,,best_parent=0,0.2130996684357978,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.54184, 0.158563, -0.019896, 0.141925, 0.642663, 0.603183, -0.254148, 0.70396]","[0.021011, 0.795012, 0.798059, -2.145858, 2.114416, 0.474743, -1.700984, 2.571198]"
12,add_node,random,10,14,True,False,,best_parent=0,0.2959136694699205,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.116068, 0.063733, 0.857789, 0.624152, 0.53833, 0.973444, 0.259702, 0.44276]","[1.262255, 0.305552, 2.925836, 1.513572, -0.173102, 2.829394, -1.044468, -0.789377]"
13,add_node,random,13,15,True,False,,best_parent=0,0.32551648615238427,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.362236, 0.093994, 0.875818, 0.844365, 0.628891, 1.002752, 0.183556, 0.066721]","[3.23163, 0.323801, 1.012725, 2.516663, 1.316602, 1.225316, -0.394693, -2.78891]"
14,add_node,goal_bias,5,16,True,False,,best_parent=0,0.21328142197248318,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.991633, -0.278284, -0.221239, -0.028103, -0.451343, -0.313558, -0.239281, 0.006958]","[2.053633, -1.0, 0.352362, -0.635075, -1.315819, 0.380094, -1.570809, 1.218425]"
15,add_node,random,13,17,True,False,,best_parent=0,0.3205263228691978,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.172891, -0.030759, 1.008701, 0.397797, 0.720911, 1.073815, 0.085413, 0.563321]","[1.678484, -0.871508, 2.351458, -1.616225, 2.345445, 1.966877, -1.465337, 1.636027]"
16,add_node,random,15,18,True,False,,best_parent=0,0.2488401126571435,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.957945, -0.344722, -0.362026, 0.009085, -0.180558, -0.615635, -0.380104, 0.057551]","[0.688741, -0.87562, -1.487041, 0.306248, 1.983263, -3.029507, -1.505408, 0.461833]"
17,add_node,random,14,19,True,False,,best_parent=0,0.32693196978768924,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.398106, 0.13326, 0.87088, 0.924959, 0.22695, 0.995642, 0.365648, -0.120648]","[1.69161, 0.454551, 0.830476, 1.584422, -3.061954, 0.93746, 1.855625, -1.653806]"
18,add_node,random,18,20,True,False,,best_parent=0,0.3666561212865892,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.882156, 0.195498, 0.906394, 0.932967, 0.345668, 0.820028, 0.366269, -0.261683]","[6.993885, 0.852755, 1.281436, 1.01753, 1.599371, -1.034507, 0.372833, -1.751048]"
19,add_node,random,15,21,True,False,,best_parent=0,0.234306011721677,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.99886, -0.292, -0.227241, -0.151702, -0.634765, -0.262036, -0.00166, 0.384374]","[1.044641, -0.378894, -0.265265, -0.934736, -1.796795, 0.064373, 1.503735, 2.775411]"
20,add_node,random,15,22,True,False,,best_parent=0,0.25366527962693836,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.335189, -0.30243, -0.455155, -0.08535, -0.390133, -0.055388, -0.325586, -0.183384]","[3.932613, -0.484984, -2.223658, -0.518162, 0.072635, 1.896493, -0.978084, -1.622454]"
21,add_node,random,21,23,True,False,,best_parent=0,0.27404330611044087,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.308543, -0.237394, -0.630965, -0.122785, -0.594344, -0.100817, -0.641551, -0.368704]","[1.098472, 0.275342, -2.017029, -0.417919, -2.204312, -0.458976, -3.13258, -1.829738]"
22,add_node,random,17,24,True,False,,best_parent=0,0.2873217512346979,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.856496, -0.383036, -0.550298, 0.289987, -0.194918, -0.883894, -0.281674, 0.245215]","[0.202598, -0.629992, -1.763824, 2.100564, -0.287478, -2.612983, 0.352766, 1.454824]"
23,add_node,random,19,25,True,False,,best_parent=0,0.4130646852350852,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.272611, 0.280217, 1.023972, 0.871008, 0.478973, 0.631234, 0.337207, -0.37735]","[5.465853, 0.973068, 1.985555, 0.364292, 1.569175, -0.912774, 0.099532, -1.323308]"
24,add_node,random,21,26,True,False,,best_parent=0,0.2979538259338303,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.803598, -0.288322, -0.550774, -0.16792, -0.505174, 0.062071, -0.063361, -0.177014]","[7.524164, -0.116018, -1.718546, -1.176325, -1.910139, 1.496567, 3.139127, -0.09922]"
