iteration,phase,sample_type,nearest_idx,node_count,accepted,collision,collision_pairs,reason,cost,from_q,to_q,sample_q
0,add_node,random,0,2,True,False,,best_parent=0,0.07999999999999997,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.146177, 0.047342, 0.187211, -0.218979, 0.137411, 0.19649, 0.213397, 0.175433]","[1.873752, 0.606847, 2.399748, -2.806965, 1.761388, 2.518695, 2.735414, 2.248773]"
1,add_node,goal_bias,1,3,True,False,,best_parent=0,0.1506337411313704,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.336807, 0.109106, 0.525855, -0.418777, 0.140353, 0.145701, 0.370719, 0.274893]","[1.371308, 0.444282, 2.36358, -1.503023, 0.156319, -0.129923, 1.224462, 0.814634]"
2,add_node,random,0,4,True,False,,best_parent=0,0.08000000000000002,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.24304, -0.091591, -0.258623, -0.14785, -0.071735, -0.066209, 0.155663, 0.099307]","[2.522455, -0.950601, -2.684183, -1.534497, -0.744519, -0.687173, 1.615592, 1.030681]"
3,add_node,goal_bias,2,5,True,False,,best_parent=0,0.22755449442818174,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.527438, 0.17087, 0.864498, -0.618574, 0.143295, 0.094911, 0.528041, 0.374353]","[1.371308, 0.444282, 2.36358, -1.503023, 0.156319, -0.129923, 1.224462, 0.814634]"
4,add_node,random,3,6,True,False,,best_parent=0,0.12421785579917796,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.734648, -0.070185, -0.347113, -0.087961, -0.052469, 0.021201, -0.039731, 0.293104]","[7.031973, 0.20402, -1.480639, 0.679193, 0.194324, 1.140896, -2.542668, 2.775582]"
5,add_node,random,5,7,True,False,,best_parent=0,0.18449164580184244,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.177252, -0.130915, -0.329106, -0.047973, -0.304964, 0.174763, -0.003857, 0.251833]","[4.874764, -0.638254, -0.178674, 0.28609, -2.414311, 1.457619, 0.295839, -0.092949]"
6,add_node,random,4,8,True,False,,best_parent=0,0.2762841459991043,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.611839, 0.27484, 0.810221, -0.618854, 0.148001, -0.038595, 0.859927, 0.476257]","[1.087438, 0.860708, 0.504368, -0.620427, 0.174517, -0.790896, 2.730096, 1.050489]"
7,add_node,random,7,9,True,False,,best_parent=0,0.3337329940017178,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.989198, 0.29772, 0.950909, -0.816687, 0.096147, 0.175158, 0.896503, 0.696735]","[3.750293, 0.46513, 1.980313, -2.264215, -0.283262, 1.739167, 1.164127, 2.309946]"
8,add_node,random,8,10,True,False,,best_parent=0,0.39608067972735095,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.215838, 0.370277, 1.109252, -0.702428, 0.234085, 0.086763, 1.121968, 0.925289]","[2.937249, 0.921376, 2.311917, 0.165409, 1.28177, -0.584629, 2.834452, 2.661235]"
9,add_node,random,4,11,True,False,,best_parent=0,0.2391683618341978,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.530047, 0.053911, 1.068819, -0.503098, 0.263854, -0.091632, 0.634341, 0.41696]","[0.55214, -0.936386, 2.798816, 0.47465, 1.284633, -1.671102, 1.534393, 0.777721]"
10,add_node,random,9,12,True,False,,best_parent=0,0.4404393564158614,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.596984, 0.419564, 1.226555, -0.835856, -0.030827, 0.098005, 1.223955, 0.769131]","[5.499083, 0.924148, 2.427489, -2.201872, -2.742939, 0.213104, 2.268073, -0.829589]"
11,add_node,random,6,13,True,False,,best_parent=0,0.21646970227217727,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.332015, -0.189418, -0.528322, 0.053606, -0.030803, 0.276344, -0.116232, 0.016445]","[3.040194, -0.835141, -2.727152, 1.174771, 2.995225, 1.397536, -1.356559, -2.581626]"
12,add_node,goal_bias,11,14,True,False,,best_parent=0,0.4843614096721775,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.513966, 0.428657, 1.644827, -1.081283, 0.038018, 0.014159, 1.224141, 0.78587]","[1.371308, 0.444282, 2.36358, -1.503023, 0.156319, -0.129923, 1.224462, 0.814634]"
13,add_node,random,12,15,True,False,,best_parent=0,0.25603485862703024,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.616616, -0.250492, -0.353078, -0.041305, 0.121891, 0.174748, -0.314288, -0.21129]","[4.550746, -0.880137, 1.453619, -1.019801, 1.69611, -0.872667, -2.356171, -2.559148]"
14,add_node,random,11,16,True,False,,best_parent=0,0.4602548885702424,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.027716, 0.387523, 1.026611, -0.672854, -0.127102, 0.095512, 1.361716, 0.943032]","[7.3753, -0.01027, -1.455713, 1.350829, -1.322375, 0.064557, 3.072035, 3.102039]"
15,add_node,random,14,17,True,False,,best_parent=0,0.2624541252226182,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.500014, -0.258691, -0.137346, -0.299531, -0.020456, 0.39214, -0.430079, -0.432652]","[0.26028, -0.345866, 2.15635, -3.045031, -1.533911, 2.703484, -1.661194, -2.786215]"
16,add_node,random,14,18,True,False,,best_parent=0,0.30633825133006015,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.022459, -0.265884, -0.366046, -0.080118, 0.224718, 0.124404, -0.04969, -0.458661]","[5.924987, -0.413888, -0.490747, -0.453341, 1.213488, -0.3597, 2.49465, -2.837349]"
17,add_node,goal_bias,13,19,True,False,,best_parent=0,0.5366797216955563,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.430947, 0.43775, 2.063098, -1.326711, 0.106862, -0.069688, 1.224328, 0.802609]","[1.371308, 0.444282, 2.36358, -1.503023, 0.156319, -0.129923, 1.224462, 0.814634]"
18,add_node,random,17,20,True,False,,best_parent=0,0.36034305624171487,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.335016, -0.3245, -0.123218, -0.208038, 0.364479, 0.001859, 0.006699, -0.667794]","[5.099496, -0.842946, 2.024526, -1.339449, 1.600627, -1.082018, 0.505447, -2.517514]"
19,add_node,random,14,21,True,False,,best_parent=0,0.30483497522998076,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.901671, -0.250701, -0.579862, 0.145905, 0.227856, -0.018041, -0.56767, -0.166789]","[4.377704, -0.252521, -2.549745, 1.772044, 1.148283, -1.692645, -2.768587, 0.219753]"
20,add_node,random,19,22,True,False,,best_parent=0,0.3787957803217688,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.566791, -0.244258, -0.280808, -0.471507, 0.296951, -0.233377, 0.032789, -0.679964]","[4.551985, 0.443026, -1.630588, -2.728163, -0.281437, -2.248203, 0.256254, -0.7842]"
21,add_node,random,15,23,True,False,,best_parent=0,0.47086640158999504,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.260945, 0.42669, 0.68263, -0.454564, -0.205235, 0.068764, 1.326811, 1.113014]","[4.501172, 0.80291, -2.621409, 1.642173, -0.955717, -0.188157, 0.991536, 2.745737]"
22,add_node,random,21,24,True,False,,best_parent=0,0.38749632510476456,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.664102, -0.15168, -0.4899, -0.430766, 0.053689, -0.151252, 0.176755, -0.852856]","[3.526123, 0.66842, -2.342135, -0.069865, -2.101242, 0.576243, 1.452072, -2.384418]"
23,add_node,random,19,25,True,False,,best_parent=0,0.3913485439052645,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.489921, -0.364604, 0.12902, 0.041323, 0.536025, -0.058411, -0.243331, -0.665878]","[4.222462, -0.813147, 2.950178, 2.830297, 2.454682, -0.732502, -3.039795, -0.644455]"
24,add_node,random,17,26,True,False,,best_parent=0,0.32654330263900305,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.014316, -0.258663, -0.591469, -0.023372, 0.534213, 0.210643, 0.256699, -0.485412]","[1.948333, -0.20015, -2.418096, 0.436451, 3.042098, 0.90945, 2.739413, -0.702175]"
25,add_node,goal_bias,18,27,True,False,,best_parent=0,0.5781882485153602,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.371308, 0.444282, 2.36358, -1.503023, 0.156319, -0.129923, 1.224462, 0.814634]","[1.371308, 0.444282, 2.36358, -1.503023, 0.156319, -0.129923, 1.224462, 0.814634]"
26,add_node,goal_bias,26,28,True,False,,best_parent=26,0.5781882485153602,"[1.371308, 0.444282, 2.36358, -1.503023, 0.156319, -0.129923, 1.224462, 0.814634]","[1.371308, 0.444282, 2.36358, -1.503023, 0.156319, -0.129923, 1.224462, 0.814634]","[1.371308, 0.444282, 2.36358, -1.503023, 0.156319, -0.129923, 1.224462, 0.814634]"
27,add_node,random,24,29,True,False,,best_parent=0,0.4093345435065314,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.608616, -0.418005, 0.373861, -0.030498, 0.390095, 0.109049, -0.373023, -0.37584]","[3.345835, -0.749685, 1.894584, -0.476581, -0.516287, 1.149153, -1.178546, 1.425601]"
28,add_node,random,16,30,True,False,,best_parent=0,0.29216222485935206,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.483577, -0.27618, 0.000667, -0.324249, 0.226118, 0.682367, -0.702024, -0.32981]","[1.373868, -0.392904, 0.921811, -0.489232, 1.871828, 2.619439, -2.517076, 0.356593]"
29,add_node,random,22,31,True,False,,best_parent=0,0.497806718612369,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.716706, 0.417922, 0.780298, -0.646287, -0.259938, 0.105343, 1.066185, 1.070206]","[7.469089, 0.326492, 1.798715, -2.645445, -0.830351, 0.486765, -1.651449, 0.623834]"
30,add_node,goal_bias,26,32,True,False,,best_parent=26,0.5781882485153602,"[1.371308, 0.444282, 2.36358, -1.503023, 0.156319, -0.129923, 1.224462, 0.814634]","[1.371308, 0.444282, 2.36358, -1.503023, 0.156319, -0.129923, 1.224462, 0.814634]","[1.371308, 0.444282, 2.36358, -1.503023, 0.156319, -0.129923, 1.224462, 0.814634]"
31,add_node,random,10,33,True,False,,best_parent=0,0.2686994985605401,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.506705, -0.028035, 1.145754, -0.785377, 0.511176, -0.164623, 0.466527, 0.491747]","[0.313292, -0.707049, 1.78324, -3.124348, 2.560494, -0.769432, -0.923982, 1.111431]"
32,add_node,random,20,34,True,False,,best_parent=0,0.32679791998290725,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.76342, -0.309759, -0.744705, 0.382462, 0.111718, -0.122337, -0.751561, 0.087425]","[0.205066, -0.975457, -2.6028, 3.048915, -1.197376, -1.297948, -2.824377, 2.952915]"
33,add_node,random,25,35,True,False,,best_parent=0,0.35236093845481464,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.928583, -0.318476, -0.55828, 0.218657, 0.623286, 0.411995, 0.573768, -0.547038]","[1.300314, -0.756799, -0.315069, 1.992286, 1.276025, 1.887531, 2.897304, -0.998646]"
34,add_node,random,30,36,True,False,,best_parent=0,0.5227980924262183,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.14234, 0.442428, 0.626871, -0.479812, -0.16534, -0.101075, 0.895332, 1.07103]","[6.801062, 0.653078, -0.691983, 0.9512, 0.64782, -1.875433, -0.573313, 1.078111]"
35,add_node,random,30,37,True,False,,best_parent=0,0.5096126202952975,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.852525, 0.466709, 0.812214, -0.599198, -0.437714, 0.372127, 1.028739, 0.738747]","[4.1998, 0.95066, 1.128806, -0.132091, -2.201189, 3.01853, 0.657284, -2.549215]"
36,add_node,random,15,38,True,False,,best_parent=0,0.4595072034064433,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.94729, 0.313285, 1.243867, -0.447219, -0.398803, 0.053028, 1.370017, 1.085066]","[1.367594, -0.2218, 2.809795, 1.179108, -2.357153, -0.253188, 1.42985, 2.10881]"
37,add_node,random,29,39,True,False,,best_parent=0,0.3144845016393396,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.667081, -0.188801, 0.015294, -0.232008, 0.495708, 0.806842, -0.898368, -0.186977]","[3.256324, 0.567947, 0.141979, 0.566856, 2.8305, 1.884865, -2.598803, 1.050033]"
38,add_node,random,6,40,True,False,,best_parent=0,0.23052802951020063,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.123661, -0.239263, -0.345783, -0.092954, -0.501095, 0.316429, 0.135174, 0.485669]","[0.763476, -0.967466, -0.457871, -0.395271, -1.819288, 1.268564, 1.069601, 2.057282]"
39,add_node,random,39,41,True,False,,best_parent=0,0.2560342503560373,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.006317, -0.326056, -0.407852, -0.191101, -0.562246, -0.019528, 0.330858, 0.518039]","[0.221377, -0.906634, -0.82305, -0.847627, -0.971298, -2.266815, 1.639832, 0.734565]"
40,add_node,random,0,42,True,False,,best_parent=0,0.07999999999999997,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.028144, 0.06542, 0.087194, 0.161806, -0.243379, -0.108827, -0.249975, -0.205816]","[0.345591, 0.803309, 1.070682, 1.986861, -2.988527, -1.336321, -3.069513, -2.527279]"
41,add_node,random,21,43,True,False,,best_parent=0,0.4357623099553356,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.838212, -0.316221, -0.464945, -0.498154, 0.226453, -0.271656, -0.242959, -0.874139]","[5.149612, -0.929053, -2.033037, -0.725076, -0.373899, -0.597639, -2.591207, -2.527719]"
42,add_node,random,39,44,True,False,,best_parent=0,0.2618570120417915,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.20847, -0.191219, -0.409304, -0.122046, -0.665904, 0.632152, 0.438721, 0.450482]","[1.69871, 0.086499, -0.77649, -0.290218, -1.618594, 2.457211, 2.193395, 0.247083]"
43,add_node,random,41,45,True,False,,best_parent=0,0.13447417055917357,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.026036, 0.070185, 0.021014, 0.394404, -0.395352, -0.035223, -0.59199, 0.013751]","[0.016517, 0.091695, -0.277741, 1.444414, -1.081397, 0.297045, -2.135936, 1.004938]"
44,add_node,random,29,46,True,False,,best_parent=0,0.3247323247220878,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.444819, -0.321924, 0.282261, -0.332338, 0.198886, 0.94727, -0.586455, -0.589024]","[1.138015, -0.684038, 2.511348, -0.39637, -0.016675, 3.044224, 0.328384, -2.640945]"
45,add_node,goal_bias,26,47,True,False,,best_parent=26,0.5781882485153602,"[1.371308, 0.444282, 2.36358, -1.503023, 0.156319, -0.129923, 1.224462, 0.814634]","[1.371308, 0.444282, 2.36358, -1.503023, 0.156319, -0.129923, 1.224462, 0.814634]","[1.371308, 0.444282, 2.36358, -1.503023, 0.156319, -0.129923, 1.224462, 0.814634]"
46,add_node,random,44,48,True,False,,best_parent=0,0.17598009600026734,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.066703, 0.010054, 0.039074, 0.706167, -0.619102, 0.051911, -0.530126, -0.224376]","[0.255414, -0.268975, 0.122877, 2.152857, -1.657381, 0.456246, -0.243057, -1.329372]"
47,add_node,random,32,49,True,False,,best_parent=0,0.30090419883045655,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.501142, -0.124982, 1.420015, -0.851167, 0.494836, -0.296527, 0.311755, 0.295399]","[0.470307, -0.662353, 2.94024, -1.215836, 0.404264, -1.027666, -0.546143, -0.792957]"
48,add_node,random,35,50,True,False,,best_parent=0,0.5169927010678382,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.138609, 0.496486, 0.478213, -0.568003, -0.277498, -0.214689, 0.494707, 0.983171]","[3.107985, 0.940197, -0.741972, -1.291875, -1.198094, -1.147236, -2.793622, 0.262027]"
49,add_node,random,22,51,True,False,,best_parent=0,0.47371436928072624,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.035601, 0.438937, 0.394498, -0.373553, -0.481315, 0.157486, 1.488642, 1.25076]","[0.248776, 0.536045, -1.890193, 0.268816, -2.670445, 0.86099, 2.771858, 2.342987]"
50,add_node,random,24,52,True,False,,best_parent=0,0.4098713863361163,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.532277, -0.334916, 0.281745, 0.335266, 0.492475, -0.237162, -0.494094, -0.855943]","[2.882448, -0.089473, 1.544394, 2.765425, 0.132426, -1.714973, -2.567266, -2.4273]"
51,add_node,random,26,53,True,False,,best_parent=0,0.588960182123831,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.41761, 0.435945, 2.46085, -1.632215, -0.069316, 0.230664, 1.019182, 0.8484]","[1.714151, 0.382552, 3.083812, -2.459622, -1.514393, 2.540041, -0.295539, 1.064655]"
