iteration,phase,sample_type,nearest_idx,node_count,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
0,add_node,random,0,2,True,False,,,,best_parent=0,0.07999999999999999,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.244609, -0.087523, 0.168489, 0.13373, 0.056054, -0.145019, -0.149883, 0.214846]","[2.520717, -0.90193, 1.736288, 1.378097, 0.577639, -1.494428, -1.544558, 2.21401]"
1,add_node,random,1,3,True,False,,,,best_parent=0,0.12864126047889726,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.286773, -0.139104, 0.190006, -0.13048, 0.165056, -0.338207, 0.064069, 0.45939]","[0.734391, -0.686691, 0.418441, -2.935346, 1.322227, -2.389106, 2.335405, 3.055483]"
2,add_node,random,2,4,True,False,,,,best_parent=0,0.16891153994243246,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.467715, -0.043283, 0.261618, -0.181862, 0.153032, -0.634364, 0.003857, 0.664186]","[1.950524, 0.741966, 0.848468, -0.602942, 0.054502, -3.061356, -0.489576, 2.342479]"
3,add_node,random,0,5,True,False,,,,best_parent=0,0.07999999999999997,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.049793, -0.008358, -0.088083, 0.154103, -0.015858, 0.206783, -0.327277, -0.261769]","[0.366028, -0.06144, -0.647498, 1.132815, -0.116571, 1.520066, -2.405825, -1.924272]"
4,add_node,random,3,6,True,False,,,,best_parent=0,0.2024590177821637,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.606647, -0.022058, 0.402824, -0.268195, 0.457037, -0.569141, -0.327095, 0.710785]","[1.349717, 0.09146, 1.158058, -0.72994, 2.082995, -0.220302, -2.097181, 0.96002]"
5,add_node,goal_bias,2,7,True,False,,,,best_parent=0,0.18330474776748282,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.504744, -0.256585, 0.215235, -0.192745, 0.02054, -0.30426, -0.158804, 0.559781]","[1.884054, -1.0, 0.374878, -0.586754, -0.893944, -0.089445, -1.569136, 1.195051]"
6,add_node,random,3,8,True,False,,,,best_parent=0,0.20407314446564556,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.938945, -0.010098, 0.316568, -0.108904, 0.209472, -0.820533, 0.151448, 0.481829]","[6.458348, 0.378586, 0.960193, 0.745646, 0.870537, -3.001089, 1.880146, -1.654079]"
7,add_node,random,7,9,True,False,,,,best_parent=0,0.2525006200157523,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.40444, 0.043412, 0.242175, 0.062533, 0.294806, -0.815023, 0.348424, 0.560629]","[7.768475, 0.774973, -0.774897, 2.406338, 1.461453, -0.739683, 3.041389, 1.637946]"
8,add_node,random,8,10,True,False,,,,best_parent=0,0.3008885978175421,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.716651, 0.009792, -0.043597, -0.153068, 0.406138, -0.94688, 0.345267, 0.708016]","[5.009136, -0.344755, -3.057268, -2.426737, 1.580208, -2.337411, 0.311971, 2.262318]"
9,add_node,goal_bias,6,11,True,False,,,,best_parent=0,0.2518981683351459,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.722716, -0.374066, 0.240463, -0.25501, -0.123975, -0.270313, -0.381678, 0.660172]","[1.884054, -1.0, 0.374878, -0.586754, -0.893944, -0.089445, -1.569136, 1.195051]"
10,add_node,goal_bias,10,12,True,False,,,,best_parent=0,0.32573723131859295,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.940687, -0.491548, 0.265691, -0.317275, -0.26849, -0.236366, -0.604552, 0.760563]","[1.884054, -1.0, 0.374878, -0.586754, -0.893944, -0.089445, -1.569136, 1.195051]"
11,add_node,random,9,13,True,False,,,,best_parent=0,0.34714607540231857,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.183271, 0.029672, -0.239029, -0.140926, 0.561431, -0.755661, 0.323463, 0.814879]","[7.038178, 0.236519, -2.272383, -0.014589, 2.17717, 1.233866, 0.096601, 1.926731]"
12,add_node,random,11,14,True,False,,,,best_parent=0,0.35704806417833057,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.096831, -0.486917, 0.470537, -0.181452, -0.528394, -0.242655, -0.927055, 0.691426]","[2.107785, -0.456939, 1.796813, 0.697928, -2.211138, -0.283373, -3.015097, 0.243794]"
