iteration,phase,sample_type,nearest_idx,node_count,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
0,add_node,goal_bias,0,2,True,False,,,,best_parent=0,0.08,"[1.762931, -1.0, 0.437467, -0.669967, -0.757908, -0.140509, -1.565641, 1.136343]","[2.371862, -1.0, 0.466162, -0.72925, -0.654007, -0.185859, -1.567257, 1.106381]","[3.456557, -1.0, 0.517277, -0.834852, -0.468928, -0.266641, -1.570136, 1.053009]"
1,add_node,random,1,3,True,False,,,,best_parent=0,0.1431230987724807,"[1.762931, -1.0, 0.437467, -0.669967, -0.757908, -0.140509, -1.565641, 1.136343]","[2.706412, -0.92432, 0.540485, -0.8958, -0.549041, -0.027475, -1.600984, 0.872492]","[5.843729, -0.214617, 1.237469, -2.457657, 0.435301, 1.457799, -1.917268, -1.320849]"
2,add_node,random,2,4,True,False,,,,best_parent=0,0.18834066704132557,"[1.762931, -1.0, 0.437467, -0.669967, -0.757908, -0.140509, -1.565641, 1.136343]","[2.796145, -0.866086, 0.265791, -0.858243, -0.369209, 0.259953, -1.641698, 0.729656]","[3.651183, -0.311194, -2.351691, -0.500372, 1.344353, 2.998763, -2.029639, -0.631382]"
3,add_node,random,3,5,True,False,,,,best_parent=0,0.22733226069314783,"[1.762931, -1.0, 0.437467, -0.669967, -0.757908, -0.140509, -1.565641, 1.136343]","[3.044809, -0.874253, 0.453704, -0.523841, -0.319818, 0.491161, -1.577332, 0.655508]","[5.447264, -0.953158, 2.269224, 2.706965, 0.157375, 2.724972, -0.955471, -0.060863]"
4,add_node,random,3,6,True,False,,,,best_parent=0,0.22160915410154186,"[1.762931, -1.0, 0.437467, -0.669967, -0.757908, -0.140509, -1.565641, 1.136343]","[2.860786, -0.763277, 0.092172, -0.762075, -0.209837, 0.098551, -1.417543, 0.796477]","[3.867439, 0.837787, -2.611623, 0.735565, 2.2721, -2.41499, 2.073265, 1.837103]"
5,add_node,goal_bias,2,7,True,False,,,,best_parent=0,0.19520573486361134,"[1.762931, -1.0, 0.437467, -0.669967, -0.757908, -0.140509, -1.565641, 1.136343]","[3.232351, -0.977381, 0.524214, -0.853068, -0.492872, -0.195158, -1.579356, 0.999055]","[3.456557, -1.0, 0.517277, -0.834852, -0.468928, -0.266641, -1.570136, 1.053009]"
5,connect_goal,,6,7,True,False,,,,periodic_goal_connected,0.22930944985566543,"[3.232351, -0.977381, 0.524214, -0.853068, -0.492872, -0.195158, -1.579356, 0.999055]","[3.456557, -1.0, 0.517277, -0.834852, -0.468928, -0.266641, -1.570136, 1.053009]",
6,add_node,random,5,8,True,False,,,,best_parent=0,0.2559069846950297,"[1.762931, -1.0, 0.437467, -0.669967, -0.757908, -0.140509, -1.565641, 1.136343]","[2.737324, -0.697693, 0.060482, -0.491625, 0.071664, 0.250518, -1.548423, 0.878645]","[1.474019, -0.026614, -0.263785, 2.275723, 2.952082, 1.805501, -2.88764, 1.719415]"
7,add_node,random,5,9,True,False,,,,best_parent=0,0.2822084440485323,"[1.762931, -1.0, 0.437467, -0.669967, -0.757908, -0.140509, -1.565641, 1.136343]","[3.14484, -0.67655, -0.014338, -0.789653, -0.191915, -0.096584, -1.514423, 0.536925]","[6.197312, 0.255432, -1.158905, -1.086007, 0.000676, -2.193513, -2.555508, -2.25225]"
8,add_node,goal_bias,6,10,True,False,,,,best_parent=0,0.2225049067860607,"[1.762931, -1.0, 0.437467, -0.669967, -0.757908, -0.140509, -1.565641, 1.136343]","[3.456557, -1.0, 0.517277, -0.834852, -0.468928, -0.266641, -1.570136, 1.053009]","[3.456557, -1.0, 0.517277, -0.834852, -0.468928, -0.266641, -1.570136, 1.053009]"
