iteration,phase,sample_type,nearest_idx,node_count,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
0,add_node,random,0,2,True,False,,,,best_parent=0,0.08000000000000004,"[2.270405, -1.0, -0.064035, -0.769729, -1.583225, -3.14, -1.525532, 1.525484]","[2.575246, -0.918962, -0.150202, -0.566623, -1.600834, -2.884339, -1.458613, 1.424959]","[7.864295, 0.487059, -1.645223, 2.957304, -1.906339, 1.551429, -0.297567, -0.31916]"
1,add_node,goal_bias,1,3,True,False,,,,best_parent=0,0.12604208467586775,"[2.270405, -1.0, -0.064035, -0.769729, -1.583225, -3.14, -1.525532, 1.525484]","[2.618462, -0.93678, -0.462429, -0.478578, -1.748948, -2.94055, -1.138, 1.302616]","[2.771803, -1.0, -1.570279, -0.166176, -2.274494, -3.14, -0.000394, 0.868515]"
2,add_node,random,1,4,True,False,,,,best_parent=0,0.1460711981720154,"[2.270405, -1.0, -0.064035, -0.769729, -1.583225, -3.14, -1.525532, 1.525484]","[2.861349, -0.815552, -0.112009, -0.652761, -1.412661, -2.660402, -1.454482, 1.453101]","[6.926289, 0.653693, 0.430634, -1.876607, 1.260875, 0.52128, -1.395792, 1.852942]"
3,add_node,random,3,5,True,False,,,,best_parent=0,0.199322750958778,"[2.270405, -1.0, -0.064035, -0.769729, -1.583225, -3.14, -1.525532, 1.525484]","[2.708205, -0.734945, -0.02505, -0.738331, -1.449534, -2.363408, -1.218214, 1.337991]","[0.413451, 0.472886, 1.277965, -2.020534, -2.002044, 2.086812, 2.32209, -0.386847]"
4,add_node,random,4,6,True,False,,,,best_parent=0,0.2548557361415961,"[2.270405, -1.0, -0.064035, -0.769729, -1.583225, -3.14, -1.525532, 1.525484]","[2.788491, -0.717413, -0.165502, -0.719366, -1.109576, -2.044393, -1.142147, 1.383676]","[3.679342, -0.522883, -1.723949, -0.508926, 2.662596, 1.495392, -0.29812, 1.890598]"
5,add_node,goal_bias,2,7,True,False,,,,best_parent=0,0.1953796668511778,"[2.270405, -1.0, -0.064035, -0.769729, -1.583225, -3.14, -1.525532, 1.525484]","[2.661678, -0.954597, -0.774655, -0.390534, -1.897063, -2.996761, -0.817387, 1.180273]","[2.771803, -1.0, -1.570279, -0.166176, -2.274494, -3.14, -0.000394, 0.868515]"
6,add_node,random,5,8,True,False,,,,best_parent=0,0.31137731142518865,"[2.270405, -1.0, -0.064035, -0.769729, -1.583225, -3.14, -1.525532, 1.525484]","[3.08627, -0.693569, -0.018362, -0.655745, -1.245307, -1.753046, -0.894419, 1.363863]","[6.720886, -0.402524, 1.777586, 0.120791, -2.902013, 1.803053, 2.129297, 1.12203]"
7,add_node,random,7,9,True,False,,,,best_parent=3,0.3852822675967087,"[2.861349, -0.815552, -0.112009, -0.652761, -1.412661, -2.660402, -1.454482, 1.453101]","[3.449407, -0.591866, 0.006968, -0.463508, -1.184743, -1.60218, -0.904496, 1.309406]","[7.800598, 0.626755, 0.310476, 1.839919, -0.459055, 0.205529, -1.025249, 0.656887]"
8,add_node,random,8,10,True,False,,,,best_parent=4,0.4413164938122614,"[2.708205, -0.734945, -0.02505, -0.738331, -1.449534, -2.363408, -1.218214, 1.337991]","[3.386972, -0.490322, 0.041891, -0.556411, -1.216291, -1.24798, -0.924924, 1.416912]","[2.617565, 0.761026, 0.472259, -1.701274, -1.605062, 3.116908, -1.17666, 2.741726]"
9,add_node,random,9,11,True,False,,,,best_parent=7,0.47768179653395754,"[3.08627, -0.693569, -0.018362, -0.655745, -1.245307, -1.753046, -0.894419, 1.363863]","[3.338899, -0.524023, 0.100778, -0.449941, -1.09466, -0.98688, -0.669454, 1.139944]","[2.696749, -0.974199, 0.887385, 0.972268, 0.530078, 2.500854, 2.743082, -2.559756]"
10,add_node,random,9,12,True,False,,,,best_parent=4,0.46840276297210875,"[2.708205, -0.734945, -0.02505, -0.738331, -1.449534, -2.363408, -1.218214, 1.337991]","[3.49031, -0.408611, -0.181081, -0.712524, -1.104786, -1.274937, -1.007177, 1.123969]","[4.593155, 0.463422, -2.560686, -2.378598, 0.085224, -1.562628, -1.884996, -2.002369]"
11,add_node,random,10,13,True,False,,,,best_parent=5,0.5311263748739916,"[2.788491, -0.717413, -0.165502, -0.719366, -1.109576, -2.044393, -1.142147, 1.383676]","[3.141703, -0.458803, -0.120322, -0.233305, -0.960108, -0.803855, -0.481237, 1.195156]","[0.814745, 0.310807, -2.729354, 2.323045, 0.627633, 1.355876, 1.739764, 1.846673]"
12,add_node,random,9,14,True,False,,,,best_parent=3,0.4458321525979112,"[2.861349, -0.815552, -0.112009, -0.652761, -1.412661, -2.660402, -1.454482, 1.453101]","[3.392643, -0.482921, -0.086028, -0.169349, -1.38807, -1.262992, -1.160038, 1.442473]","[3.414171, -0.454829, -0.571603, 1.299926, -2.040138, -1.319979, -2.052523, 1.539503]"
13,add_node,goal_bias,6,15,True,False,,,,best_parent=0,0.2706655155876268,"[2.270405, -1.0, -0.064035, -0.769729, -1.583225, -3.14, -1.525532, 1.525484]","[2.704894, -0.972415, -1.086882, -0.302489, -2.045178, -3.052972, -0.496775, 1.05793]","[2.771803, -1.0, -1.570279, -0.166176, -2.274494, -3.14, -0.000394, 0.868515]"
