iteration,phase,sample_type,nearest_idx,node_count,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
0,add_node,random,0,2,True,False,,,,best_parent=0,0.08,"[2.790475, -1.0, -0.758454, -0.889361, -1.649081, 0.335829, 1.06803, 0.986225]","[2.488408, -0.95734, -0.616623, -1.146529, -1.592157, 0.328316, 1.271925, 0.772492]","[0.269972, -0.644038, 0.425011, -3.035223, -1.174098, 0.27314, 2.769366, -0.797206]"
1,add_node,random,1,3,True,False,,,,best_parent=0,0.1366356835345622,"[2.790475, -1.0, -0.758454, -0.889361, -1.649081, 0.335829, 1.06803, 0.986225]","[2.342489, -0.85004, -0.457609, -1.111263, -1.551437, 0.17192, 1.14744, 0.533137]","[0.610276, 0.423719, 1.430046, -0.692624, -1.068057, -1.684661, -0.330318, -2.308259]"
2,add_node,random,2,4,True,False,,,,best_parent=0,0.172472432829577,"[2.790475, -1.0, -0.758454, -0.889361, -1.649081, 0.335829, 1.06803, 0.986225]","[2.42383, -0.767525, -0.629519, -0.852521, -1.598545, 0.072165, 1.000926, 0.307402]","[3.488085, 0.312086, -2.878749, 2.532813, -2.214897, -1.233008, -0.916036, -2.646062]"
3,add_node,goal_bias,0,5,True,False,,,,best_parent=0,0.07999999999999997,"[2.790475, -1.0, -0.758454, -0.889361, -1.649081, 0.335829, 1.06803, 0.986225]","[2.741715, -1.0, -0.712389, -0.844002, -1.605716, -0.11719, 1.096403, 1.183233]","[2.549993, -1.0, -0.531261, -0.665651, -1.435208, -1.898455, 1.207967, 1.957864]"
4,add_node,random,4,6,True,False,,,,best_parent=0,0.12011858272018647,"[2.790475, -1.0, -0.758454, -0.889361, -1.649081, 0.335829, 1.06803, 0.986225]","[2.805108, -0.977821, -0.953981, -0.4254, -1.578313, -0.185685, 1.021635, 1.16349]","[3.336806, -0.791803, -2.98029, 3.085545, -1.348471, -0.760177, 0.39453, 0.997901]"
5,add_node,random,5,7,True,False,,,,best_parent=0,0.16584674760554197,"[2.790475, -1.0, -0.758454, -0.889361, -1.649081, 0.335829, 1.06803, 0.986225]","[3.162605, -0.974417, -0.812198, -0.273145, -1.341659, -0.378949, 1.117799, 1.00336]","[7.621051, -0.931965, 0.956012, 1.625668, 1.609725, -2.789201, 2.317093, -0.993672]"
6,add_node,random,3,8,True,False,,,,best_parent=0,0.1933534270077424,"[2.790475, -1.0, -0.758454, -0.889361, -1.649081, 0.335829, 1.06803, 0.986225]","[2.600454, -0.771383, -0.690654, -0.936583, -1.298671, 0.229336, 0.702653, 0.172692]","[4.390219, -0.810479, -1.310152, -1.788403, 1.740011, 1.821977, -2.3198, -1.192345]"
7,add_node,random,7,9,True,False,,,,best_parent=0,0.2403788307638582,"[2.790475, -1.0, -0.758454, -0.889361, -1.649081, 0.335829, 1.06803, 0.986225]","[2.517131, -0.653529, -0.795944, -1.103816, -1.277697, 0.449288, 0.557439, 0.218666]","[1.670766, 0.543592, -1.865435, -2.802499, -1.064654, 2.683471, -0.917582, 0.685652]"
8,add_node,random,8,10,True,False,,,,best_parent=0,0.292708084130499,"[2.790475, -1.0, -0.758454, -0.889361, -1.649081, 0.335829, 1.06803, 0.986225]","[2.589607, -0.537844, -0.782076, -0.882773, -1.349194, 0.680643, 0.508433, 0.134738]","[3.267248, 0.543799, -0.652417, 1.183947, -2.017684, 2.843782, 0.050231, -0.649986]"
9,add_node,random,9,11,True,False,,,,best_parent=9,0.37270808413049894,"[2.589607, -0.537844, -0.782076, -0.882773, -1.349194, 0.680643, 0.508433, 0.134738]","[2.431126, -0.442552, -0.72622, -0.652143, -1.203941, 0.694874, 0.258933, 0.050224]","[0.872894, 0.49438, -0.177022, 1.615483, 0.224226, 0.834801, -2.194222, -0.78074]"
