iteration,phase,sample_type,nearest_idx,node_count,elapsed_s,phase_elapsed_s,collision_check_elapsed_s,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
0,add_node,random,0,2,0.00027299999965180177,,,True,False,,,,best_parent=0,0.08,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.21736, 0.046205, 0.070933, -1.2e-05, -0.209314, 0.109609, -0.26441, -0.265951]","[1.744568, 0.37085, 0.569323, -9.6e-05, -1.679987, 0.879741, -2.122204, -2.134573]"
1,add_node,random,1,3,0.0007329000000027008,,,True,False,,,,best_parent=0,0.12252766119029236,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.755541, 0.000816, 0.23265, -0.09081, -0.187981, 0.204519, -0.210978, -0.217496]","[7.265912, -0.548261, 2.188938, -1.189189, 0.070076, 1.352643, 0.435395, 0.36867]"
2,add_node,goal_bias,2,4,0.0013223999994806945,,,True,False,,,,best_parent=0,0.15763502092421455,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.989285, -0.112955, 0.122688, -0.179864, -0.358929, 0.22171, -0.064403, -0.078803]","[2.811741, -1.0, -0.734668, -0.874207, -1.691779, 0.355744, 1.078413, 1.002564]"
3,add_node,random,0,5,0.0025030999995578895,,,True,False,,,,best_parent=0,0.07999999999999999,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.088748, 0.016823, -0.367628, -0.012542, 0.162255, 0.204886, -0.079202, 0.186422]","[0.60554, 0.114782, -2.508361, -0.085577, 1.107079, 1.397955, -0.540406, 1.271973]"
4,add_node,random,3,6,0.00395699999990029,,,True,False,,,,best_parent=0,0.22624389486681626,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.575443, -0.116637, 0.167108, -0.175955, -0.304747, 0.395184, -0.059659, -0.068103]","[7.803713, -0.155768, 0.639094, -0.134422, 0.270972, 2.238452, -0.009254, 0.045583]"
5,add_node,goal_bias,5,7,0.005747899999732908,,,True,False,,,,best_parent=0,0.27260537197268664,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.739536, -0.233886, 0.047416, -0.268634, -0.488847, 0.389949, 0.091396, 0.074006]","[2.811741, -1.0, -0.734668, -0.874207, -1.691779, 0.355744, 1.078413, 1.002564]"
6,add_node,random,5,8,0.007862699999350298,,,True,False,,,,best_parent=0,0.24091276651121774,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.622028, -0.073492, 0.355756, -0.349823, -0.064148, 0.523499, 0.111824, 0.1831]","[2.04529, 0.318525, 2.069791, -1.929562, 2.121902, 1.689354, 1.669906, 2.465501]"
7,add_node,random,7,9,0.010399899999356421,,,True,False,,,,best_parent=0,0.2884533959252231,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.020249, -0.09857, 0.424368, -0.323809, 0.056621, 0.291565, 0.238499, 0.420133]","[6.303691, -0.368323, 1.162389, -0.043995, 1.355665, -2.203222, 1.601068, 2.969767]"
8,add_node,random,8,10,0.013894199999413104,,,True,False,,,,best_parent=0,0.32650388966331895,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.34338, -0.137629, 0.2733, -0.489692, 0.246791, 0.103751, 0.33599, 0.219882]","[5.451136, -0.513284, -1.179626, -2.085093, 2.075777, -1.702581, 1.27362, -1.706065]"
9,add_node,random,9,11,0.01841119999971852,,,True,False,,,,best_parent=0,0.33932006350406185,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.369656, -0.120825, 0.021905, -0.685747, 0.459794, -0.207955, 0.265756, 0.22911]","[2.59808, 0.025257, -2.16352, -2.390093, 2.311473, -2.917685, -0.3448, 0.309329]"
10,add_node,random,10,12,0.02132499999970605,,,True,False,,,,best_parent=10,0.41932006350406187,"[2.369656, -0.120825, 0.021905, -0.685747, 0.459794, -0.207955, 0.265756, 0.22911]","[2.791077, -0.096513, -0.165645, -0.842257, 0.406883, -0.099827, 0.061545, 0.093143]","[6.26433, 0.103863, -1.711388, -2.13218, -0.029189, 0.791336, -1.621515, -1.027463]"
11,add_node,random,4,13,0.024690100000043458,,,True,False,,,,best_parent=0,0.125581394576684,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.126259, 0.123664, -0.363895, -0.17442, -0.035137, 0.445723, -0.052579, 0.309202]","[0.402348, 0.91005, -0.336421, -1.365887, -1.487996, 2.218363, 0.143381, 1.212902]"
12,add_node,goal_bias,6,14,0.028998699999647215,,,True,False,,,,best_parent=0,0.3320257184198638,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.903629, -0.351134, -0.072276, -0.361313, -0.672947, 0.384715, 0.242452, 0.216115]","[2.811741, -1.0, -0.734668, -0.874207, -1.691779, 0.355744, 1.078413, 1.002564]"
13,add_node,random,13,15,0.032136899999386515,,,True,False,,,,best_parent=3,0.38803204515729284,"[0.989285, -0.112955, 0.122688, -0.179864, -0.358929, 0.22171, -0.064403, -0.078803]","[1.760052, -0.398057, -0.392312, -0.35598, -0.834582, 0.672975, 0.29893, 0.163114]","[0.570043, -0.78697, -3.044858, -0.31178, -2.174265, 3.062164, 0.767036, -0.276178]"
14,add_node,random,11,16,0.03547729999991134,,,True,False,,,,best_parent=10,0.477554362167108,"[2.369656, -0.120825, 0.021905, -0.685747, 0.459794, -0.207955, 0.265756, 0.22911]","[3.016324, -0.031976, -0.206621, -1.061319, 0.283569, -0.199529, -0.15389, 0.334087]","[4.753191, 0.465658, -0.522585, -2.750489, -0.667303, -0.96832, -1.815093, 2.191993]"
15,add_node,random,14,17,0.038453000000117754,,,True,False,,,,best_parent=3,0.4458782698463279,"[0.989285, -0.112955, 0.122688, -0.179864, -0.358929, 0.22171, -0.064403, -0.078803]","[2.071908, -0.46469, -0.233692, -0.228518, -0.924544, 0.895254, 0.414736, 0.349804]","[4.35846, -0.953251, 0.929318, 0.706042, -1.584146, 2.525014, 1.263837, 1.718631]"
16,add_node,random,1,18,0.041298299999652954,,,True,False,,,,best_parent=0,0.14614162610989354,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.327097, 0.137941, 0.10296, 0.279211, -0.253301, 0.094955, -0.398181, -0.516524]","[1.337567, 0.982655, 0.397859, 2.850314, -0.658342, -0.039981, -1.629949, -2.82381]"
17,add_node,random,11,19,0.04471269999976357,,,True,False,,,,best_parent=10,0.4636948748227205,"[2.369656, -0.120825, 0.021905, -0.685747, 0.459794, -0.207955, 0.265756, 0.22911]","[3.201956, -0.073761, -0.313343, -0.681194, 0.438726, -0.324348, 0.264203, 0.073926]","[6.260905, 0.09562, -1.412939, 0.517904, 0.675792, -1.995879, 1.772966, -0.069145]"
18,add_node,random,18,20,0.0485486999996283,,,True,False,,,,best_parent=10,0.5015395212274127,"[2.369656, -0.120825, 0.021905, -0.685747, 0.459794, -0.207955, 0.265756, 0.22911]","[3.274264, -0.120379, -0.408205, -0.81805, 0.665637, -0.323391, 0.515111, -0.218482]","[3.922607, -0.538381, -1.258786, -2.045174, 2.700225, -0.314809, 2.764872, -2.840347]"
19,add_node,goal_bias,16,21,0.0509567999997671,,,True,False,,,,best_parent=13,0.5027504050721623,"[1.903629, -0.351134, -0.072276, -0.361313, -0.672947, 0.384715, 0.242452, 0.216115]","[2.229182, -0.578487, -0.34019, -0.365779, -1.087643, 0.780564, 0.555821, 0.488568]","[2.811741, -1.0, -0.734668, -0.874207, -1.691779, 0.355744, 1.078413, 1.002564]"
20,add_node,random,5,22,0.05721509999966656,,,True,False,,,,best_parent=0,0.26142584760538257,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.773903, -0.09441, 0.202551, 0.014132, -0.125585, 0.634184, -0.229111, -0.327568]","[3.583393, 0.108255, 0.525704, 1.747286, 1.507949, 2.813296, -1.774112, -2.693276]"
21,add_node,random,19,23,0.060111099999630824,,,True,False,,,,best_parent=10,0.5423288969882007,"[2.369656, -0.120825, 0.021905, -0.685747, 0.459794, -0.207955, 0.265756, 0.22911]","[3.576756, -0.024721, -0.240279, -0.658055, 0.784879, -0.212399, 0.547254, -0.37012]","[6.303404, 0.837539, 1.273401, 0.784132, 1.859721, 0.788077, 0.836988, -1.736977]"
22,add_node,random,20,24,0.06151499999941734,,,True,False,,,,best_parent=13,0.5544641121303104,"[1.903629, -0.351134, -0.072276, -0.361313, -0.672947, 0.384715, 0.242452, 0.216115]","[2.732778, -0.607768, -0.461373, -0.236617, -1.182306, 0.835881, 0.708676, 0.358427]","[7.497197, -0.884797, -1.607859, 0.985356, -2.077896, 1.359224, 2.154802, -0.872808]"
23,add_node,goal_bias,23,25,0.06288739999945392,,,True,False,,,,best_parent=13,0.6074358357124942,"[1.903629, -0.351134, -0.072276, -0.361313, -0.672947, 0.384715, 0.242452, 0.216115]","[2.755517, -0.720719, -0.540073, -0.420224, -1.329019, 0.697616, 0.815149, 0.543919]","[2.811741, -1.0, -0.734668, -0.874207, -1.691779, 0.355744, 1.078413, 1.002564]"
24,add_node,random,15,26,0.06759629999942263,,,True,False,,,,best_parent=10,0.5172599745743637,"[2.369656, -0.120825, 0.021905, -0.685747, 0.459794, -0.207955, 0.265756, 0.22911]","[3.136043, -0.089589, -0.253851, -1.270208, 0.596705, -0.13227, -0.38662, 0.244556]","[4.108222, -0.557431, -0.637381, -2.966487, 3.139523, 0.413905, -2.276505, -0.482477]"
25,add_node,random,8,27,0.07546579999961978,,,True,False,,,,best_parent=0,0.3016335628726357,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.018418, -0.066537, 0.276413, -0.113448, -0.050002, 0.342825, 0.545766, 0.680393]","[2.008589, 0.105397, -0.51773, 1.015658, -0.622297, 0.617961, 2.195011, 2.07733]"
26,add_node,random,15,28,0.08082009999998263,,,True,False,,,,best_parent=3,0.5048746588939261,"[0.989285, -0.112955, 0.122688, -0.179864, -0.358929, 0.22171, -0.064403, -0.078803]","[3.037827, 0.075484, -0.487964, -0.982334, 0.112607, -0.236068, -0.096849, 0.472102]","[3.196301, 0.867457, -2.561438, -0.400221, -1.147369, -0.505362, 0.323533, 1.489262]"
27,add_node,random,27,29,0.0859983000000284,,,True,False,,,,best_parent=7,0.559992980651643,"[1.622028, -0.073492, 0.355756, -0.349823, -0.064148, 0.523499, 0.111824, 0.1831]","[3.220701, 0.15796, -0.466248, -1.169935, 0.047969, 0.031778, -0.32601, 0.461939]","[5.080047, 0.996525, -0.245456, -3.077339, -0.609219, 2.755058, -2.655957, 0.358604]"
28,add_node,goal_bias,24,30,0.08779299999969226,,,True,False,,,,best_parent=13,0.6711755767683483,"[1.903629, -0.351134, -0.072276, -0.361313, -0.672947, 0.384715, 0.242452, 0.216115]","[2.778256, -0.83367, -0.618774, -0.60383, -1.475732, 0.559351, 0.921622, 0.729411]","[2.811741, -1.0, -0.734668, -0.874207, -1.691779, 0.355744, 1.078413, 1.002564]"
29,add_node,random,25,31,0.09092349999991711,,,True,False,,,,best_parent=10,0.5557496098930538,"[2.369656, -0.120825, 0.021905, -0.685747, 0.459794, -0.207955, 0.265756, 0.22911]","[3.01247, -0.179942, -0.415317, -1.409397, 0.609162, -0.358309, -0.614257, 0.361826]","[2.033835, -0.895497, -1.69405, -2.511711, 0.707817, -2.148429, -2.417027, 1.290546]"
30,add_node,goal_bias,29,32,0.09237010000015289,,,True,False,,,,best_parent=29,0.7511755767683483,"[2.778256, -0.83367, -0.618774, -0.60383, -1.475732, 0.559351, 0.921622, 0.729411]","[2.800995, -0.946621, -0.697475, -0.787437, -1.622444, 0.421086, 1.028096, 0.914904]","[2.811741, -1.0, -0.734668, -0.874207, -1.691779, 0.355744, 1.078413, 1.002564]"
30,connect_goal,,31,32,0.09258090000002994,,,True,False,,,,periodic_goal_connected,0.7889823157888558,"[2.800995, -0.946621, -0.697475, -0.787437, -1.622444, 0.421086, 1.028096, 0.914904]","[2.811741, -1.0, -0.734668, -0.874207, -1.691779, 0.355744, 1.078413, 1.002564]",
