iteration,phase,sample_type,nearest_idx,node_count,elapsed_s,phase_elapsed_s,collision_check_elapsed_s,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
0,add_node,random,0,2,0.0002435000005789334,,,True,False,,,,best_parent=0,0.08000000000000006,"[6.158296, -0.346555, -1.970737, -1.70581, -1.212388, 0.129845, 0.933701, -1.417149]","[5.747545, -0.353688, -1.784377, -1.662207, -1.374211, 0.393895, 1.017413, -1.492916]","[2.244225, -0.414524, -0.194905, -1.290311, -2.754407, 2.645987, 1.731393, -2.139133]"
1,add_node,goal_bias,1,3,0.000608000000283937,,,True,False,,,,best_parent=0,0.1130707962306612,"[6.158296, -0.346555, -1.970737, -1.70581, -1.212388, 0.129845, 0.933701, -1.417149]","[5.458521, -0.427082, -1.67089, -1.564088, -1.298946, 0.055337, 1.020776, -1.432061]","[3.202401, -1.0, -0.78501, -0.798173, -0.711425, -2.58745, 1.047027, -0.957026]"
2,add_node,goal_bias,2,4,0.0011973000000580214,,,True,False,,,,best_parent=0,0.17880159373023338,"[6.158296, -0.346555, -1.970737, -1.70581, -1.212388, 0.129845, 0.933701, -1.417149]","[5.169498, -0.500477, -1.557403, -1.46597, -1.223681, -0.283221, 1.024138, -1.371206]","[3.202401, -1.0, -0.78501, -0.798173, -0.711425, -2.58745, 1.047027, -0.957026]"
3,add_node,random,1,5,0.0019916000001103384,,,True,False,,,,best_parent=0,0.11356789423598172,"[6.158296, -0.346555, -1.970737, -1.70581, -1.212388, 0.129845, 0.933701, -1.417149]","[5.775809, -0.284034, -1.611511, -1.634198, -1.169398, 0.532561, 0.688442, -1.556157]","[6.102167, 0.520229, 0.384485, -1.310797, 1.195475, 2.133678, -3.110018, -2.286375]"
4,add_node,random,4,6,0.0030210999993869336,,,True,False,,,,best_parent=0,0.1708683160775156,"[6.158296, -0.346555, -1.970737, -1.70581, -1.212388, 0.129845, 0.933701, -1.417149]","[5.328655, -0.208757, -1.69581, -1.716031, -1.332653, 0.659947, 0.594126, -1.624022]","[0.625836, 0.582948, -2.582402, -2.576684, -3.04964, 1.999689, -0.397819, -2.337766]"
5,add_node,goal_bias,3,7,0.00446639999972831,,,True,False,,,,best_parent=0,0.2528932875358837,"[6.158296, -0.346555, -1.970737, -1.70581, -1.212388, 0.129845, 0.933701, -1.417149]","[4.880475, -0.573871, -1.443916, -1.367851, -1.148415, -0.621778, 1.027501, -1.310351]","[3.202401, -1.0, -0.78501, -0.798173, -0.711425, -2.58745, 1.047027, -0.957026]"
6,add_node,random,5,8,0.006044100000508479,,,True,False,,,,best_parent=0,0.21009062968016368,"[6.158296, -0.346555, -1.970737, -1.70581, -1.212388, 0.129845, 0.933701, -1.417149]","[5.054784, -0.125587, -1.801692, -1.505626, -1.421788, 0.728607, 0.826005, -1.501958]","[2.538444, 0.638578, -2.774542, 0.42759, -2.240767, 1.359459, 2.95653, -0.380425]"
7,add_node,random,6,9,0.008203399998819805,,,True,False,,,,best_parent=0,0.2670717756420545,"[6.158296, -0.346555, -1.970737, -1.70581, -1.212388, 0.129845, 0.933701, -1.417149]","[5.049878, -0.574188, -1.329704, -1.013206, -1.128778, -0.538593, 1.084948, -1.019066]","[6.930404, -0.577702, -0.061838, 2.923683, -0.91078, 0.384848, 1.722663, 2.214466]"
8,add_node,goal_bias,6,10,0.009771999999429681,,,True,False,,,,best_parent=0,0.32975751673152637,"[6.158296, -0.346555, -1.970737, -1.70581, -1.212388, 0.129845, 0.933701, -1.417149]","[4.591452, -0.647265, -1.330429, -1.269732, -1.07315, -0.960336, 1.030864, -1.249496]","[3.202401, -1.0, -0.78501, -0.798173, -0.711425, -2.58745, 1.047027, -0.957026]"
9,add_node,goal_bias,9,11,0.011067399998864857,,,True,False,,,,best_parent=9,0.40975751673152633,"[4.591452, -0.647265, -1.330429, -1.269732, -1.07315, -0.960336, 1.030864, -1.249496]","[4.302429, -0.72066, -1.216943, -1.171614, -0.997885, -1.298894, 1.034227, -1.188641]","[3.202401, -1.0, -0.78501, -0.798173, -0.711425, -2.58745, 1.047027, -0.957026]"
