iteration,phase,sample_type,nearest_idx,node_count,elapsed_s,phase_elapsed_s,collision_check_elapsed_s,new_node_collision_count,random_new_node_collision_count,rewire_collision_count,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
0,add_node,goal_bias,0,2,0.00024200000189011917,,,0,0,0,True,False,,,,best_parent=0,0.07999999999999999,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.44207, -0.085408, -0.183516, 0.085982, 0.071779, 0.019273, -0.079996, -0.063217]","[5.160464, -0.997004, -2.142258, 1.003699, 0.83791, 0.224977, -0.933828, -0.737961]"
1,add_node,random,1,3,0.0013106000042171218,,,0,0,0,True,False,,,,best_parent=0,0.14003303252921095,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.778791, -0.176221, -0.143493, 0.131845, -0.048716, -0.144342, 0.149374, -0.020319]","[3.526956, -0.917398, 0.183159, 0.506163, -1.032147, -1.479689, 2.021389, 0.329794]"
2,add_node,random,0,4,0.0019258000029367395,,,0,0,0,True,False,,,,best_parent=0,0.08000000000000004,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.249009, 0.036821, 0.272708, 0.013711, -0.015466, -0.151738, -0.288815, 0.136454]","[2.629454, 0.388822, 2.879706, 0.144787, -0.163315, -1.602307, -3.049791, 1.440912]"
3,add_node,random,3,5,0.0028289000038057566,,,0,0,0,True,False,,,,best_parent=0,0.1413379484735758,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.278106, 0.034787, 0.405567, -0.183514, 0.258183, -0.349692, -0.448569, 0.372441]","[0.553256, 0.015549, 1.661947, -2.048572, 2.845931, -2.221635, -1.959276, 2.604035]"
4,add_node,random,2,6,0.004063300002599135,,,0,0,0,True,False,,,,best_parent=0,0.19100001011967077,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.026591, -0.225657, 0.039633, -0.060645, -0.224829, -0.28086, 0.323629, 0.176917]","[4.282407, -0.875177, 2.445684, -2.589735, -2.538741, -2.074557, 2.613139, 2.768367]"
5,add_node,random,5,7,0.005611200002022088,,,0,0,0,True,False,,,,best_parent=0,0.21152147797115592,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.959217, -0.260288, 0.176742, -0.193965, -0.048016, -0.248531, 0.606163, -0.121422]","[0.46213, -0.515794, 1.188323, -1.17759, 1.256497, -0.01001, 2.690682, -2.322541]"
6,add_node,random,4,8,0.007600800003274344,,,0,0,0,True,False,,,,best_parent=0,0.20477706439625715,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.288185, 0.014272, 0.746125, -0.349493, 0.284909, -0.252405, -0.613468, 0.631849]","[0.34981, -0.111152, 2.82824, -1.364262, 0.448306, 0.342392, -1.621633, 2.217827]"
7,add_node,random,4,9,0.009582900005625561,,,0,0,0,True,False,,,,best_parent=0,0.16719878156841333,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.378602, 0.147602, 0.448178, -0.104, 0.512799, -0.284291, -0.247225, 0.424908]","[1.130954, 0.992179, 0.76718, 0.491275, 2.418951, 0.205324, 1.260106, 0.817697]"
8,add_node,random,7,10,0.0125666000021738,,,0,0,0,True,False,,,,best_parent=0,0.2582224330250467,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.399837, -0.029119, 0.994172, -0.540865, 0.098049, -0.461694, -0.827801, 0.575655]","[1.351092, -0.398802, 3.107492, -2.171325, -1.493972, -2.24481, -2.653888, 0.096896]"
9,add_node,goal_bias,2,11,0.015247900002577808,,,0,0,0,True,False,,,,best_parent=0,0.2113023321985829,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.209348, -0.256874, -0.339898, 0.217516, 0.038407, -0.108051, 0.042935, -0.090837]","[5.160464, -0.997004, -2.142258, 1.003699, 0.83791, 0.224977, -0.933828, -0.737961]"
