iteration,phase,sample_type,nearest_idx,node_count,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
0,add_node,random,0,2,True,False,,,,best_parent=0,0.07999999999999999,"[1.648139, 0.381908, 2.463256, -1.317755, 0.110817, -0.12506, 1.07437, 0.729512]","[1.653082, 0.390053, 2.304139, -1.057224, 0.408513, -0.329821, 1.085405, 0.896454]","[1.694235, 0.457862, 0.979341, 1.111942, 2.887117, -2.034642, 1.177283, 2.286399]"
1,choose_parent,goal_bias,0,2,False,True,"[[""rt_link_end_0"", ""collision_object_0""]]","[1.735141, 0.405158, 2.431166, -1.213138, 0.187689, -0.276542, 1.134031, 0.741617]",0.3,parent_edge_collision,,"[1.648139, 0.381908, 2.463256, -1.317755, 0.110817, -0.12506, 1.07437, 0.729512]","[1.938146, 0.459406, 2.35629, -0.96903, 0.367059, -0.629999, 1.27324, 0.769861]","[4.160148, 1.0, 2.762793, -0.28158, 0.04393, -2.969816, 2.737365, -0.216899]"
1,add_node,goal_bias,1,3,True,False,,,,best_parent=1,0.16,"[1.653082, 0.390053, 2.304139, -1.057224, 0.408513, -0.329821, 1.085405, 0.896454]","[1.938146, 0.459406, 2.35629, -0.96903, 0.367059, -0.629999, 1.27324, 0.769861]","[4.160148, 1.0, 2.762793, -0.28158, 0.04393, -2.969816, 2.737365, -0.216899]"
2,add_node,random,1,4,True,False,,,,best_parent=0,0.14550756413101607,"[1.648139, 0.381908, 2.463256, -1.317755, 0.110817, -0.12506, 1.07437, 0.729512]","[1.687688, 0.318672, 2.31349, -0.721917, 0.604794, -0.451009, 0.897797, 0.918468]","[2.057677, -0.444494, 2.41346, 2.863033, 2.703339, -1.746703, -1.108027, 1.153836]"
3,add_node,random,3,5,True,False,,,,best_parent=0,0.1776390952399813,"[1.648139, 0.381908, 2.463256, -1.317755, 0.110817, -0.12506, 1.07437, 0.729512]","[1.781229, 0.350716, 1.879514, -0.72565, 0.64393, -0.483701, 0.732678, 0.78231]","[2.792308, 0.697077, -2.811309, -0.766007, 1.066951, -0.837067, -1.052084, -0.689413]"
4,add_node,random,2,6,True,False,,,,best_parent=0,0.18501106716864812,"[1.648139, 0.381908, 2.463256, -1.317755, 0.110817, -0.12506, 1.07437, 0.729512]","[2.44973, 0.458058, 2.237101, -0.973964, 0.513735, -0.827298, 1.315212, 0.667056]","[7.553933, 0.444609, 1.047925, -1.023185, 1.977161, -2.795795, 1.733984, -0.358658]"
5,add_node,random,4,7,True,False,,,,best_parent=0,0.2375407374803284,"[1.648139, 0.381908, 2.463256, -1.317755, 0.110817, -0.12506, 1.07437, 0.729512]","[1.709572, 0.398305, 1.535998, -0.585679, 0.568342, -0.66073, 0.513566, 0.846916]","[0.856776, 0.964668, -2.552224, 1.080132, -0.331244, -2.767567, -2.09411, 1.615792]"
6,add_node,random,6,8,True,False,,,,best_parent=0,0.26228337292930737,"[1.648139, 0.381908, 2.463256, -1.317755, 0.110817, -0.12506, 1.07437, 0.729512]","[1.594241, 0.395579, 1.690301, -0.276109, 0.311832, -0.728458, 0.287938, 0.792223]","[0.632012, 0.372834, 2.977689, 2.306704, -1.828285, -1.293527, -1.594521, 0.335913]"
7,add_node,random,5,9,True,False,,,,best_parent=0,0.23639688711890275,"[1.648139, 0.381908, 2.463256, -1.317755, 0.110817, -0.12506, 1.07437, 0.729512]","[2.878882, 0.4517, 2.185468, -0.716334, 0.567432, -0.741761, 1.364495, 0.434769]","[7.284059, 0.386435, 1.655456, 1.928198, 1.118617, 0.136259, 1.870379, -1.949623]"
8,add_node,random,6,10,True,False,,,,best_parent=0,0.25092445319248535,"[1.648139, 0.381908, 2.463256, -1.317755, 0.110817, -0.12506, 1.07437, 0.729512]","[1.889118, 0.404495, 1.280791, -0.650307, 0.356793, -0.414288, 0.407819, 0.633185]","[4.412464, 0.491487, -2.305884, -1.558588, -2.616321, 3.049207, -1.078354, -2.370585]"
9,add_node,random,9,11,True,False,,,,best_parent=0,0.28457699046611196,"[1.648139, 0.381908, 2.463256, -1.317755, 0.110817, -0.12506, 1.07437, 0.729512]","[1.96936, 0.325643, 1.00281, -0.808916, 0.402367, -0.318269, 0.404608, 0.362453]","[2.942941, -0.631083, -2.369981, -2.733337, 0.955323, 0.846752, 0.365657, -2.922376]"
10,add_node,random,3,12,True,False,,,,best_parent=0,0.1632485069444372,"[1.648139, 0.381908, 2.463256, -1.317755, 0.110817, -0.12506, 1.07437, 0.729512]","[1.704949, 0.248109, 2.319636, -0.506751, 0.384338, -0.150207, 0.937248, 1.045559]","[1.868059, -0.418672, 2.37772, 1.526452, -1.698857, 2.692215, 1.310038, 2.2465]"
11,add_node,random,10,13,True,False,,,,best_parent=0,0.2997901265156857,"[1.648139, 0.381908, 2.463256, -1.317755, 0.110817, -0.12506, 1.07437, 0.729512]","[2.163416, 0.250184, 0.792809, -1.00955, 0.264613, -0.20661, 0.636549, 0.416052]","[4.135645, -0.51672, -1.341462, -3.048622, -1.135404, 0.928198, 2.993802, 0.960786]"
12,add_node,random,8,14,True,False,,,,best_parent=0,0.2903649615960125,"[1.648139, 0.381908, 2.463256, -1.317755, 0.110817, -0.12506, 1.07437, 0.729512]","[3.184444, 0.480198, 2.200283, -0.452936, 0.45731, -0.877609, 1.139172, 0.24917]","[6.927546, 0.829298, 2.381765, 2.773653, -0.891667, -2.54173, -1.621008, -2.024394]"
13,choose_parent,goal_bias,0,14,False,True,"[[""rt_link_end_0"", ""collision_object_0""]]","[1.880494, 0.40636, 2.438774, -1.194878, 0.149945, -0.272712, 1.116806, 0.653489]",0.13793103448275862,parent_edge_collision,,"[1.648139, 0.381908, 2.463256, -1.317755, 0.110817, -0.12506, 1.07437, 0.729512]","[3.332708, 0.559185, 2.28576, -0.426898, 0.394494, -1.195533, 1.382028, 0.178348]","[4.160148, 1.0, 2.762793, -0.28158, 0.04393, -2.969816, 2.737365, -0.216899]"
13,add_node,goal_bias,13,15,True,False,,,,best_parent=8,0.3637622460178381,"[2.878882, 0.4517, 2.185468, -0.716334, 0.567432, -0.741761, 1.364495, 0.434769]","[3.332708, 0.559185, 2.28576, -0.426898, 0.394494, -1.195533, 1.382028, 0.178348]","[4.160148, 1.0, 2.762793, -0.28158, 0.04393, -2.969816, 2.737365, -0.216899]"
14,add_node,random,12,16,True,False,,,,best_parent=12,0.3797901265156858,"[2.163416, 0.250184, 0.792809, -1.00955, 0.264613, -0.20661, 0.636549, 0.416052]","[2.518317, 0.21863, 0.55848, -0.755386, 0.096926, -0.139424, 0.652646, 0.313122]","[6.873256, -0.168556, -2.316937, 2.363415, -1.960738, 0.685008, 0.850167, -0.949923]"
15,add_node,random,9,17,True,False,,,,best_parent=0,0.2638910575739906,"[1.648139, 0.381908, 2.463256, -1.317755, 0.110817, -0.12506, 1.07437, 0.729512]","[1.834279, 0.427193, 1.359001, -0.375484, 0.290813, -0.070144, 0.386593, 0.431836]","[1.554044, 0.543185, 1.758666, 1.028901, -0.046356, 1.688483, 0.278129, -0.597088]"
16,add_node,random,14,18,True,False,,,,best_parent=5,0.4158019731165742,"[2.44973, 0.458058, 2.237101, -0.973964, 0.513735, -0.827298, 1.315212, 0.667056]","[3.189973, 0.615106, 2.085366, -0.074654, 0.315608, -1.313639, 1.328768, 0.031861]","[2.333776, 0.950545, 0.883302, 2.038278, -0.157592, -2.022095, 1.00929, -0.846838]"
