iteration,phase,sample_type,nearest_idx,node_count,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
0,add_node,random,0,2,True,False,,,,best_parent=0,0.08000000000000003,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.20124, -0.025397, -0.014822, -0.181987, -0.060161, 0.163557, -0.283196, 0.276669]","[2.010908, -0.253784, -0.148114, -1.818526, -0.60116, 1.634355, -2.829869, 2.764641]"
1,add_node,random,1,3,True,False,,,,best_parent=0,0.13645063324699377,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.68117, -0.088047, 0.133753, -0.253314, -0.11081, 0.358275, -0.261193, 0.271537]","[4.498087, -0.586306, 1.31538, -0.820584, -0.513625, 1.906881, -0.086197, 0.230719]"
2,add_node,random,1,4,True,False,,,,best_parent=0,0.11815565327971232,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.343167, -0.089016, -0.351023, -0.224422, 0.151757, -0.025217, -0.349377, 0.280596]","[1.415814, -0.569828, -2.891944, -0.54513, 1.753379, -1.451921, -0.849549, 0.31028]"
3,add_node,random,0,5,True,False,,,,best_parent=0,0.07999999999999996,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.278313, -0.056052, 0.099288, 0.151058, 0.056826, -0.326299, 0.156786, 0.074316]","[2.672585, -0.538252, 0.953441, 1.450579, 0.545689, -3.133385, 1.505581, 0.713644]"
4,add_node,random,2,6,True,False,,,,best_parent=0,0.1917680773307863,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.814767, -0.066891, 0.085913, -0.385613, -0.491376, 0.584139, -0.405271, 0.289379]","[1.482713, 0.038887, -0.153277, -1.047073, -2.39411, 1.713404, -1.125623, 0.378584]"
5,add_node,random,5,7,True,False,,,,best_parent=0,0.20686374162725826,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.017558, 0.026941, -0.026738, -0.187578, -0.393648, 0.662578, -0.617089, 0.124657]","[3.00548, 0.946749, -1.131032, 1.75372, 0.564362, 1.431492, -2.693498, -1.49007]"
6,add_node,random,5,8,True,False,,,,best_parent=0,0.24197890959925814,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.063327, -0.154276, 0.095417, -0.504256, -0.481801, 0.548598, -0.73244, 0.164825]","[2.472362, -0.649642, 0.149297, -1.176818, -0.42752, 0.34712, -2.587086, -0.541244]"
7,add_node,random,3,9,True,False,,,,best_parent=0,0.1509383903431781,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.549616, -0.084108, -0.538065, -0.247599, 0.156583, -0.318762, -0.399411, -0.037237]","[2.509247, -0.037524, -2.313481, -0.467599, 0.202392, -3.105105, -0.874346, -3.054135]"
8,add_node,random,4,10,True,False,,,,best_parent=0,0.1355925013202964,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.717176, 0.014806, 0.202566, 0.139404, 0.033063, -0.395705, 0.345407, 0.245874]","[5.559898, 0.796697, 1.342209, 0.010804, -0.229152, -1.161583, 2.426786, 2.138967]"
9,add_node,random,6,11,True,False,,,,best_parent=0,0.2573927650880749,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.332517, 0.095971, -0.218312, -0.050701, -0.518004, 0.591357, -0.797335, 0.309794]","[4.729087, 0.840403, -2.284272, 1.425399, -1.859085, -0.176694, -2.74114, 2.306337]"
10,add_node,goal_bias,10,12,True,False,,,,best_parent=0,0.2633807378488845,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.273728, 0.206191, -0.323085, 0.121755, -0.479891, 0.49768, -0.832659, 0.030068]","[0.850332, 1.0, -1.077664, 1.363786, -0.2054, -0.176982, -1.087064, -1.984521]"
11,add_node,random,9,13,True,False,,,,best_parent=0,0.20495238908912317,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.195966, -0.002672, 0.372253, 0.132192, 0.104042, -0.571878, 0.27104, 0.430482]","[6.636473, -0.201272, 2.300415, 0.050251, 0.910573, -2.573737, -0.573984, 2.528182]"
