iteration,phase,sample_type,nearest_idx,node_count,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
0,add_node,random,0,2,True,False,,,,best_parent=0,0.07999999999999999,"[5.816357, -0.789468, -2.030701, -0.423249, -0.679682, 0.837758, 2.004182, 0.293804]","[5.660124, -0.737004, -1.878831, -0.452553, -0.791873, 0.596432, 1.791075, 0.029833]","[4.221078, -0.253768, -0.47997, -0.72247, -1.825258, -1.62641, -0.171838, -2.401582]"
1,add_node,goal_bias,1,3,True,False,,,,best_parent=0,0.1369828415952994,"[5.816357, -0.789468, -2.030701, -0.423249, -0.679682, 0.837758, 2.004182, 0.293804]","[5.396702, -0.600076, -1.961041, -0.527684, -0.744718, 0.52251, 1.776291, -0.028356]","[3.233708, 0.524257, -2.636081, -1.144597, -0.357517, -0.084468, 1.654899, -0.506157]"
2,add_node,goal_bias,2,4,True,False,,,,best_parent=0,0.20959150217278794,"[5.816357, -0.789468, -2.030701, -0.423249, -0.679682, 0.837758, 2.004182, 0.293804]","[5.13328, -0.463148, -2.043251, -0.602816, -0.697562, 0.448589, 1.761507, -0.086545]","[3.233708, 0.524257, -2.636081, -1.144597, -0.357517, -0.084468, 1.654899, -0.506157]"
3,add_node,random,3,5,True,False,,,,best_parent=0,0.24520340865464874,"[5.816357, -0.789468, -2.030701, -0.423249, -0.679682, 0.837758, 2.004182, 0.293804]","[4.93645, -0.445166, -1.726029, -0.700602, -0.75513, 0.462123, 1.442343, 0.009266]","[2.288189, -0.203214, 2.542061, -2.016282, -1.529684, 0.644215, -2.85187, 1.298359]"
4,add_node,random,4,6,True,False,,,,best_parent=0,0.27913430490448066,"[5.816357, -0.789468, -2.030701, -0.423249, -0.679682, 0.837758, 2.004182, 0.293804]","[4.870613, -0.473522, -1.62794, -0.603055, -0.824761, 0.492508, 0.993835, -0.115917]","[4.303263, -0.717878, -0.782666, 0.237558, -1.424802, 0.75435, -2.871165, -1.194672]"
5,add_node,random,5,7,True,False,,,,best_parent=0,0.3253599964759257,"[5.816357, -0.789468, -2.030701, -0.423249, -0.679682, 0.837758, 2.004182, 0.293804]","[4.902068, -0.369187, -1.331463, -0.503002, -0.986461, 0.359827, 1.029616, -0.077028]","[5.307003, 0.97395, 2.48521, 0.785015, -3.068086, -1.348238, 1.490241, 0.42361]"
6,add_node,random,6,8,True,False,,,,best_parent=1,0.3884483896797878,"[5.660124, -0.737004, -1.878831, -0.452553, -0.791873, 0.596432, 1.791075, 0.029833]","[5.207539, -0.256319, -1.349665, -0.575741, -0.920774, 0.177463, 0.873899, -0.096843]","[7.728458, 0.675139, -1.499875, -1.176023, -0.378687, -1.327506, -0.411163, -0.260373]"
7,add_node,random,7,9,True,False,,,,best_parent=1,0.401535812281558,"[5.660124, -0.737004, -1.878831, -0.452553, -0.791873, 0.596432, 1.791075, 0.029833]","[5.383372, -0.266915, -1.006279, -0.360498, -0.826229, 0.093773, 0.88749, 0.129851]","[6.605265, -0.340551, 1.379973, 1.135268, -0.169222, -0.487805, 0.981936, 1.705192]"
8,add_node,random,6,10,True,False,,,,best_parent=0,0.33852797728926626,"[5.816357, -0.789468, -2.030701, -0.423249, -0.679682, 0.837758, 2.004182, 0.293804]","[4.780276, -0.394624, -1.003381, -0.589724, -0.715944, 0.479643, 1.108267, -0.243681]","[4.030964, -0.551119, 1.015104, -1.123269, 0.948377, 1.216802, 1.59216, -1.268998]"
9,add_node,random,9,11,True,False,,,,best_parent=1,0.3774970559605131,"[5.660124, -0.737004, -1.878831, -0.452553, -0.791873, 0.596432, 1.791075, 0.029833]","[4.764088, -0.404218, -0.698761, -0.657503, -0.406925, 0.518834, 1.246898, -0.049522]","[4.579159, -0.513823, 2.781173, -1.431797, 3.123265, 0.966545, 2.8306, 2.168528]"
