iteration,phase,sample_type,nearest_idx,node_count,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
0,add_node,random,0,2,True,False,,,,best_parent=0,0.08,"[1.639282, 0.538089, -0.666267, 0.88684, -0.412019, -2.596525, -1.788258, -0.293579]","[1.591027, 0.447135, -0.685045, 0.832269, -0.147197, -2.341494, -1.686503, -0.436801]","[1.170919, -0.344706, -0.848527, 0.357181, 2.158312, -0.12123, -0.800631, -1.683672]"
1,extend,random,1,2,False,True,"[[""rt_link_end_0"", ""collision_object_0""]]","[1.865662, 0.39103, -0.698873, 1.03346, -0.20358, -2.24415, -1.459523, -0.393225]",0.8571428571428571,extend_edge_collision,,"[1.591027, 0.447135, -0.685045, 0.832269, -0.147197, -2.341494, -1.686503, -0.436801]","[1.911434, 0.381679, -0.701178, 1.066991, -0.212977, -2.227926, -1.421693, -0.385962]","[3.827906, -0.009836, -0.79767, 2.470951, -0.606435, -1.548632, 0.162227, -0.08188]"
2,add_node,random,1,3,True,False,,,,best_parent=0,0.14317443718702122,"[1.639282, 0.538089, -0.666267, 0.88684, -0.412019, -2.596525, -1.788258, -0.293579]","[1.773268, 0.409673, -0.859136, 0.564154, -0.128479, -2.026192, -1.655289, -0.557829]","[4.03016, -0.054257, -3.015087, -2.756191, 0.103316, 1.878532, -1.26873, -2.056644]"
3,add_node,goal_bias,1,4,True,False,,,,best_parent=0,0.10697487191594944,"[1.639282, 0.538089, -0.666267, 0.88684, -0.412019, -2.596525, -1.788258, -0.293579]","[1.627467, 0.44847, -0.636311, 1.0678, -0.434174, -2.253974, -1.374195, -0.515203]","[1.755064, 0.453146, -0.465666, 1.892525, -1.439037, -1.947518, -0.280635, -0.789732]"
4,extend,random,3,4,False,True,"[[""rt_link_end_0"", ""collision_object_0""]]","[1.672718, 0.449841, -0.612616, 1.06815, -0.408933, -2.257345, -1.32695, -0.495293]",0.14285714285714285,extend_edge_collision,,"[1.627467, 0.44847, -0.636311, 1.0678, -0.434174, -2.253974, -1.374195, -0.515203]","[1.944228, 0.458068, -0.470445, 1.070248, -0.257486, -2.277568, -1.043478, -0.37583]","[4.958222, 0.549395, 1.107776, 1.093535, 1.423701, -2.502064, 2.103308, 0.950305]"
5,add_node,random,2,5,True,False,,,,best_parent=0,0.1980879087299068,"[1.639282, 0.538089, -0.666267, 0.88684, -0.412019, -2.596525, -1.788258, -0.293579]","[2.097704, 0.414792, -0.731862, 0.279753, -0.090539, -1.80924, -1.791488, -0.704428]","[5.207458, 0.463865, 0.48808, -2.446266, 0.273128, 0.270265, -3.096975, -2.1096]"
6,add_node,random,4,6,True,False,,,,best_parent=0,0.23177389110779156,"[1.639282, 0.538089, -0.666267, 0.88684, -0.412019, -2.596525, -1.788258, -0.293579]","[2.073273, 0.430688, -0.911663, 0.20206, -0.327123, -1.511865, -1.543974, -0.630228]","[1.816422, 0.5978, -2.801992, -0.614761, -2.814448, 1.614576, 1.058248, 0.149866]"
7,add_node,random,5,7,True,False,,,,best_parent=0,0.2706624027476479,"[1.639282, 0.538089, -0.666267, 0.88684, -0.412019, -2.596525, -1.788258, -0.293579]","[2.049647, 0.475347, -0.867281, 0.12626, -0.525097, -1.211198, -1.358199, -0.384126]","[1.772173, 0.999827, -0.346059, -0.763937, -2.850114, 2.319857, 0.823565, 2.506114]"
8,add_node,random,6,8,True,False,,,,best_parent=0,0.32713959226196465,"[1.639282, 0.538089, -0.666267, 0.88684, -0.412019, -2.596525, -1.788258, -0.293579]","[1.998356, 0.361757, -0.960138, 0.009712, -0.472758, -0.999782, -1.185484, -0.539226]","[1.438907, -0.877225, -1.972976, -1.261537, 0.098133, 1.306231, 0.698402, -2.230974]"
9,extend,random,3,8,False,True,"[[""rt_link_end_0"", ""collision_object_0""]]","[1.692281, 0.430301, -0.630932, 1.099899, -0.437373, -2.259004, -1.376753, -0.514406]",0.16666666666666666,extend_edge_collision,,"[1.627467, 0.44847, -0.636311, 1.0678, -0.434174, -2.253974, -1.374195, -0.515203]","[2.01635, 0.339457, -0.604037, 1.26039, -0.453369, -2.284154, -1.389541, -0.510423]","[5.313298, -0.584753, -0.330419, 2.89316, -0.61611, -2.540022, -1.519642, -0.469901]"
10,extend,goal_bias,3,8,False,True,"[[""rt_link_end_0"", ""collision_object_0""]]","[1.632673, 0.448661, -0.629349, 1.101448, -0.475171, -2.241471, -1.32958, -0.526403]",0.14285714285714285,extend_edge_collision,,"[1.627467, 0.44847, -0.636311, 1.0678, -0.434174, -2.253974, -1.374195, -0.515203]","[1.663907, 0.449805, -0.587577, 1.303332, -0.721151, -2.166454, -1.061887, -0.593605]","[1.755064, 0.453146, -0.465666, 1.892525, -1.439037, -1.947518, -0.280635, -0.789732]"
11,extend,goal_bias,3,8,False,True,"[[""rt_link_end_0"", ""collision_object_0""]]","[1.632673, 0.448661, -0.629349, 1.101448, -0.475171, -2.241471, -1.32958, -0.526403]",0.14285714285714285,extend_edge_collision,,"[1.627467, 0.44847, -0.636311, 1.0678, -0.434174, -2.253974, -1.374195, -0.515203]","[1.663907, 0.449805, -0.587577, 1.303332, -0.721151, -2.166454, -1.061887, -0.593605]","[1.755064, 0.453146, -0.465666, 1.892525, -1.439037, -1.947518, -0.280635, -0.789732]"
12,extend,goal_bias,3,8,False,True,"[[""rt_link_end_0"", ""collision_object_0""]]","[1.632673, 0.448661, -0.629349, 1.101448, -0.475171, -2.241471, -1.32958, -0.526403]",0.14285714285714285,extend_edge_collision,,"[1.627467, 0.44847, -0.636311, 1.0678, -0.434174, -2.253974, -1.374195, -0.515203]","[1.663907, 0.449805, -0.587577, 1.303332, -0.721151, -2.166454, -1.061887, -0.593605]","[1.755064, 0.453146, -0.465666, 1.892525, -1.439037, -1.947518, -0.280635, -0.789732]"
