iteration,phase,sample_type,nearest_idx,node_count,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
0,add_node,random,0,2,True,False,,,,best_parent=0,0.08000000000000003,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.412729, 0.065838, 0.04539, -0.059553, -0.192697, -0.038634, -0.167807, -0.172138]","[5.797448, 0.924806, 0.637576, -0.83652, -2.706749, -0.542681, -2.357121, -2.417955]"
1,add_node,random,1,3,True,False,,,,best_parent=0,0.1286709747614144,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.827408, 0.040629, -0.104214, -0.04006, -0.257448, 0.196523, -0.293231, 0.026585]","[5.877249, -0.266363, -1.926049, 0.197318, -1.045963, 3.060195, -1.820613, 2.446577]"
2,add_node,goal_bias,2,4,True,False,,,,best_parent=0,0.15079340332410124,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.050197, 0.119419, -0.126992, 0.043463, -0.074085, 0.181987, 0.048426, -0.015536]","[1.974323, 0.446241, -0.221473, 0.389918, 0.686503, 0.121691, 1.465617, -0.190257]"
3,add_node,random,2,5,True,False,,,,best_parent=0,0.16241118419625628,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.90036, -0.027901, -0.342021, 0.061089, -0.418148, 0.379378, -0.132082, 0.251809]","[1.688548, -0.768317, -2.911341, 1.153935, -2.154393, 2.354989, 1.609014, 2.68518]"
4,add_node,random,2,6,True,False,,,,best_parent=0,0.1688558741119207,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.131011, -0.036165, -0.066456, -0.264987, -0.184757, 0.12103, -0.351451, -0.237276]","[3.666023, -0.677376, 0.248815, -2.143074, 0.422195, -0.509318, -0.837574, -2.440457]"
5,add_node,random,5,7,True,False,,,,best_parent=0,0.19959386601718304,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.021125, -0.101587, -0.318356, -0.211667, -0.262846, 0.29223, -0.481979, -0.526818]","[0.154339, -0.617637, -2.305358, 0.208925, -0.878818, 1.64267, -1.511586, -2.810736]"
6,add_node,random,4,8,True,False,,,,best_parent=0,0.22918736424803363,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.205926, -0.061737, -0.316194, 0.299086, -0.574056, 0.588085, -0.342279, 0.364752]","[4.040369, -0.375602, -0.076624, 2.506754, -2.020268, 2.524069, -2.292079, 1.412414]"
7,add_node,random,7,9,True,False,,,,best_parent=0,0.23836147369894722,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.205235, -0.051561, -0.018604, 0.555334, -0.533003, 0.581835, -0.130862, 0.590007]","[1.198351, 0.049931, 2.949444, 3.111056, -0.123555, 0.519494, 1.977739, 2.836617]"
8,add_node,random,6,10,True,False,,,,best_parent=0,0.2649308953771631,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.429709, -0.159509, -0.520067, -0.315378, -0.282936, 0.140764, -0.678911, -0.542994]","[5.102398, -0.680159, -2.333203, -1.247615, -0.46352, -1.220744, -2.449096, -0.688396]"
9,add_node,random,8,11,True,False,,,,best_parent=0,0.31264719703142246,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.587394, -0.108246, 0.035759, 0.755194, -0.574309, 0.724866, -0.253013, 0.810123]","[5.407736, -0.674913, 0.579213, 2.753139, -0.987229, 2.154718, -1.474125, 3.010573]"
10,add_node,random,9,12,True,False,,,,best_parent=0,0.3182332947202375,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.845372, -0.10673, -0.650858, -0.492827, -0.381266, 0.268883, -0.82619, -0.403743]","[7.580477, 0.621487, -2.45545, -2.941188, -1.737974, 2.036611, -2.858279, 1.517563]"
11,add_node,random,11,13,True,False,,,,best_parent=11,0.3982332947202375,"[1.845372, -0.10673, -0.650858, -0.492827, -0.381266, 0.268883, -0.82619, -0.403743]","[2.084583, -0.127503, -0.929116, -0.484201, -0.397062, 0.553848, -1.021338, -0.281463]","[3.327863, -0.235467, -2.375337, -0.439363, -0.479161, 2.034929, -2.035602, 0.35408]"
12,add_node,random,8,14,True,False,,,,best_parent=0,0.26407606679776785,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.279904, -0.015226, -0.077814, 0.673276, -0.694089, 0.800938, 0.146279, 0.329839]","[1.861042, 0.26757, -0.538635, 1.591204, -1.947802, 2.506199, 2.303234, -1.695024]"
13,add_node,random,13,15,True,False,,,,best_parent=0,0.2981100887185608,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.693525, -0.018315, -0.128362, 0.639365, -0.527879, 0.879302, 0.429316, 0.166688]","[5.648908, -0.047861, -0.61175, 0.315087, 1.061553, 1.628683, 3.13595, -1.393495]"
14,add_node,random,6,16,True,False,,,,best_parent=0,0.2219604759899354,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.067672, -0.080387, -0.02101, 0.021058, -0.144871, 0.457512, -0.672689, -0.68937]","[1.475474, 0.105339, 2.584043, 2.059961, 0.888715, 1.905544, -2.343499, -2.113487]"
15,add_node,random,3,17,True,False,,,,best_parent=0,0.2096445102078652,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.329548, 0.210999, -0.094925, 0.258305, -0.123205, 0.078441, 0.160284, -0.233643]","[3.421585, 0.89683, 0.145218, 1.867233, -0.491058, -0.697004, 0.997974, -1.867023]"
16,add_node,random,16,18,True,False,,,,best_parent=0,0.25592032888131094,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.445709, 0.276583, -0.239224, 0.431754, -0.063313, -0.100495, -0.052656, -0.497488]","[2.539759, 0.894286, -1.598295, 2.065375, 0.500769, -1.785791, -2.05821, -2.982492]"
17,add_node,random,12,19,True,False,,,,best_parent=6,0.43359849454910754,"[1.021125, -0.101587, -0.318356, -0.211667, -0.262846, 0.29223, -0.481979, -0.526818]","[1.945882, -0.200483, -1.150551, -0.450812, -0.373245, 0.80348, -1.188098, -0.498013]","[1.416239, -0.479165, -1.996123, -0.323315, -0.282298, 1.75672, -1.824885, -1.324929]"
18,add_node,random,15,20,True,False,,,,best_parent=0,0.24457709385989984,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.310406, -0.125197, 0.318793, 0.215406, -0.019201, 0.298535, -0.640019, -0.687255]","[2.487074, -0.342415, 1.96601, 1.15752, 0.589991, -0.472115, -0.481648, -0.677003]"
19,add_node,random,5,21,True,False,,,,best_parent=0,0.19048838611226315,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.179337, -0.075313, 0.06212, -0.581419, -0.031814, 0.030227, -0.091979, -0.379387]","[1.537524, -0.365474, 1.015107, -2.92677, 1.101781, -0.642789, 1.831196, -1.432696]"
20,add_node,random,17,22,True,False,,,,best_parent=0,0.31097689185685223,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.830031, 0.328271, -0.021626, 0.587864, -0.15173, -0.310863, -0.072792, -0.405131]","[6.648976, 0.976378, 2.706797, 2.545295, -1.260366, -2.948624, -0.325274, 0.752914]"
