iteration,phase,sample_type,nearest_idx,node_count,elapsed_s,phase_elapsed_s,collision_check_elapsed_s,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
0,add_node,random,0,2,0.0002417999985482311,,,True,False,,,,best_parent=0,0.08000000000000006,"[6.968197, -0.701241, -1.71032, -1.839703, 0.636857, 0.76146, -2.302465, -1.05511]","[6.635203, -0.641708, -1.45103, -1.67318, 0.678184, 0.57844, -2.203429, -1.141229]","[0.832441, 0.395718, 3.067355, 1.228646, 1.398348, -2.61086, -0.477632, -2.641946]"
1,add_node,goal_bias,1,3,0.0006232999985513743,,,True,False,,,,best_parent=0,0.12916713279659195,"[6.968197, -0.701241, -1.71032, -1.839703, 0.636857, 0.76146, -2.302465, -1.05511]","[6.3915, -0.540574, -1.598265, -1.527334, 0.461768, 0.536386, -2.285074, -1.015482]","[3.839626, 0.51842, -3.14, -0.00015, -1.804381, 0.096026, -3.14, 0.301248]"
2,add_node,random,1,4,0.0011736999986169394,,,True,False,,,,best_parent=0,0.13716103201289578,"[6.968197, -0.701241, -1.71032, -1.839703, 0.636857, 0.76146, -2.302465, -1.05511]","[6.642898, -0.642451, -1.117366, -1.650529, 0.561661, 0.419794, -1.961142, -0.933699]","[6.721298, -0.650028, 2.282199, -1.419747, -0.625543, -1.196587, 0.507418, 1.180745]"
3,add_node,random,2,5,0.002036500000031083,,,True,False,,,,best_parent=0,0.19372706238930243,"[6.968197, -0.701241, -1.71032, -1.839703, 0.636857, 0.76146, -2.302465, -1.05511]","[5.952514, -0.502273, -1.459829, -1.363605, 0.350864, 0.671081, -2.243153, -0.820565]","[0.049036, 0.012803, 0.40186, 0.838231, -1.140581, 2.482455, -1.679401, 1.800684]"
4,add_node,random,4,6,0.0031494999984715832,,,True,False,,,,best_parent=0,0.24164402911088173,"[6.968197, -0.701241, -1.71032, -1.839703, 0.636857, 0.76146, -2.302465, -1.05511]","[5.959481, -0.498313, -1.273155, -1.058822, 0.065552, 0.540396, -2.09087, -0.873569]","[6.009374, -0.469953, 0.063655, 1.123797, -1.977623, -0.395468, -1.000334, -1.253147]"
5,add_node,random,5,7,0.004780499999469612,,,True,False,,,,best_parent=0,0.2655710395358375,"[6.968197, -0.701241, -1.71032, -1.839703, 0.636857, 0.76146, -2.302465, -1.05511]","[6.148382, -0.507113, -1.305353, -1.048448, -0.362108, 0.615957, -1.901334, -0.93207]","[7.077797, -0.550409, -1.46377, -0.99741, -2.466255, 0.987726, -0.968796, -1.219898]"
6,add_node,random,6,8,0.006489499999588588,,,True,False,,,,best_parent=0,0.27186639205419183,"[6.968197, -0.701241, -1.71032, -1.839703, 0.636857, 0.76146, -2.302465, -1.05511]","[6.322197, -0.486017, -1.407135, -0.915958, -0.188055, 0.858997, -1.61623, -0.757814]","[7.701815, -0.318573, -2.215013, 0.135654, 1.193457, 2.788081, 0.646729, 0.625302]"
7,add_node,goal_bias,6,9,0.00858209999933024,,,True,False,,,,best_parent=0,0.3163662632789798,"[6.968197, -0.701241, -1.71032, -1.839703, 0.636857, 0.76146, -2.302465, -1.05511]","[5.90966, -0.401074, -1.495053, -0.940056, -0.511237, 0.562197, -2.029411, -0.804546]","[3.839626, 0.51842, -3.14, -0.00015, -1.804381, 0.096026, -3.14, 0.301248]"
8,add_node,random,7,10,0.010954699999274453,,,True,False,,,,best_parent=0,0.32454159068046773,"[6.968197, -0.701241, -1.71032, -1.839703, 0.636857, 0.76146, -2.302465, -1.05511]","[6.324252, -0.428819, -1.381206, -0.636647, -0.013734, 0.878638, -1.313483, -0.619862]","[6.347577, 0.220151, -1.087009, 2.532423, 1.964115, 1.101478, 2.121491, 0.945347]"
9,add_node,goal_bias,8,11,0.013308699999470264,,,True,False,,,,best_parent=2,0.39584615548780655,"[6.3915, -0.540574, -1.598265, -1.527334, 0.461768, 0.536386, -2.285074, -1.015482]","[5.670938, -0.295035, -1.684753, -0.831663, -0.660366, 0.508436, -2.157487, -0.677023]","[3.839626, 0.51842, -3.14, -0.00015, -1.804381, 0.096026, -3.14, 0.301248]"
10,add_node,random,9,12,0.015981499998815707,,,True,False,,,,best_parent=7,0.4011676342871452,"[6.322197, -0.486017, -1.407135, -0.915958, -0.188055, 0.858997, -1.61623, -0.757814]","[6.273526, -0.460085, -1.165977, -0.530028, -0.2202, 0.675821, -1.082732, -0.404361]","[5.977257, -0.642694, 0.091072, 0.092686, -1.42607, -0.508737, 0.264977, 0.85428]"
11,add_node,random,11,13,0.018361999998887768,,,True,False,,,,best_parent=9,0.44158328218271026,"[6.324252, -0.428819, -1.381206, -0.636647, -0.013734, 0.878638, -1.313483, -0.619862]","[6.186682, -0.356478, -1.303535, -0.547938, -0.308841, 0.801233, -0.775557, -0.336394]","[5.131627, 0.902213, -2.974694, -0.765519, -1.385727, 2.324843, 2.956244, 0.489319]"
12,add_node,goal_bias,10,14,0.021212399999058107,,,True,False,,,,best_parent=2,0.4617734866595724,"[6.3915, -0.540574, -1.598265, -1.527334, 0.461768, 0.536386, -2.285074, -1.015482]","[5.432215, -0.188997, -1.874453, -0.723271, -0.809495, 0.454676, -2.285563, -0.5495]","[3.839626, 0.51842, -3.14, -0.00015, -1.804381, 0.096026, -3.14, 0.301248]"
13,add_node,goal_bias,13,15,0.02327269999841519,,,True,False,,,,best_parent=13,0.5417734866595725,"[5.432215, -0.188997, -1.874453, -0.723271, -0.809495, 0.454676, -2.285563, -0.5495]","[5.193493, -0.082958, -2.064153, -0.614878, -0.958624, 0.400916, -2.41364, -0.421977]","[3.839626, 0.51842, -3.14, -0.00015, -1.804381, 0.096026, -3.14, 0.301248]"
14,add_node,random,12,16,0.02592740000000049,,,True,False,,,,best_parent=9,0.4999378544897752,"[6.324252, -0.428819, -1.381206, -0.636647, -0.013734, 0.878638, -1.313483, -0.619862]","[5.907369, -0.297524, -1.395952, -0.377841, -0.16707, 0.901096, -0.463544, -0.273626]","[3.343881, 0.243547, -2.244144, 1.183276, 1.134085, 1.817622, 2.400065, 0.302447]"
15,add_node,random,11,17,0.029245499999888125,,,True,False,,,,best_parent=7,0.46315478078267114,"[6.322197, -0.486017, -1.407135, -0.915958, -0.188055, 0.858997, -1.61623, -0.757814]","[6.055208, -0.486461, -0.990384, -0.470156, -0.419367, 0.38066, -0.945249, -0.216423]","[3.640019, -0.778256, 0.95215, 0.19219, -2.622694, -2.884612, 0.575681, 1.862668]"
16,add_node,random,15,18,0.03173929999866232,,,True,False,,,,best_parent=9,0.5395102602901969,"[6.324252, -0.428819, -1.381206, -0.636647, -0.013734, 0.878638, -1.313483, -0.619862]","[5.630982, -0.391526, -1.37757, -0.308411, -0.322876, 0.989625, -0.20302, -0.382563]","[3.963936, -0.958503, -1.266697, 0.110364, -1.262632, 1.523597, 1.368343, -1.039621]"
17,add_node,random,14,19,0.033007799998813425,,,True,False,,,,best_parent=8,0.5788777027497501,"[5.90966, -0.401074, -1.495053, -0.940056, -0.511237, 0.562197, -2.029411, -0.804546]","[4.957794, -0.066642, -1.894318, -0.386168, -1.155106, 0.52516, -2.41698, -0.703881]","[3.315922, 0.047019, -0.711261, 1.207013, -2.523789, 1.390631, -2.44025, -2.667609]"
18,add_node,random,16,20,0.03680329999951937,,,True,False,,,,best_parent=3,0.4767374228195408,"[6.642898, -0.642451, -1.117366, -1.650529, 0.561661, 0.419794, -1.961142, -0.933699]","[5.954824, -0.424816, -0.651355, -0.670491, -0.480669, 0.161546, -0.985238, -0.227744]","[4.977835, 0.175145, 2.64826, -2.620267, -1.077295, -1.970989, -1.374435, -0.337925]"
19,add_node,random,15,21,0.0398150999990321,,,True,False,,,,best_parent=9,0.5430223751275479,"[6.324252, -0.428819, -1.381206, -0.636647, -0.013734, 0.878638, -1.313483, -0.619862]","[6.071524, -0.189139, -1.437535, -0.162122, -0.227813, 0.652605, -0.392132, -0.301064]","[7.782778, 0.940735, -1.871026, 2.086664, -0.861032, -1.937817, 0.352303, -0.587096]"
