iteration,phase,sample_type,nearest_idx,node_count,elapsed_s,phase_elapsed_s,collision_check_elapsed_s,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
0,add_node,random,0,2,0.00039010000000416767,,,True,False,,,,best_parent=0,0.08000000000000006,"[4.740715, 0.836099, 0.769328, 0.391172, 0.278458, -0.44653, 1.967215, -2.654108]","[4.487227, 0.752991, 0.87221, 0.393728, 0.323477, -0.495707, 1.725665, -2.38893]","[0.244652, -0.637954, 2.594128, 0.436496, 1.076952, -1.318773, -2.317116, 2.049295]"
1,add_node,random,1,3,0.0011326999992888886,,,True,False,,,,best_parent=0,0.13187885317642412,"[4.740715, 0.836099, 0.769328, 0.391172, 0.278458, -0.44653, 1.967215, -2.654108]","[4.409552, 0.697347, 0.795275, 0.089413, 0.046306, -0.655134, 1.662544, -2.273546]","[3.621208, 0.132589, 0.01443, -2.999174, -2.766791, -2.273206, 1.021908, -1.102479]"
2,add_node,random,2,4,0.004178999999567168,,,True,False,,,,best_parent=0,0.19311192294784454,"[4.740715, 0.836099, 0.769328, 0.391172, 0.278458, -0.44653, 1.967215, -2.654108]","[4.533783, 0.617696, 0.77108, 0.024581, 0.206083, -0.739594, 1.409022, -1.993586]","[6.627901, -0.724948, 0.363234, -1.068285, 2.89938, -2.163309, -2.864512, 2.725613]"
3,add_node,random,3,5,0.005748099998527323,,,True,False,,,,best_parent=0,0.2520214409193344,"[4.740715, 0.836099, 0.769328, 0.391172, 0.278458, -0.44653, 1.967215, -2.654108]","[4.506701, 0.620293, 0.525969, -0.097643, 0.034853, -0.754859, 1.172073, -1.691658]","[4.157203, 0.653808, -2.637157, -1.674922, -2.174849, -0.951857, -1.885721, 2.204694]"
4,add_node,random,4,6,0.009860799998932634,,,True,False,,,,best_parent=0,0.26617842254945534,"[4.740715, 0.836099, 0.769328, 0.391172, 0.278458, -0.44653, 1.967215, -2.654108]","[4.544828, 0.560266, 0.232127, 0.00694, 0.337011, -0.597589, 1.133408, -1.72559]","[4.875223, 0.0401, -2.314159, 0.913206, 2.955361, 0.765235, 0.798356, -2.01963]"
5,add_node,random,4,7,0.016781099999207072,,,True,False,,,,best_parent=0,0.3186178586063677,"[4.740715, 0.836099, 0.769328, 0.391172, 0.278458, -0.44653, 1.967215, -2.654108]","[4.206319, 0.558542, 0.528696, -0.280814, -0.136467, -0.670826, 0.911128, -1.551206]","[0.024645, -0.301109, 0.566664, -2.83078, -2.521441, 0.499017, -2.721546, 0.40405]"
6,add_node,random,5,8,0.025555299998814007,,,True,False,,,,best_parent=0,0.2877059818146453,"[4.740715, 0.836099, 0.769328, 0.391172, 0.278458, -0.44653, 1.967215, -2.654108]","[4.791965, 0.5279, -0.072647, 0.259874, 0.339921, -0.469814, 1.001766, -1.839405]","[7.053475, 0.231724, -2.861584, 2.574426, 0.366553, 0.699437, -0.20287, -2.880903]"
7,add_node,random,7,9,0.03140679999887652,,,True,False,,,,best_parent=0,0.3473375148534449,"[4.740715, 0.836099, 0.769328, 0.391172, 0.278458, -0.44653, 1.967215, -2.654108]","[4.939644, 0.4322, -0.118389, 0.087341, 0.343674, -0.306207, 0.703376, -1.864839]","[6.840456, -0.799582, -0.70714, -2.133369, 0.391976, 1.79961, -3.137272, -2.192205]"
8,add_node,random,8,10,0.03634280000005674,,,True,False,,,,best_parent=7,0.41737824771159315,"[4.791965, 0.5279, -0.072647, 0.259874, 0.339921, -0.469814, 1.001766, -1.839405]","[4.679688, 0.380804, -0.286945, 0.232745, 0.198453, -0.150614, 0.524222, -1.6267]","[0.279756, -0.489095, -3.139866, 2.693798, -2.259496, 2.482907, -2.508081, 2.403955]"
9,add_node,goal_bias,9,11,0.04567179999867221,,,True,False,,,,best_parent=7,0.43456113553052567,"[4.791965, 0.5279, -0.072647, 0.259874, 0.339921, -0.469814, 1.001766, -1.839405]","[4.75051, 0.309593, -0.107312, 0.46167, 0.0713, -0.462704, 0.51959, -1.657894]","[5.03654, 0.021986, 0.618179, 1.38624, -0.442241, -1.723162, 0.500885, -1.783881]"
