iteration,phase,sample_type,nearest_idx,node_count,elapsed_s,phase_elapsed_s,collision_check_elapsed_s,new_node_collision_count,random_new_node_collision_count,rewire_collision_count,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
0,add_node,random,0,2,0.0002601000014692545,,,0,0,0,True,False,,,,best_parent=0,0.08,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.020739, -0.047852, -0.223769, 0.210146, 0.129054, -0.01778, 0.323715, -0.11645]","[0.200284, -0.462133, -2.161066, 2.029502, 1.246351, -0.171715, 3.126296, -1.124625]"
1,add_node,goal_bias,0,3,0.0006696000054944307,,,0,0,0,True,False,,,,best_parent=0,0.08,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.363906, 0.05941, 0.186547, -0.046001, 0.052672, 0.186547, 0.157022, 0.186482]","[6.125336, 1.0, 3.14, -0.774292, 0.886594, 3.14, 2.643031, 3.1389]"
2,add_node,random,2,4,0.0014272000044002198,,,0,0,0,True,False,,,,best_parent=0,0.14601531547795565,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.737926, 0.134933, 0.292439, -0.169035, -0.133665, 0.185301, 0.066606, 0.382747]","[4.650438, 0.924959, 1.400147, -1.456061, -2.082883, 0.172263, -0.879216, 2.435814]"
3,add_node,random,3,5,0.002492800005711615,,,0,0,0,True,False,,,,best_parent=0,0.19490612552267048,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.974072, 0.166817, 0.188961, -0.342444, 0.121634, 0.303093, -0.148557, 0.585274]","[3.250077, 0.474119, -0.808372, -2.013785, 2.582238, 1.438383, -2.222322, 2.537256]"
4,add_node,random,4,6,0.003973000006226357,,,0,0,0,True,False,,,,best_parent=0,0.2429491998805965,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.478027, 0.131094, 0.407433, -0.450853, 0.075293, 0.306264, -0.248444, 0.497434]","[7.606912, -0.303358, 3.064389, -1.76928, -0.488296, 0.344836, -1.46323, -0.570831]"
5,add_node,goal_bias,5,7,0.005808500005514361,,,0,0,0,True,False,,,,best_parent=0,0.30720023946086217,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.79968, 0.191233, 0.596562, -0.47324, 0.131445, 0.502395, -0.048317, 0.680258]","[6.125336, 1.0, 3.14, -0.774292, 0.886594, 3.14, 2.643031, 3.1389]"
6,add_node,random,3,8,0.007658700000320096,,,0,0,0,True,False,,,,best_parent=0,0.16939884026161023,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.852234, 0.149459, 0.336599, -0.04761, -0.290409, -0.238714, -0.067807, 0.437067]","[1.321006, 0.209027, 0.517696, 0.450346, -0.933209, -1.977578, -0.619029, 0.659831]"
7,add_node,random,6,9,0.010002800001529977,,,0,0,0,True,False,,,,best_parent=0,0.3406482418069996,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.963755, 0.180518, 0.79733, -0.638748, 0.330226, 0.637082, -0.267575, 0.433615]","[3.49881, 0.080269, 2.675683, -2.187217, 2.189986, 1.897193, -2.318912, -1.873928]"
8,add_node,goal_bias,8,10,0.012363600006210618,,,0,0,0,True,False,,,,best_parent=2,0.4126871903781601,"[0.363906, 0.05941, 0.186547, -0.046001, 0.052672, 0.186547, 0.157022, 0.186482]","[2.27393, 0.241597, 0.971936, -0.648851, 0.371694, 0.823632, -0.050639, 0.635248]","[6.125336, 1.0, 3.14, -0.774292, 0.886594, 3.14, 2.643031, 3.1389]"
9,add_node,random,4,11,0.014924900002370123,,,0,0,0,True,False,,,,best_parent=0,0.21783006093906251,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.909062, 0.107452, 0.048778, -0.579619, 0.269451, 0.372463, 0.087503, 0.823387]","[0.31504, -0.434999, -1.232149, -2.746806, 1.620119, 1.006336, 2.244501, 2.999142]"
