iteration,phase,sample_type,nearest_idx,node_count,elapsed_s,phase_elapsed_s,collision_check_elapsed_s,new_node_collision_count,random_new_node_collision_count,rewire_collision_count,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
0,add_node,random,0,2,0.000276099999609869,,,0,0,0,True,False,,,,best_parent=0,0.08,"[6.125336, 1.0, 3.14, -0.774292, 0.886594, 3.14, 2.643031, 3.1389]","[5.922228, 0.98985, 2.954557, -0.567363, 0.897946, 2.960195, 2.304453, 3.106987]","[2.935374, 0.840581, 0.22748, 2.475677, 1.064896, 0.316033, -2.674579, 2.637687]"
1,add_node,goal_bias,1,3,0.0011185000039404258,,,0,0,0,True,False,,,,best_parent=0,0.11737249354297537,"[6.125336, 1.0, 3.14, -0.774292, 0.886594, 3.14, 2.643031, 3.1389]","[5.965002, 0.991988, 2.993624, -0.855183, 1.190953, 2.998075, 2.022492, 3.113942]","[6.125266, 1.0, 3.14, -1.93356, 2.28876, 3.14, 0.966068, 3.14]"
2,add_node,random,2,4,0.0017410000000381842,,,0,0,0,True,False,,,,best_parent=0,0.17197688260976457,"[6.125336, 1.0, 3.14, -0.774292, 0.886594, 3.14, 2.643031, 3.1389]","[5.684397, 0.903656, 2.720907, -0.929689, 1.118642, 2.917836, 1.838396, 3.098609]","[2.225728, -0.185099, -0.640544, -1.848031, 0.227364, 1.928834, -0.430733, 2.909619]"
3,add_node,goal_bias,2,5,0.0025584000031813048,,,0,0,0,True,False,,,,best_parent=0,0.1842623251806826,"[6.125336, 1.0, 3.14, -0.774292, 0.886594, 3.14, 2.643031, 3.1389]","[6.007777, 0.994126, 3.032692, -1.143003, 1.483959, 3.035955, 1.740531, 3.120897]","[6.125266, 1.0, 3.14, -1.93356, 2.28876, 3.14, 0.966068, 3.14]"
4,add_node,random,3,6,0.0036070999994990416,,,0,0,0,True,False,,,,best_parent=0,0.23718973073398977,"[6.125336, 1.0, 3.14, -0.774292, 0.886594, 3.14, 2.643031, 3.1389]","[5.643162, 0.80961, 2.474578, -1.037885, 1.138483, 2.807995, 1.662898, 2.878419]","[4.992224, -0.675009, -1.413996, -2.745876, 1.451696, 1.074038, -1.107517, -0.597523]"
5,extend,goal_bias,4,6,0.004583300004014745,0.0008323999936692417,0.0008323999936692417,1,0,0,False,True,"[[""rt_link_end_0"", ""collision_object_0""]]","[6.032219, 0.995348, 3.055017, -1.307472, 1.651391, 3.057601, 1.579411, 3.124871]",0.5714285714285714,extend_edge_collision,,"[6.007777, 0.994126, 3.032692, -1.143003, 1.483959, 3.035955, 1.740531, 3.120897]","[6.050551, 0.996265, 3.07176, -1.430824, 1.776965, 3.073835, 1.45857, 3.127852]","[6.125266, 1.0, 3.14, -1.93356, 2.28876, 3.14, 0.966068, 3.14]"
6,extend,goal_bias,4,6,0.005401800000981893,0.0006943999978830107,0.0006943999978830107,2,0,0,False,True,"[[""rt_link_end_0"", ""collision_object_0""]]","[6.032219, 0.995348, 3.055017, -1.307472, 1.651391, 3.057601, 1.579411, 3.124871]",0.5714285714285714,extend_edge_collision,,"[6.007777, 0.994126, 3.032692, -1.143003, 1.483959, 3.035955, 1.740531, 3.120897]","[6.050551, 0.996265, 3.07176, -1.430824, 1.776965, 3.073835, 1.45857, 3.127852]","[6.125266, 1.0, 3.14, -1.93356, 2.28876, 3.14, 0.966068, 3.14]"
7,add_node,random,5,7,0.006882400004542433,,,2,0,0,True,False,,,,best_parent=0,0.2869861271179456,"[6.125336, 1.0, 3.14, -0.774292, 0.886594, 3.14, 2.643031, 3.1389]","[5.40375, 0.798284, 2.364631, -0.822978, 0.958254, 2.70898, 1.432487, 2.630889]","[1.166827, 0.597837, 0.418871, 2.980277, -2.231294, 0.956693, -2.645146, -1.7497]"
8,add_node,random,6,8,0.008857100001478102,,,2,0,0,True,False,,,,best_parent=0,0.3455388251697637,"[6.125336, 1.0, 3.14, -0.774292, 0.886594, 3.14, 2.643031, 3.1389]","[5.508121, 0.784906, 2.153511, -0.791451, 0.740018, 2.442242, 1.19721, 2.475775]","[7.233518, 0.563757, -1.336617, -0.27026, -2.867752, -1.967343, -2.692272, -0.088482]"
9,add_node,random,7,9,0.01094800000282703,,,2,0,0,True,False,,,,best_parent=7,0.4255388251697636,"[5.508121, 0.784906, 2.153511, -0.791451, 0.740018, 2.442242, 1.19721, 2.475775]","[5.438049, 0.750649, 1.996244, -0.919684, 0.617277, 2.071656, 1.062184, 2.314765]","[4.458347, 0.271677, -0.202581, -2.712581, -1.098829, -3.109683, -0.825675, 0.063602]"
