iteration,err_norm,position_error,orientation_error,tcp_x,tcp_y,tcp_z,q0_dda_joint_linear_track,q1_dda_joint_carriage,q2_dda_joint_base,q3_dda_joint_shoulder,q4_dda_joint_elbow,q5_dda_joint_wrist1,q6_dda_joint_wrist2,q7_dda_joint_wrist3
0,3.7994330498229503,3.144198096962958,1.717768699266726,0.47255,3.7499999999986655,2.697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.8521391618093235,2.223692088888572,1.560094919217066,1.5722197410534406,3.471003769289337,2.6790036817216483,1.1304475553308106,-0.03030340527373536,-0.1307800832446202,-0.17750230281744456,0.005559869036453856,0.17590897509570008,-0.08409579345814783,0.21091098820600565
2,3.0445870033117073,1.9916737710210666,2.2546381116554057,2.504288976767894,3.8493021173493966,2.016082023493242,1.9997321937938901,0.06270464915062397,-0.358574201816217,0.9665540462911484,-1.9110669614636542,-3.14,-0.05968553535118236,3.14
3,2.4665023441844105,1.565898997254038,1.8092243661651857,2.8830804287789245,3.464753835337875,1.563292349858259,2.4124284103398206,-0.1891448774639773,0.16206716700324908,0.5644784577847015,-2.5481474076473303,-2.10295208366563,0.6096469790584206,3.14
4,2.2432878049640728,1.294315148213112,1.7246547930106524,2.7260375427877763,3.128706992625022,1.293061490936041,2.2793550321355855,-0.5241812370011854,0.21200313442536328,-0.28385574145780634,-2.750060457936342,-1.399928855237794,0.9831670127914991,3.14
5,1.796160422532333,1.0479713667678263,1.3940327804923147,2.5435952447057937,2.7350810393715372,1.1304032682061214,1.9993344413136875,-0.655815086005294,0.39474858422029463,-0.7688084042657666,-2.1809996038844544,-1.411272664041435,1.3679282170766969,3.14
6,1.562688577902593,0.7689069981784524,1.325821973090612,2.399803988995857,2.3978855604345153,1.2938458953564456,1.8260254785018217,-0.8017063653527046,0.3624564064365785,-0.6328813961239996,-1.8395484829955935,-1.8814236203893864,1.5872693716006652,3.14
7,1.432749684620327,0.5746783370570424,1.293268197390911,2.375397666384712,2.166367979730686,1.4556451768941765,1.7865583972550632,-0.905177673474329,0.3446461947018669,-0.5941155427002328,-1.5236332281300595,-2.1733140943835636,1.7392749573681978,3.14
8,1.350228351040926,0.4278620009834571,1.2701648383109132,2.4254806453116613,2.01043351076137,1.5830018410066842,1.8132149889049816,-0.9920775639814431,0.35676064587393413,-0.6028421773180637,-1.259974991876995,-2.3491460505500377,1.8405834159173553,3.14
9,1.2892764301515705,0.32287969154633017,1.242399713143559,2.5083088130030062,1.9783030489240034,1.6711157942480956,1.8574551611566885,-1.0,0.3967810175960057,-0.6262709183259643,-1.0618216855837437,-2.4539109870810982,1.90953922918516,3.14
10,1.2458724942942085,0.24441710010686274,1.21852692008674,2.585157764892134,1.9705769738508603,1.7219269338752419,1.8920265108030252,-1.0,0.4413407312239063,-0.6631042483276314,-0.9109722890759472,-2.513783363174403,1.9523229569015665,3.14
11,1.2123222938284082,0.18833560957882156,1.1959411433097522,2.647886830319668,1.971237715661924,1.7474963921599975,1.9127748712998558,-1.0,0.48516542094978654,-0.7037929852351874,-0.7974754398597549,-2.549458751923148,1.978100704190072,3.14
