iteration,err_norm,position_error,orientation_error,tcp_x,tcp_y,tcp_z,q0_dda_joint_linear_track,q1_dda_joint_carriage,q2_dda_joint_base,q3_dda_joint_shoulder,q4_dda_joint_elbow,q5_dda_joint_wrist1,q6_dda_joint_wrist2,q7_dda_joint_wrist3
0,6.956076102453726,5.19144185643713,2.5935664515717924,0.47255,3.7499999999986655,2.697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4.949514479268878,4.047487513688472,1.8709496411877504,2.468936385447663,4.858315137714247,2.060099069635057,1.760788101516557,0.10017877685992711,-0.2308242308947021,0.9183884796052395,0.31321080071725144,-0.24993927863314253,-0.38515589782182486,-0.3656509892284221
2,3.4925916745897476,3.097076950073025,1.2262480084916185,4.017957686307511,4.753941269941828,1.8980320424286334,2.826973248266227,0.2964720403667741,-0.7298296680562417,1.1093793945241905,0.20931856312417346,-0.22888998058924206,-0.31385374575608116,-0.10394443432717249
3,2.3200522717836987,2.1106790316150765,0.8340642919571238,4.763143258470477,3.9716212400379347,1.567504131586325,3.2988956556520757,0.012961786329727498,-1.1974073646072876,1.1771950277237326,0.5243765008920772,0.08565501555851049,-0.31350760572945047,-0.5703724159853645
4,1.5930390695991492,1.4469001695616581,0.6183110278739974,5.038511044914505,3.332090114445696,1.409448886815166,3.6059135379669542,-0.17601506142739143,-1.5571006175153044,1.1786007483884045,0.7321689062991021,0.3453846808868535,-0.4920497123658535,-0.9271861484277493
5,1.088631220605045,0.991506594402089,0.4331568839779123,5.135060178608056,2.868897364426449,1.3688054275452697,3.845833905218539,-0.24821462537295647,-1.9032368860855473,1.2030387498020265,0.7566849801553385,0.4284805915475324,-0.7318964352781797,-1.0428944526795971
6,0.7358612507159228,0.6747983234324901,0.2883676077644324,5.1708746116689195,2.549258399147532,1.395329388817151,4.062595241998047,-0.3048765718830387,-2.171123449326281,1.2068427300313853,0.7155154029036934,0.47659915789181145,-0.9262684120109133,-1.093959400048691
7,0.4947403987206487,0.4560216157471104,0.19029653949941,5.185583287546913,2.3345888394632404,1.442411232908611,4.24562492869011,-0.35889132588410283,-2.364801410791328,1.1997184273222563,0.6574360268606374,0.5294937975263679,-1.0620155280003456,-1.143283812007591
8,0.3307216926443335,0.3059250870069669,0.12517509933578236,5.192685581754562,2.1910195306478535,1.4867984399586485,4.388196915754862,-0.4085675440210195,-2.5005225419042687,1.1935243811506895,0.5999747858199824,0.5771262433068439,-1.1520705622527936,-1.1876648803633805
9,0.21959089506418714,0.20361714927115407,0.08208289912406726,5.196448227505317,2.0948490510199367,1.5217470029277185,4.491127501167,-0.4514044494214094,-2.592402863956309,1.1903021852232831,0.5512550409677958,0.6146729045269055,-1.209697289401118,-1.2225346045501582
10,0.14486754095062165,0.13454449949586555,0.0536669406043866,5.198423911897677,2.0306163032070685,1.5471346955558245,4.5610355640460005,-0.4856920967612717,-2.6525750986349563,1.1889489041690946,0.5139314115594826,0.6419791565042717,-1.2455446379226518,-1.2472919680660761
11,0.09509179650668692,0.08840777989907342,0.03501046117321436,5.199407417972406,1.987999041765592,1.5647995797660308,4.6067546815929425,-0.5113639887230426,-2.6911613912662435,1.188389008457331,0.48723127940962824,0.6608845948609026,-1.2675432297742018,-1.263832647487451
12,0.062202333940930415,0.0578691173845294,0.02280686669600098,5.199871480139119,1.9599117770741517,1.5767841557502602,4.636156035430886,-0.5296517727455996,-2.715720947699086,1.1881146860184502,0.46891783458229985,0.6736081244837009,-1.2810593903327294,-1.2745703711507554
13,0.04059653646568625,0.03778496953827057,0.014844160285843195,5.200081871363204,1.941492615582497,1.584789688507823,4.654985933527665,-0.5422523385185273,-2.731365470625658,1.187949214694825,0.4566520754285527,0.6820398257344032,-1.2894422543407371,-1.2814731358725568
14,0.026457315825476356,0.02463203100932796,0.009656499030722973,5.20017471739195,1.9294530046493454,1.5900853225531262,4.667062574682888,-0.550751525506444,-2.741370642113914,1.1878376809612115,0.4485427404188312,0.6875812351554261,-1.2947009454453924,-1.285905981814373
15,0.01722681358624771,0.016041387498907742,0.006279821779339515,5.200214965324763,1.9215994290072118,1.593566669054106,4.674831243688886,-0.5564079557231317,-2.7477968418147696,1.1877604761458944,0.44321921102619627,0.6912067008067708,-1.2980334129114952,-1.288758460342097
16,0.011210125282120332,0.010440065398444115,0.004083110862047607,5.200232203192007,1.9164829466822226,1.5958462044882173,4.679843255339493,-0.5601407472249745,-2.75193915565966,1.1877074006371453,0.43973827904564283,0.6935726575343508,-1.300161943010366,-1.2905987375337769
17,0.007292113059556944,0.006791797561821791,0.002654500347305294,5.200239523362118,1.9131522764080915,1.5973349854872423,4.683084307696313,-0.5625908972662298,-2.7546164601244083,1.1876714219124669,0.4374673598556375,0.6951143978048321,-1.3015292794726343,-1.2917886603452426
18,0.004742328997717538,0.0044172351867399215,0.0017256050712708229,5.200242612267,1.9109851953716097,1.5983057077657645,4.685183714704355,-0.5641936311016315,-2.7563501701431306,1.1876473398940197,0.4359878412575014,0.6961181666269991,-1.3024111330828883,-1.2925593783778737
19,0.003083631019540464,0.0028723779921244973,0.0011217058808697265,5.2002439094428015,1.909575643799757,1.5989379634867267,4.686545224961349,-0.5652397305996235,-2.7574743065583163,1.1876313742580185,0.43502471871753146,0.6967713304324515,-1.3029814127956278,-1.2930591832714473
20,0.0020048847596755032,0.0018676018830329577,0.0007291268435197621,5.20024445242796,1.9086590040835887,1.5993494808110735,4.687428902846094,-0.5659215470231217,-2.758203831510433,1.1876208604891043,0.43439807519193113,0.6971962085958785,-1.303350867329736,-1.293383574255652
21,0.0013034311355958788,0.0012142152320538272,0.0004739346663805225,5.200244679555347,1.9080629856500924,1.599617204761443,4.688002755132312,-0.566365526552981,-2.7586775414443356,1.1876139685003606,0.43399048886682884,0.6974725298635303,-1.303590502799292,-1.2935942340646907
22,0.0008473608346842998,0.00078938109037439,0.0003080549851336554,5.20024477495936,1.9076754745680846,1.5997913288650052,4.688375541851824,-0.5666544614628758,-2.7589852576011427,1.187609464437401,0.4337254378063748,0.6976522121434037,-1.303746056759187,-1.2937310879819512
23,0.0005508543083813923,0.0005131739015699147,0.00020023240313205262,5.200244815581957,1.9074235416661818,1.5999045552879336,4.68861776860874,-0.5668424232228448,-2.759185196174103,1.187606526870538,0.43355309928615976,0.697769043205865,-1.3038470828563167,-1.2938200162908744
24,0.00035809426409961586,0.00033360598351477505,0.0001301481836135427,5.200244833409548,1.9072597581053226,1.5999781730990201,4.688775185079617,-0.5669646679734712,-2.759315127474272,1.187604613517059,0.43344105276594724,0.6978450035622291,-1.3039127172401082,-1.2938778116817375
25,0.00023278390237505488,0.00021686902764292673,8.459414804325684e-05,5.2002448416783915,1.9071532835647202,1.6000260342419776,4.688877495902936,-0.5670441594020088,-2.7593995731158767,1.1876033683553155,0.4333682092989567,0.697894389110592,-1.3039553677282099,-1.2939153774605234
26,0.00015132310826809805,0.00014098003506991696,5.4984654840825215e-05,5.200244845850445,1.907084066244969,1.600057148576698,4.68894399584299,-0.5670958443995581,-2.7594544602855655,1.1876025584947982,0.43332085412406246,0.6979264963189749,-1.303983086776442,-1.293939796108863
27,9.836836144545216e-05,9.164638623540878e-05,3.573897433438133e-05,5.200244848184334,1.9070390696568664,1.6000773751919093,4.688987221274681,-0.5671294474639413,-2.759490136934664,1.1876020319513472,0.43329006946853915,0.697947369978019,-1.3040011033744854,-1.2939556695255114
