iteration,err_norm,position_error,orientation_error,tcp_x,tcp_y,tcp_z,q0_dda_joint_linear_track,q1_dda_joint_carriage,q2_dda_joint_base,q3_dda_joint_shoulder,q4_dda_joint_elbow,q5_dda_joint_wrist1,q6_dda_joint_wrist2,q7_dda_joint_wrist3
0,3.7994330498229503,3.144198096962958,1.717768699266726,0.47255,3.7499999999986655,2.697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.8536027274470093,2.2193749548437594,1.5658105364011092,1.5898561256390493,3.4689257371203963,2.694888099138975,1.1293363322418422,-0.1696689870282147,-0.12065674686094756,-0.07761972633887677,0.0263364620099222,0.12307323496090593,-0.09414596763865309,0.14294995679061345
2,4.830058564762392,2.571449506307464,2.969274002251825,1.9105967491452602,4.243166559569922,2.2806315447480356,2.1399868202521777,0.40075114452014765,-2.106455166676477,0.25264672684671297,-1.10459935402912,-2.039939017714459,1.7136464183697013,3.14
3,3.439792014636406,2.3199070367682766,2.1034871861535414,1.6406702296886682,3.834777676477515,2.2319117089784575,0.9151156262046767,0.3588203754025539,-1.7251724432927573,0.27090551666249185,0.9895483163827443,-3.14,1.2766100436960668,3.14
4,2.4712982591622814,1.9130013448921257,1.3895539891965616,1.6681382337340909,3.1633699457649143,2.577059995234757,1.623577771888375,-0.3458298115002089,-1.6611067484749915,-0.24850981874912825,0.5075640805369948,-2.0585583175118787,0.5751643928105371,3.14
5,1.6409821241715496,1.3230228593503022,0.9119296343483814,2.014349492733411,2.5254750543321833,2.556709818185095,1.7211859577196569,-0.9234962553503157,-1.7981598696440235,0.2817899046649801,-0.09628258376643772,-1.731451093873799,0.0679680872516184,2.9449743466937464
6,1.1351493834969555,0.9579081103473545,0.5901407512022686,2.2278507431231787,2.405657665585057,2.2729660800710616,1.419822671560695,-1.0,-1.6898666893921777,0.7935089562175076,-0.1851467729745496,-2.1444254297059326,-0.2227345221759649,3.0271604863784356
7,0.8896296879646352,0.7967262671437504,0.38667515110270456,2.4101665693316097,2.4483708128004684,2.1256393362681574,1.4492623900709505,-1.0,-1.621697322337332,0.9488394263513977,-0.17545540346354863,-2.252442722712904,-0.418262786002762,3.0051067268486737
8,0.758288507397728,0.7137679944994234,0.2510113176987032,2.5379496648593936,2.4868435761657723,2.0149542141015364,1.4922260080401049,-1.0,-1.5797437607673146,1.0557861234649064,-0.18350617173876863,-2.3593191523556287,-0.5470262259274037,3.0261433281930383
9,0.683308681771448,0.6629374878265436,0.16272602921420623,2.6276185658308995,2.50075910713207,1.9323179749767772,1.5338263576555782,-1.0,-1.5696740327886722,1.133654754280157,-0.1979907949771168,-2.4546452697385255,-0.6297046273048246,3.067209319265072
10,0.6323882758919914,0.6231810713426724,0.10583587303293203,2.6897485721137135,2.494568122413281,1.8706006145063963,1.568304447172592,-1.0,-1.580526777787188,1.1914772964009261,-0.21331166508190244,-2.5346830839048895,-0.683109731442311,3.1158106556627354
11,0.59251031917064,0.5870690481953335,0.07905354374618709,2.7322949640415923,2.4757782680205445,1.8248386890773323,1.595846774312376,-1.0,-1.6031306225675557,1.2344271279088943,-0.22780486021963456,-2.600726907046898,-0.7184433097956725,3.14
12,0.5632426857664301,0.5552118538753478,0.0940557585686449,2.7597755006948383,2.45269192932808,1.791604796910903,1.616098608167512,-1.0,-1.6289775677785643,1.2657056072396606,-0.24021577206701064,-2.653077767757155,-0.74257487519812,3.14
13,0.5431026007174601,0.5289537669184109,0.12250278192862767,2.7757507312544876,2.4307782845971153,1.7677799662869391,1.6291830584044509,-1.0,-1.6528229566592496,1.2881469314790235,-0.24997226166977404,-2.6929564656935394,-0.7594600089573863,3.14
14,0.5292573716590878,0.5071814147991022,0.1505553025034604,2.7843503983018962,2.4111583140635684,1.7507491113773677,1.6374415608448467,-1.0,-1.6738610920150763,1.3041879392172626,-0.25754428156507225,-2.7234281459604253,-0.7714765144590815,3.14
15,0.5198142260281053,0.48918820132342855,0.175012264992792,2.788404264473563,2.3942115396537633,1.7386518716813517,1.642576661125812,-1.0,-1.6919015759114775,1.3155472933664727,-0.26333112825336463,-2.74678203904943,-0.7801415384260428,3.14
16,0.5134473862681913,0.4744211273643756,0.19551067516012177,2.789780068352309,2.3799212052723373,1.7301331255910224,1.6457437189454769,-1.0,-1.7070687952957344,1.3234764271382229,-0.2676626336946545,-2.764739524357621,-0.7864554674485481,3.14
17,0.5092101581576085,0.46239458292558583,0.21238894905278918,2.789670958033671,2.36807406242803,1.7241955847496244,1.6476941057567303,-1.0,-1.7196361990150943,1.3289006983746323,-0.27080990291033225,-2.778602017796465,-0.7910955219889794,3.14
18,0.5064274956992861,0.45266970320896877,0.22614422943269089,2.7888144579887792,2.35837443909871,1.7201046529941195,1.648901812619112,-1.0,-1.7299339700430874,1.3325072359268992,-0.2729959271208761,-2.7893564396095,-0.7945298085551027,3.14
19,0.5046238812190098,0.4448541134587472,0.23727527511900853,2.787649495889895,2.3505076272655807,1.7173218865535074,1.6496587539188106,-1.0,-1.7382982159319986,1.3348049563288593,-0.2744042431442926,-2.7977520527535966,-0.7970872704195293,3.14
20,0.5034697150412862,0.43860459794539924,0.2462340492986172,2.7864246304375286,2.3441732967578957,1.71545584970175,1.6501411827660317,-1.0,-1.745044280105929,1.3361683977654253,-0.2751857770796113,-2.8043576308971545,-0.7990021047975282,3.14
21,0.5027403071628882,0.43362745928155355,0.2534128221510956,2.785270447665534,2.3391013390765067,1.7142248068662687,1.6504538343758675,-1.0,-1.7504542098300686,1.3368709349697743,-0.27546433164083717,-2.8096046258817404,-0.8004428113478891,3.14
22,0.5022848736750777,0.4296760437421293,0.2591441475693896,2.7842467746914368,2.3350576312085103,1.7134281769376647,1.6506582714256437,-1.0,-1.7547724609828008,1.3371103005251137,-0.2753410959071832,-2.8138200324191134,-0.8015316646686117,3.14
23,0.5020036825015488,0.4265463151032401,0.2637056932798181,2.783372740624045,2.3318442429751842,1.7129247732291089,1.6507905724110958,-1.0,-1.7582062452747818,1.3370281924210585,-0.27489842637415507,-2.817251488497639,-0.8023580349274843,3.14
24,0.5018316501324597,0.42407149308937747,0.26732673961112186,2.782645443168315,2.3292967968014335,1.712616375585365,1.650872086012827,-1.0,-1.7609283229591655,1.3367252247805061,-0.27420305190483946,-2.8200864444719755,-0.8029876501343792,3.14
25,0.5017268473179926,0.4221165210983147,0.2701949666570693,2.782051211914036,2.3272805726544448,1.7124354793144478,1.6509158056440638,-1.0,-1.7630809089939283,1.3362722033127237,-0.2733087980648407,-2.8224667754467134,-0.8034691204670874,3.14
