iteration,err_norm,position_error,orientation_error,tcp_x,tcp_y,tcp_z,q0_dda_joint_linear_track,q1_dda_joint_carriage,q2_dda_joint_base,q3_dda_joint_shoulder,q4_dda_joint_elbow,q5_dda_joint_wrist1,q6_dda_joint_wrist2,q7_dda_joint_wrist3
0,4.853505476939269,3.1803132921212125,2.593557360720929,0.47255,3.7499999999986655,2.697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3.753379418348485,2.9045982741270415,1.7739569878853092,1.8221804216697353,4.453834295882704,2.576232781532272,1.2123303115616333,0.257481612499741,-0.2877019096149165,0.3532563199591394,0.19549733597691094,0.048694194606798975,-0.3279334115689286,0.018530223701758875
2,1.9437763195438122,1.4737649460753628,1.1651963820298092,2.9368466853410324,3.375736728981198,1.634917548883075,1.529162846634105,-0.7297737672519683,-1.0663384532281752,1.1216778513639383,0.5654893645346731,-0.41462746275091217,-0.033063104277942346,-0.28736277961564183
3,1.3106854771501781,1.0334219083283924,0.7728782584337006,3.0533665540520993,2.8947238214833493,1.4046528166073535,1.5970103649447045,-0.9911553578761358,-1.2484818474915242,1.274655728853959,0.6610899852145655,-0.4005974547017557,-0.2447249859589315,-0.29362651869851736
4,1.002377207089343,0.8553940484085123,0.507670215797964,3.038422413822417,2.6995066691751757,1.3630110846635124,1.5838134063923806,-1.0,-1.4002430639271282,1.2960873008489218,0.7062184489333287,-0.3593448683070494,-0.41447752649477054,-0.26824538504631956
5,0.7934749816840936,0.7176270427917489,0.331719026083867,2.9958056797963373,2.5692337225146002,1.3861942182860738,1.5557269139592238,-1.0,-1.5098334442968562,1.2696526486972493,0.7315338265377876,-0.31014235538907975,-0.5403191218160499,-0.2507491225973008
6,0.6481344600095899,0.6097504379810659,0.21651487396307095,2.9520586942465794,2.4771444732971784,1.4284723161339032,1.5298152630716242,-1.0,-1.5891761757063447,1.2281627242214574,0.7477014743004473,-0.2569290266136839,-0.6282105801598922,-0.248062947262626
7,0.5453331299554697,0.5262545674471435,0.14141464042930885,2.915595711838659,2.408097652084069,1.470416720905378,1.5121326843745986,-1.0,-1.6496351484870257,1.1872472725883818,0.7586399701840087,-0.20514677003706114,-0.6884710779753761,-0.2578903498808692
8,0.47063733554432485,0.4613033548213968,0.09247578944500841,2.887708043913679,2.3534734095815866,1.5055029744229769,1.5028981279588443,-1.0,-1.6980801278370043,1.1525431086629563,0.7661737564090395,-0.157948763165079,-0.7299379232662073,-0.2760695520593819
9,0.4143595383664968,0.409849101880546,0.06056103678720382,2.867282672151315,2.308537514602858,1.5326485027926031,1.5003279155667255,-1.0,-1.7383786393332556,1.1250735049816454,0.7714170977430468,-0.11631240126784712,-0.758967739670354,-0.29909948685374244
10,0.3701912063826597,0.3680297179521838,0.03972759072556604,2.8526951961268314,2.2705329885897307,1.5527529029063767,1.502454454242259,-1.0,-1.7728010945929784,1.1041019920833723,0.7750973476320255,-0.08005974835018342,-0.7798613211583357,-0.32449865049243803
11,0.33414626438349565,0.3331150529201173,0.02611354588001616,2.842450651290387,2.237740177635536,1.567238766954208,1.507679664345533,-1.0,-1.8027702520087288,1.0884038333566726,0.7776843083717693,-0.0485643936381354,-0.7954477164626536,-0.35062338038282087
12,0.30375057684186046,0.30325912518919707,0.017207239353111074,2.8353464216109163,2.2090221000473624,1.577483048775149,1.514835485404298,-1.0,-1.8292329311765068,1.076773319937447,0.7794800822313739,-0.02110679422201539,-0.8075581558229021,-0.37643245762365335
13,0.27746870828675696,0.2772340413141147,0.01137345120345576,2.830471227217177,2.183590631568552,1.5846313746243634,1.5231062625547547,-1.0,-1.8528505171174574,1.068193413386214,0.7806829418517862,0.002977538397235413,-0.8173657537898763,-0.40129768040179636
14,0.25433048274930553,0.2542179012665277,0.007546576907282637,2.827156849900574,2.1608775668724314,1.5895700430031283,1.531935629647024,-1.0,-1.8741029415412283,1.0618652310743428,0.7814286578800634,0.024251284019140257,-0.8256169536267017,-0.42486688441154785
15,0.233701856445431,0.2336474399637163,0.00503168092976635,2.824923516875793,2.1404591466689613,1.592956417821191,1.5409502524117187,-1.0,-1.8933494083749418,1.0571852091459903,0.7818152772877748,0.04317251205334212,-0.8327849246241542,-0.4469685286179303
16,0.21514945834058344,0.21512288001740226,0.0033752784503540637,2.8234319634277782,2.1220097375888765,1.5952649690286447,1.5499038547133765,-1.0,-1.9108660392702619,1.0537076756047377,0.7819172930232808,0.060108011634120974,-0.8391694389652473,-0.46754647349600414
17,0.19836196595927189,0.19834880499619592,0.0022812774755945854,2.822445141063913,2.105272332504585,1.596831759483751,1.5586377134110552,-1.0,-1.926870309940924,1.05110799792177,0.7817935875538652,0.07535038989336518,-0.8449610798808537,-0.4866160258705444
18,0.1831046242084402,0.18309799248080666,0.001556234576430591,2.8217990667721646,2.090039209071083,1.5978915742300868,1.5670531554475111,-1.0,-1.9415374296688221,1.0491514873062016,0.7814919280396474,0.08913402034577601,-0.850282118163364,-0.504234728877929
19,0.1691926985192082,0.16918928375876607,0.0010736739444678122,2.8213812802024245,2.07613894594291,1.5986067523260927,1.5750924900235297,-1.0,-1.955011557298933,1.0476690115653302,0.7810516209224834,0.10164829246575524,-0.8552123274730983,-0.5204832540883934
20,0.15647567384120534,0.15647386885947465,0.0007508213572960794,2.8211152510544473,2.06342752716796,1.599088644716909,1.582725804993619,-1.0,-1.9674135952639338,1.0465386457405188,0.7805052012079731,0.11304802308419057,-0.8598051731038984,-0.5354531371216062
21,0.14482757762446288,0.14482659355752936,0.0005334313530735192,2.8209492706950057,2.051782129290234,1.599413147629498,1.5899418328666386,-1.0,-1.9788466693218647,1.045672216781698,0.7798796117285657,0.12346140121320422,-0.8640978959507825,-0.5492390958648025
22,0.13414083813723832,0.13414028225262595,0.00038589368819036526,2.8208486384775586,2.041096696832965,1.59963173165128,1.5967416426667227,-1.0,-1.9894000250928983,1.0450056009674198,0.7791971009276657,0.1329959597307053,-0.8681177506706717,-0.5619343796890715
