iteration,err_norm,position_error,orientation_error,tcp_x,tcp_y,tcp_z,q0_rt_joint_linear_track,q1_rt_joint_carriage,q2_rt_base,q3_rt_shoulder,q4_rt_elbow,q5_rt_wrist1,q6_rt_wrist2,q7_rt_wrist3
0,8.64126469377386,5.183096230364021,3.141582555790671,0.267,-3.2807478955731993e-13,2.541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7.329874959075842,4.786143526663047,2.8117915000997202,0.4148141097917488,1.3917067780089754,1.9581748852325995,0.0,0.09565045391153598,-0.12711352729330505,0.8346303702695681,8.804654652714961e-06,-0.19029956672403875,-0.8346127609602628,-0.19029956672403875
2,7.528989170748484,5.0818665936813945,2.7007164767284326,0.7509251349156595,0.8246463422761247,-0.45886492540731266,0.0,-0.31639692963706106,-0.46110682657754437,2.271472106618158,0.08105868107921552,-1.1097250034335726,-2.368464987391088,0.09875585448014434
3,4.342934931531954,2.8934269044650613,3.1073849219355405,3.643493810881309,0.758346377574373,-0.42293052008283216,4.3817739874635535,0.7944431258548954,1.5677783841328397,3.14,-1.414200065842573,-1.8656092797531039,-1.0189777145316266,-2.6957533213938065
4,3.5171601630142972,1.937746321986673,2.669695514379958,4.700450497544354,0.7591676295747007,0.17688968850206285,5.354542391563021,0.8440023718848746,1.7109638544679164,3.007801321259741,-2.0852810311223333,-2.8778892429981724,-1.9337109234254295,-2.0184890830390474
5,2.4781685850710207,1.6267795445973234,1.7361821381069455,5.49501686357039,0.8165883975917335,0.44819505717690544,5.880042004667661,0.9100811286429716,1.8265586924982011,2.8881421484030967,-2.419433027166797,-2.817822523673705,-2.911066051055158,-2.522618505801315
6,2.295053497746884,1.4145392514987016,1.6563745990115408,5.778767867648752,1.0402104978799567,0.6922602381599081,5.924970318579738,1.0,1.6482986369873367,2.4180407725908757,-2.7471743590170408,-2.6065404803302488,-3.14,-2.906455528988125
7,1.8430981449421728,1.1553558609998686,1.3561966511284584,6.002346560238163,1.3087788178043014,1.095161282390954,6.463875885392191,1.0,1.2257608214808777,1.9083109568274712,-2.052128455757133,-2.189496947340153,-3.14,-3.14
8,1.6045829232397504,0.8698582102785406,1.306048177401534,5.906361379518328,1.4508350139752484,1.4048678841471893,6.237199379094876,1.0,0.9627829525339966,1.5329786863838868,-1.7890019119618086,-1.8919933400635698,-3.14,-3.14
9,1.3745955334687325,0.6168038075587434,1.2099929520964137,5.748965649957435,1.4804721772493514,1.631781756916153,5.928814807458608,1.0,0.7782375503680855,1.2575979828786314,-1.5715048993635203,-1.6327386766409866,-3.14,-3.14
10,1.1813177791880394,0.4111321949515724,1.101126151714246,5.587465005034437,1.445358193757272,1.7754182159219458,5.649451145016145,1.0,0.6613773940510258,1.067696441452277,-1.4234240184056839,-1.4172322801672668,-3.14,-3.14
11,1.0320719748821225,0.27196817727702427,0.993957134755359,5.457703220766164,1.3974220115100495,1.851835716793045,5.462231397553154,1.0,0.625310893040268,0.9564125987167857,-1.3379988116251904,-1.2560375838156057,-3.14,-3.14
12,0.9269796526644569,0.186517574993078,0.9076770187011585,5.363403260586251,1.3750099412166066,1.8832441576591863,5.356971736403601,1.0,0.6354828670729724,0.9113875279081003,-1.2951554318151053,-1.1364389411866223,-3.14,-3.14
13,0.8592653405554594,0.12794502161179724,0.8495685593374488,5.2982842991887,1.381299385232499,1.890491131658675,5.29888725011944,1.0,0.640033955819956,0.9073135754576958,-1.2751768473507767,-1.035363097761876,-3.14,-3.14
14,0.8192756548740472,0.09593521881500802,0.8135244327528172,5.255887538452512,1.386049058293468,1.888802157638255,5.264606345717433,0.9835340456178964,0.6263046268393354,0.9186049695491223,-1.2628269270658516,-0.9440230230550395,-3.14,-3.14
15,0.7968772362951547,0.08517929789839117,0.7921546430453045,5.229734185548756,1.3858407897352671,1.8841056430985508,5.241207693101783,0.9562242943036848,0.597468724732126,0.9338244203713542,-1.2533645451313047,-0.8599399274384221,-3.14,-3.14
16,0.7843480562664289,0.08451077621747477,0.7795827499489077,5.214229923597926,1.3843225550804519,1.878809796253451,5.220769703848292,0.9267745995555293,0.5575935141118515,0.9482905646069621,-1.2457961077285666,-0.7815446645474987,-3.14,-3.14
17,0.776340198333951,0.08681142966996745,0.7712401132182422,5.205288387472515,1.382883689038518,1.8740865926177916,5.198492158664762,0.8998199360429691,0.5093453826197302,0.9599602092530415,-1.2402520357795075,-0.7073004468313275,-3.14,-3.14
18,0.769040100017562,0.08916386803387004,0.7636019456441011,5.200186034098087,1.3820170536100074,1.870336639229371,5.172148688337101,0.8782105862279712,0.4548871645642001,0.9682245377207993,-1.237486965147742,-0.6360295343762814,-3.14,-3.14
19,0.7598658648146819,0.09065635482675613,0.7541769706880155,5.197201174077982,1.3819114574782105,1.8675692844037168,5.141931936994904,0.8639308159549759,0.39715754872924314,0.9731578583741569,-1.2382198362513595,-0.5674594528127868,-3.14,-3.14
20,0.7475506912561054,0.09108444261787524,0.7417192053330549,5.195351010240661,1.3826482476510584,1.8656386034994852,5.110232649681615,0.8579353492512237,0.3404137310987032,0.9751670406654309,-1.2425326443062983,-0.5024929334885335,-3.14,-3.14
21,0.7321848785143982,0.090524689706838,0.7263133778788009,5.194193463150356,1.3841713026765385,1.8643793080835973,5.0802958577264326,0.859609768305825,0.28889797195042044,0.9748220169553925,-1.249652200230191,-0.44257943792493004,-3.14,-3.14
22,0.7147194229156133,0.089213630483975,0.7088887817161397,5.193568104269841,1.3862561700651654,1.8636609364752823,5.054222122439571,0.867079631316156,0.24468119183300852,0.9726975570709809,-1.258397487506691,-0.3885714446201912,-3.14,-3.14
23,0.6962001615197981,0.08742483315653438,0.6904640718913456,5.193370867509829,1.3886291789043808,1.863378902935458,5.0324091654572864,0.8783250014199474,0.20750368038918215,0.9692568991263001,-1.2677983055552882,-0.3404101288668465,-3.14,-3.14
24,0.67737105097488,0.08537531262944471,0.6717605318680183,5.193488808319025,1.3910861440137137,1.8634369799623602,5.014380518751555,0.8918594873202595,0.17619646135703876,0.9648361354211719,-1.2772899195637346,-0.2976017057479684,-3.14,-3.14
25,0.6586698139572029,0.08320912668313764,0.6532003081387038,5.1938163110237445,1.3935104051156175,1.863747060657621,4.999503363805395,0.9067399340651282,0.1496432256874462,0.9596768352252953,-1.2865984676547793,-0.25960291485533016,-3.14,-3.14
26,0.6403364865536333,0.08101486601967987,0.6350136519187587,5.194269546432156,1.3958458085259002,1.8642347973706908,4.987228068079076,0.9223788129686388,0.12700011083736648,0.9539568147918817,-1.295599795351006,-0.225931254468345,-3.14,-3.14
27,0.6224999422699379,0.07884453145547056,0.6173236495153342,5.194787717402231,1.3980704874332257,1.8648421230841017,4.977110741724293,0.9383978316976195,0.10764286545818567,0.9478100402812694,-1.3042364852677584,-0.19616353598366407,-3.14,-3.14
28,0.6052275182784099,0.07672695660222024,0.6001944509589588,5.195328867932228,1.4001802778383934,1.8655262663826155,4.968789952269126,0.9545439887247326,0.09108819102404692,0.941339215502951,-1.3124797123132494,-0.16991816999670517,-3.14,-3.14
29,0.5885511154412055,0.0746766334933386,0.583656393043449,5.195865061434257,1.4021793871065207,1.8662570723285268,4.961965583774142,0.9706437266323653,0.07694213288996578,0.9346242160871275,-1.3203138151623204,-0.1468437467165654,-3.14,-3.14
30,0.5724810827126998,0.07269943527674275,0.5677192264470973,5.196378413187707,1.4040753846090437,1.8670139859164256,4.956385329326702,0.9865767569860016,0.06487179816990182,0.9277280091612861,-1.327730622640667,-0.12661399585264432,-3.14,-3.14
31,0.5572458297116212,0.07255223125159752,0.5523795625107529,5.19685813615284,1.403616651428796,1.86778336082219,4.9518362000354665,1.0,0.05459033031311933,0.9207008994571302,-1.334727479800859,-0.10892611980144074,-3.14,-3.14
32,0.544599667988471,0.08283940384762761,0.5381063524862644,5.197313006267926,1.3905940165723376,1.8683204449397537,4.948234055887944,1.0,0.045981011421367964,0.9141377782034438,-1.3413737112240391,-0.09356148813504173,-3.14,-3.14
33,0.5354942413505337,0.09064282352625948,0.5275839080850014,5.197798724184259,1.3819936418325247,1.8674176430773626,4.945805308192364,1.0,0.03935687397092821,0.9110692776481846,-1.3479501250446806,-0.08051421439087615,-3.14,-3.14
34,0.5290396293709209,0.09619447712304999,0.5200175792475525,5.19824912930233,1.3763936038635305,1.866013444212956,4.944006038317669,1.0,0.033943899867684396,0.9099148777571507,-1.3536625789473926,-0.06932381775188268,-3.14,-3.14
35,0.5245308372167501,0.10003745186520012,0.5146856744945065,5.198638252215529,1.372791189838948,1.8645703677813181,4.942567772485001,1.0,0.029353963527759992,0.9097471023432206,-1.3582813903087305,-0.05967315257229003,-3.14,-3.14
36,0.5214241234935371,0.10265867479797955,0.5109912646355192,5.198961200194985,1.3704983566650764,1.863289871760839,4.941356213590918,1.0,0.025381909929589195,0.9100388279186957,-1.3618485434211192,-0.051325149997782815,-3.14,-3.14
37,0.5193112149093928,0.10443005451678622,0.5084688376310579,5.199223050134258,1.3690525122353818,1.8622372647269843,4.940303672156567,1.0,0.021910934983635857,0.9105026509742986,-1.3645159694738702,-0.0440923583103653,-3.14,-3.14
38,0.5178926051713033,0.10561973382192885,0.5067696279251174,5.199432692740712,1.3681477568958071,1.8614118893544138,4.939375252271489,1.0,0.018866967135925273,0.9109911668544985,-1.3664626378283857,-0.03782086790366515,-3.14,-3.14
39,0.516952821325984,0.10641569239614417,0.5056397806549315,5.199599652326166,1.3675846937588463,1.8607851480245972,4.938551728005817,1.0,0.01619664832756741,0.9114362476885801,-1.3678560889879565,-0.03238118175994696,-3.14,-3.14
40,0.5163393661968423,0.10694747953837805,0.504898521370625,5.199732619064634,1.3672350418620152,1.860320129739219,4.937821004887461,1.0,0.013856972558607693,0.9118128079053768,-1.3688376868238663,-0.027662674801756864,-3.14,-3.14
41,0.5159458155747539,0.10730327224335152,0.5044193265320883,5.199838914526465,1.3670172960697673,1.8599809891945889,4.937174035173585,1.0,0.01181064879375834,0.9121177004677007,-1.369519735818418,-0.02356999443711427,-3.14,-3.14
42,0.5156988060749341,0.10754247605054537,0.5041148981061366,5.199924429049282,1.3668803029290395,1.859736807398832,4.9366030051446765,1.0,0.010024179978766177,0.9123578057863309,-1.3699879577266172,-0.02002054867960779,-3.14,-3.14
43,0.5155483220012167,0.10770475394915906,0.503925736165437,5.199993769875845,1.3667923526292496,1.8595626240488046,4.93610063475221,1.0,0.00846714651042997,0.9125435955561216,-1.370305913336734,-0.016942627018322845,-3.14,-3.14
44,0.5154606139514499,0.10781637375330334,0.5038117274832954,5.2000504804877075,1.3667340350378223,1.8594391354723625,4.935659983414739,1.0,0.007111960864511484,0.9126858772554083,-1.3705196864315365,-0.014273908952249684,-3.14,-3.14
45,0.5154131321516258,0.10789460701872432,0.5037461002563023,5.200097262319593,1.3666936212622052,1.8593518600021233,4.935274456793448,1.0,0.005933760664674418,0.9127943272409333,-1.3706620866697108,-0.011960227429985355,-3.14,-3.14
46,0.5153909569438953,0.10795074076391957,0.5037111588562628,5.200136169374867,1.3666641153490726,1.8592901793301393,4.934937870415521,1.0,0.004910306749747571,0.9128769849680909,-1.370756117336307,-0.009954514449732228,-3.14,-3.14
47,0.5153843168518638,0.10799211664801665,0.5036953191823058,5.200168766855096,1.3666413960075683,1.8592464461156142,4.93464450924392,1.0,0.004021846082814477,0.912940229006909,-1.3708176926027664,-0.008215887656450553,-3.14,-3.14
48,0.5153868825231568,0.10802349720766191,0.5036910738575082,5.200196254772894,1.3666230608628098,1.859215231203715,4.934389163016521,1.0,0.0032509386150861323,0.9129889664447409,-1.3708576921342717,-0.006708853050193909,-3.14,-3.14
49,0.5153946059486728,0.10804797202326498,0.5036936108994231,5.200219561515346,1.3666077178699219,1.8591927245972717,4.934167135416654,1.0,0.0025822604197302174,0.9130268923475381,-1.3708834738092486,-0.005402607162116433,-3.14,-3.14
50,0.5154049380196866,0.10806755290526616,0.503699885188478,5.200239413328502,1.366594557695587,1.8591762771317715,4.933974232037128,1.0,0.0020023971075539895,0.9130567481647104,-1.3708999642507618,-0.0042704262315114185,-3.14,-3.14
51,0.5154163056623938,0.10808356116216127,0.5037079999117153,5.200256385313854,1.3665831002304407,1.8591640597262429,4.933806733677293,1.0,0.001499638946986726,0.9130805482088048,-1.3709104314299183,-0.003289132132603824,-3.14,-3.14
52,0.5154277652869192,0.10809687732195357,0.5037167979594775,5.200270938626777,1.3665730474039042,1.8591548156154818,4.933661360878863,1.0,0.0010637855528584249,0.9130997646829633,-1.370917023934729,-0.0024386261227725002,-3.14,-3.14
53,0.5154387749035417,0.10810810079667944,0.5037255941676069,5.20028344757346,1.3665641997985645,1.859147683393872,4.93353523427613,1.0,0.0006859648197483924,0.9131154721976774,-1.3709211424707237,-0.0017014824271493268,-3.14,-3.14
54,0.5154490454337587,0.10811765117760515,0.5037340012143863,5.200294219405493,1.366556410805232,1.8591420725037642,4.933425833982263,1.0,0.0003584683532574146,0.913128457158282,-1.3709236927806465,-0.0010625944645041314,-3.14,-3.14
55,0.515458444456595,0.10812583207373923,0.5037418172824492,5.2003035088753515,1.3665495623493462,1.8591375767267453,4.93333096010575,1.0,7.46039909788173e-05,0.9131392986718996,-1.3709252559742506,-0.0005088672432944329,-3.14,-3.14
