iteration,err_norm,position_error,orientation_error,tcp_x,tcp_y,tcp_z,q0_dda_joint_linear_track,q1_dda_joint_carriage,q2_dda_joint_base,q3_dda_joint_shoulder,q4_dda_joint_elbow,q5_dda_joint_wrist1,q6_dda_joint_wrist2,q7_dda_joint_wrist3
0,5.156334310537529,4.581373719352002,1.7177794673188065,0.47255,3.7499999999986655,2.697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4.050541870681639,3.493127172661953,1.579991296658469,1.512791780332413,3.3251139367377087,2.6688247387494766,1.073558156214107,-0.1317184829752015,-0.117690139899757,-0.155659092660166,-0.0749551781444809,0.00014411492083307546,-0.09710912693570316,0.015574935200762098
2,4.725614734850657,2.756591472415598,3.1375956245047125,3.41123473842584,4.292026484957756,0.7761556433858161,3.153908196094158,1.0,-2.8794108405260554,-3.14,-1.4017843300027522,3.14,2.496317739464696,1.5015469344815535
3,3.8798351529757467,2.536737651987253,2.308070001630673,4.738129442753067,4.2975258703561785,0.7797388630463693,4.579114793243484,1.0,-3.14,-3.14,-1.5183204594873456,3.14,2.967601557271607,2.0874016688223627
4,3.486730865226778,2.389276507758408,2.0155748909422537,5.781107161880689,3.623624710563948,0.5168192402195573,5.620566157069697,0.2529328582825656,-3.14,-3.14,-1.059710607113172,2.689276252106212,3.097496750438313,2.5509759787770276
5,3.352596899772837,2.327854337415953,1.938075210699854,6.262774951529384,2.8728440489180507,0.3952148259770051,6.102585442898473,-0.5931106702345318,-3.14,-3.14,-0.7824904294720942,2.4146785172962453,3.0682301320182774,2.685639321861964
6,3.287713129130328,2.2139746177357242,1.9828718767429299,6.349964134128384,2.415165993133847,0.4608718904593744,6.190398639363193,-1.0,-3.14,-3.14,-0.9146181256604049,2.567888940776383,3.0092017085018306,2.6132292389545184
7,3.250544567159163,2.1362842603939116,2.019200271961384,6.307863525108395,2.3736856956469685,0.5265318324406741,6.148532901122361,-1.0,-3.14,-3.14,-1.04082516925439,2.7288679924223245,2.9908614463102015,2.5787054643273755
8,3.22322679794178,2.1029482408871565,2.022913418323748,6.283385076086305,2.3628382536818604,0.5474253902278788,6.123941625928177,-1.0,-3.14,-3.14,-1.075125935100625,2.802796472964769,2.9964350698147357,2.6055706397355047
9,3.196980744669268,2.07991444798748,2.017879664114895,6.264515031837447,2.357016805244791,0.5593254141777863,6.104924967123029,-1.0,-3.14,-3.14,-1.0925344093822953,2.8565640207789995,3.0048410300774098,2.645230465335628
10,3.1711768513628398,2.060359596845035,2.0099225135853556,6.248948787677874,2.351874444226866,0.570103316054654,6.089258058083069,-1.0,-3.14,-3.14,-1.107900236176898,2.9047050287279417,3.010802853582485,2.6868681266566794
11,3.1457088517218588,2.0423597422652082,2.0007449792510434,6.235820269368644,2.3464465872527756,0.5817449036636613,6.076085368034734,-1.0,-3.14,-3.14,-1.1244740750382385,2.952374455238748,3.0131663964570063,2.7284841325930764
12,3.120404276737036,2.0252511395504778,1.9907937543227616,6.224424346123557,2.34068176093022,0.5943927984185314,6.06469473137706,-1.0,-3.14,-3.14,-1.1421026891197243,3.001677070879141,3.0121986897091713,2.770800808848091
13,3.0949314458371058,2.008631454362809,1.9801033163771562,6.214014271089025,2.334712200574828,0.6076747996862477,6.054330099702063,-1.0,-3.14,-3.14,-1.1598314943427572,3.0536115928309546,3.008587023856916,2.8152196989789213
14,3.068799505525251,1.992092815001193,1.9685431320635407,6.203834144120291,2.328620230507463,0.6211795648141338,6.04422781720264,-1.0,-3.14,-3.14,-1.1767903013331023,3.1087777380058483,3.003026173959089,2.8631207380390244
15,3.029902558866881,1.9769036189426223,1.9421971088329069,6.193171786294253,2.3240540713211075,0.6318002871397546,6.033673114953857,-1.0,-3.14,-3.14,-1.192449331214174,3.14,2.996046311159705,2.915667766096311
16,2.9699220938884388,1.9587600956197837,1.8960082880777436,6.181283112167146,2.3191082708280355,0.6462024731186731,6.0220567777019305,-1.0,-3.14,-3.14,-1.2220478587223569,3.14,2.980280687237331,2.96019307243375
17,2.897991118476602,1.9317699751475172,1.8448051927360691,6.168028371931625,2.3107403414393186,0.6751222499831148,6.009449129952873,-1.0,-3.14,-3.14,-1.28033886618596,3.14,2.9481010676615593,2.9842778565552233
18,2.8202643977707686,1.8989184244655606,1.7922111033541634,6.153935243856719,2.3023818162083565,0.7154252152544958,5.996487097090871,-1.0,-3.14,-3.14,-1.359641670480422,3.14,2.902269806065765,2.994846389447818
19,2.742996012633189,1.8630615268337491,1.7424642965198347,6.139442628312112,2.2971488907807958,0.7640416989526628,5.9837583948812,-1.0,-3.14,-3.14,-1.4532137085648114,3.14,2.8447341397147383,2.9977838934359453
20,2.671070058629436,1.8264907215428527,1.6992186197659396,6.124695319802448,2.2973464099740046,0.8181585776088737,5.971588660876634,-1.0,-3.14,-3.14,-1.5558947444911053,3.14,2.7765253295626815,2.998511282822116
21,2.6073363550937345,1.79047430335633,1.6651133354391559,6.109194808687368,2.3044740937278325,0.8755120991874092,5.959696173701756,-1.0,-3.14,-3.14,-1.664554094950035,3.14,2.697903035357762,3.0024899269165726
22,2.552680457834073,1.75493591773715,1.6420100168974627,6.091425065319839,2.3196014471567836,0.9345869065117768,5.946818018081147,-1.0,-3.14,-3.14,-1.7783668591730233,3.14,2.6086605413872777,3.0156270205668734
23,2.5067644610354844,1.718331192187082,1.631808932497886,6.0684856526301525,2.343957923039972,0.99462043625446,5.930320362385724,-1.0,-3.14,-3.14,-1.8990800317257868,3.14,2.5086080686735834,3.044626958457614
24,2.4697001081552084,1.6778292146883176,1.6379323072204808,6.03578021893199,2.3796880426234694,1.0553876257665151,5.905811071215428,-1.0,-3.14,-3.14,-2.031537843736996,3.14,2.3983538589193305,3.097285957582078
25,2.463827737743049,1.6302215640589464,1.6875744595412892,5.986958617556579,2.430956546519654,1.1167164439661732,5.866912158500266,-1.0,-3.14,-3.14,-2.1849965377081735,3.14,2.2805714827486807,3.14
26,2.514279885651646,1.58074842207952,1.7973966458396429,5.9220169668493785,2.5026807269779336,1.1750183632658577,5.812136216495419,-1.0,-3.14,-3.14,-2.368967865071516,3.14,2.1715158885764243,3.14
27,2.6275694150421485,1.5513857381144789,1.9467744366717696,5.853524538735478,2.6072578750239086,1.2253521099813947,5.751102253066265,-1.0,-3.14,-3.14,-2.6104002517534366,3.14,2.0973272390951405,3.14
28,2.914438865998269,1.5931192235474285,2.1970571972644084,5.7910070321836455,2.8009414286825383,1.2457009622892214,5.691238563077415,-1.0,-3.14,-3.14,-3.0305045553096144,3.14,2.074155564122322,3.14
29,2.8753920544764866,1.5908416629524489,2.1431788870944484,5.7587811015321435,2.8380076691430745,1.2374394461860696,5.640058918859214,-1.0,-3.14,-3.14,-3.14,3.14,2.2729335185018473,3.14
30,2.622799146302872,1.569154119507791,1.8859567176072325,5.730049401912279,2.845473295227161,1.2546418041464573,5.5912531167212185,-1.0,-3.14,-2.9287225307772196,-3.1343527271825575,3.14,2.5296943401064365,3.14
31,2.4194833659780945,1.4874905981495452,1.7337786710169827,5.66967402985484,2.8496750203368175,1.5353555037928963,5.526962588009651,-1.0,-3.14,-0.9837217327779473,-3.14,3.14,2.59112662918552,3.14
32,2.4639437542868303,1.5101073101831861,1.7601551000146014,5.5846992033702785,2.9547572027611264,1.3746453735892015,5.442265305743033,-1.0,-3.14,-1.137048004999061,-2.7983408430386194,3.0222913440934693,2.5893180834706144,3.14
33,2.4792730836300287,1.5099183785102892,1.7784531177970795,5.499680239653771,2.9969326987442955,1.234376986890084,5.355807095928587,-1.0,-3.14,-1.3815488649748469,-2.560796293322255,3.0494385324686983,2.614526014736132,3.14
34,2.46006306206328,1.4732163615767395,1.7913719191328823,5.425159114696016,2.975640998781617,1.1412392114081833,5.279402858378825,-1.0,-3.14,-1.5936197327643202,-2.4395480659619517,3.1388080067265234,2.6470513770848854,3.14
35,2.3995929374471165,1.4367337527122377,1.7573820822305188,5.373456877203781,2.940463171492377,1.081282018158463,5.225922313867487,-1.0,-3.14,-1.7644386024069012,-2.3854533707981984,3.14,2.679217344166402,3.14
36,2.3206373270444747,1.3925945732550116,1.7071059829631474,5.346425691919861,2.8985936299647297,1.0762288941036748,5.198061992751539,-1.0,-3.14,-1.878717539316629,-2.4224882300557096,3.14,2.694138078713596,3.14
37,2.2416728369359045,1.3530549180597247,1.6511816779323796,5.339989085348416,2.8676066991820015,1.1133131454901828,5.192231304604046,-1.0,-3.14,-1.9473629432278583,-2.523433764421859,3.14,2.6812876641106187,3.14
38,2.181530966254171,1.3260226741261443,1.6050910140522936,5.343137052159768,2.8582935477461984,1.179170332767804,5.197613117856977,-1.0,-3.14,-1.9712347632585896,-2.6646725855607176,3.14,2.639509457809541,3.14
39,2.150778195628125,1.3136049688346139,1.5798705514384812,5.345386332231381,2.8720562647262566,1.261977341569101,5.203622905047,-1.0,-3.14,-1.9427195858593904,-2.826282962902089,3.14,2.5763075042123935,3.14
40,2.1431347564842493,1.3103197745750714,1.5734244065380814,5.341615588796216,2.8976627395317625,1.3514393271419864,5.204502394459051,-1.0,-3.14,-1.8560231158687603,-2.9860619968239757,3.14,2.5061377963652642,3.14
41,2.1403063701512757,1.305774721537194,1.5737896228719703,5.333341962078011,2.915793158483675,1.43516260406113,5.200570535537317,-1.0,-3.14,-1.7243025309806348,-3.1167856153750817,3.14,2.4460680546063553,3.14
42,2.1302074767588213,1.292370342277042,1.573870146998736,5.325274126253297,2.910391349289948,1.472454490791071,5.195556253102433,-1.0,-3.14,-1.581312564838374,-3.14,3.14,2.4059324630915238,3.14
43,2.1251190403868008,1.28097386756955,1.5778594534366837,5.3209289857213635,2.9013272145548274,1.4903422204082684,5.192333197898509,-1.0,-3.14,-1.4746663815669314,-3.14,3.14,2.3914851179147663,3.14
44,2.126468131002558,1.2737913361672817,1.585559160208892,5.318879050661749,2.8941410036025808,1.4942087053598692,5.190297276520396,-1.0,-3.14,-1.4015895865310837,-3.124842450925275,3.14,2.3911640631896742,3.14
45,2.1367846954219876,1.2725634265198007,1.5985715156885625,5.317922057861498,2.891547202708024,1.478746785990762,5.188769742006997,-1.0,-3.14,-1.3569996061971146,-3.0785595676740876,3.14,2.3983333140764183,3.14
46,2.1558615489045194,1.2782787861257234,1.615850375705076,5.316744777124212,2.8956521902630783,1.4481803973597542,5.186611247208686,-1.0,-3.14,-1.3425803409473984,-3.009008037681212,3.14,2.4109715052048806,3.14
47,2.180204313511157,1.289607729864165,1.6345405935011534,5.314123384658242,2.905291710877628,1.407275455327282,5.182733283998986,-1.0,-3.14,-1.3577081398995348,-2.925651106239534,3.14,2.4275134183646325,3.14
48,2.2040317992126433,1.3031158203873776,1.6509133606726425,5.309351723841695,2.91666566979096,1.3615407631324405,5.176525605423049,-1.0,-3.14,-1.3980697573630843,-2.8400272356821437,3.14,2.446820925757905,3.14
49,2.2216235715688812,1.3146034191906637,1.6619000472172079,5.302624660890572,2.925297502456291,1.31719106611673,5.168267953308659,-1.0,-3.14,-1.454959831131609,-2.764327371293711,3.14,2.467828693337644,3.14
50,2.2297297903670077,1.321124348651559,1.6661467604858264,5.295129753053717,2.9284770557607285,1.2801003618354396,5.159253511553672,-1.0,-3.14,-1.5175093140216576,-2.708273312802088,3.14,2.4891248877486607,3.14
51,2.2281734753669924,1.322032862237836,1.6638722718990313,5.288582143602345,2.9262040860603133,1.2543617771351048,5.151332973768717,-1.0,-3.14,-1.5763767453356945,-2.6768725867581167,3.14,2.5087708363204637,3.14
52,2.2188575161256274,1.318489502601886,1.6562183036507736,5.284435748452913,2.9203350349115,1.2416911018238712,5.146108679434847,-1.0,-3.14,-1.625562437798705,-2.670498379007185,3.14,2.5244748213436936,3.14
53,2.20464043520795,1.3124041400832749,1.644875499797637,5.283294133073313,2.9133037466466947,1.2417840237629332,5.144312524252604,-1.0,-3.14,-1.661856115800666,-2.6862534092046295,3.14,2.5340993533957783,3.14
54,2.188604316482548,1.3056149173083906,1.6319038856526447,5.284796223007016,2.9072303464205467,1.2529534415008456,5.145656888371502,-1.0,-3.14,-1.683614229257598,-2.719328468459315,3.14,2.5363331477342275,3.14
55,2.1734689288369315,1.2994247952676403,1.6194071467630455,5.287928868012515,2.9034011388035807,1.2726312695523596,5.14912445359184,-1.0,-3.14,-1.6900987638751288,-2.7639254164876195,3.14,2.5311986501976063,3.14
56,2.1610676449013417,1.2944285372636226,1.6090521088022254,5.29153959491838,2.902036452673429,1.2977051973773708,5.1534771423647,-1.0,-3.14,-1.6815706325943238,-2.8138248286296887,3.14,2.520123310502364,3.14
57,2.15212252883152,1.290606637337071,1.601725455394479,5.294776924592881,2.90242236026997,1.3247904078444714,5.157712108366455,-1.0,-3.14,-1.6597430735854786,-2.86284404828802,3.14,2.505547012500936,3.14
58,2.146501225524655,1.2876400396297674,1.5975651255023249,5.297273826038697,2.903422561665424,1.3505316752342607,5.161278644062088,-1.0,-3.14,-1.6280288629001276,-2.905394992394102,3.14,2.4902450348923417,3.14
59,2.143779581441543,1.2852877219540706,1.5962917173248625,5.299058880387844,2.9041340622882243,1.3719788952761558,5.1640325968254555,-1.0,-3.14,-1.5911836259642689,-2.9371314945577334,3.14,2.476640393749046,3.14
60,2.1436896332668405,1.283609249382363,1.5975405654240251,5.300325420055138,2.904300257162461,1.3869717780350244,5.166041729178177,-1.0,-3.14,-1.5544079242908744,-2.9554516117085416,3.14,2.466362933383571,3.14
61,2.146183917100116,1.2829237234498194,1.60097678921076,5.301224584023622,2.9042724748453,1.3943881341861255,5.167393612650963,-1.0,-3.14,-1.5223699903552186,-2.9596449935541753,3.14,2.4601587901751865,3.14
62,2.1511939891227128,1.2835833222116197,1.606214360118873,5.301774350956632,2.9046454938365787,1.3941685966637873,5.168098077390908,-1.0,-3.14,-1.4985577710109552,-2.9507094054232033,3.14,2.458057943298711,3.14
63,2.158337716906123,1.2857245184879986,1.6126915961719237,5.301881201526933,2.9058477482622367,1.3871642746765798,5.168091651930052,-1.0,-3.14,-1.4850165441201078,-2.93101234312105,3.14,2.459627790010879,3.14
64,2.1667778872417713,1.2891219016022866,1.6196303928905489,5.30142450366607,2.9078941491112014,1.3749119343929477,5.167304873795381,-1.0,-3.14,-1.482312462229027,-2.903921609486064,3.14,2.464187828043295,3.14
65,2.175307382030989,1.2931988174864135,1.6261217825639622,5.300352545125081,2.9103748894790513,1.3593988514189994,5.165746733873675,-1.0,-3.14,-1.4896084740793025,-2.8734032261628153,3.14,2.470940144893769,3.14
