iteration,err_norm,position_error,orientation_error,tcp_x,tcp_y,tcp_z,q0_rt_joint_linear_track,q1_rt_joint_carriage,q2_rt_base,q3_rt_shoulder,q4_rt_elbow,q5_rt_wrist1,q6_rt_wrist2,q7_rt_wrist3
0,9.928026008246128,6.091893280036042,3.139629241989012,0.267,-3.2807478955731993e-13,2.541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9.049247478038817,5.790583519612513,2.9663764294266044,0.3427621165334966,1.298088904309653,2.0550018246494486,0.0,0.08697901568135363,-0.07183948466823359,0.7588010447344843,-0.0001557534296022306,-0.12929723096992146,-0.7591125515936886,-0.12929723096992146
2,10.29751051978865,6.904593494473721,2.8520393068769403,0.42198290093163854,-0.8550951352935632,-0.9767009778579763,0.0,-1.0,-0.7629402359981337,2.937437592722172,0.10262670612364042,-1.2549976112573664,-3.0874630742192406,0.8651548731604624
3,6.757120877310178,6.7079175514757905,0.6124737234546231,0.1329984996338536,-0.9989042555303996,0.5110012872965473,0.0,-1.0,-3.14,-3.14,3.14,-3.14,-3.14,3.14
4,5.404777063672266,4.985018712088388,1.372734617019114,2.2098289238148086,-0.2126398163875915,-0.45349666110621945,2.0962859839338877,-1.0,-3.117127406028129,3.14,1.4443584247476444,-3.14,2.1770522669904584,2.8723851728449312
5,5.782998762021609,4.614753438326117,2.044817606098415,3.2225062283393924,-0.36089205722033135,-0.9606953100128013,3.090357678991241,-0.780897199201372,-3.14,3.14,0.6714615174332882,-3.14,2.0632569194876886,2.632441417432802
6,7.115522818262776,4.49021508983041,2.928186940100594,3.8604022467719585,-1.2855466508241453,-0.5488367051748125,3.7261765968226457,-0.39479873293106466,-3.14,3.14,-1.1097315043497957,-3.14,1.1992672736224343,2.622168824320187
7,6.794371819075303,4.215655775419433,2.9033401877643787,4.349469430535845,-0.7106370840074271,-1.0035381294126258,4.246366349739843,-0.3721821513445036,-3.14,3.14,-0.2825816962872014,-2.8726596882641804,2.063322037557373,2.568128486989666
8,4.692970468854409,3.2716937212574457,2.2954906752142965,5.013420763284007,-1.1328062349913262,0.6220335681964663,4.871898841875726,-1.0,-3.0749358503682296,1.7074028459257304,3.14,-1.9262954908940353,3.14,3.14
9,3.354767386171466,2.5467313856400944,1.7141608020332704,4.6671815542001855,0.4947795063443857,0.272010504750629,4.542814787110772,0.11354583622034986,-3.14,2.926878809073443,2.5067960719992812,-2.0436109735961185,3.0721908052526934,3.14
10,3.696359522499852,2.5799801473160375,2.0436440831678326,4.457623366654493,1.10084227561491,0.14139498762614425,4.325858121196273,0.453131762366848,-3.14,3.14,2.1081565535886444,-1.7665657827917762,3.14,3.1219074083085907
11,4.020800959537342,2.780020647210532,2.151507998801935,4.771709044441493,1.4059598834899862,-0.3739749165993736,4.690906472866676,0.6532466976258513,-3.1357860137887883,3.14,1.4270694515001832,-1.954441138525199,2.7336502359680743,3.14
12,4.1353383724117805,2.934620202250733,2.1088275374553795,5.357464269426095,1.397161483883162,-0.7787102558123595,5.284079301592267,0.8095663643962628,-3.14,3.14,0.9236497315257511,-2.4446157244191595,2.361723395324699,2.9192399627619414
