iteration,err_norm,position_error,orientation_error,tcp_x,tcp_y,tcp_z,q0_rt_joint_linear_track,q1_rt_joint_carriage,q2_rt_base,q3_rt_shoulder,q4_rt_elbow,q5_rt_wrist1,q6_rt_wrist2,q7_rt_wrist3
0,9.340190670551344,6.11935355849479,2.973021167740329,0.267,-3.2807478955731993e-13,2.541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8.684102175423428,5.52842154909994,2.9861455197928817,0.5239162180489778,1.327333811916687,2.0328641838558776,0.20311180821688118,0.08767381118983687,-0.0511369483052095,0.7728787783387157,0.00785937104368503,-0.10905367179534177,-0.7571600362513458,-0.10905367179534177
2,4.742826051899188,3.3656611891138923,2.8581336567292452,3.405678842039865,0.14342864669126734,1.138242734108203,1.7453921338325324,1.0,1.0707158619546564,-1.1940740901604538,-0.24215873650122563,1.1466051407082636,1.5752419586379514,-2.220184053227792
3,3.9262053504428676,2.9004139163222744,2.2542527955850638,3.4372578778858256,0.72534891715583,2.092221706547342,2.1937792312972855,0.9959025804479791,1.3349295756636967,-0.40009764638509804,-0.5059116815142148,1.059143990524952,0.8642516367784252,-3.14
4,4.53211264077026,2.385863790602257,2.9029812403510014,3.8811053541141893,1.0507142648092576,2.4227367966146525,3.858423566830414,1.0,1.5209398382520725,0.458998944733385,-0.6493450402239732,2.280734855007542,0.2583148176519878,-3.14
5,6.420844655182054,4.856899158711868,2.3590248559565703,1.6353778754734227,1.1242017491301415,0.15087313595958796,0.37295431022884795,1.0,1.6202885634940942,-2.9956729806244535,1.805807784683747,2.6737249783708923,-0.07664962279671567,-3.14
6,10.485275254820152,6.487972089991459,3.10729461465571,0.22654206465867932,-0.8017017526366513,1.390152653026818,0.08196462649855107,-1.0,3.14,-1.1954693466677435,2.158335834711543,0.9269796107263397,3.0330686497782042,-2.487950771080986
7,7.464401504525008,5.041867541071927,2.9027138008350706,2.4052566670541458,-1.1204518422880698,0.5565160308829322,2.2613033778587157,-1.0,3.14,-0.4061144496989505,3.0847333885171597,-0.512110642879845,-0.17586246392119298,-2.3859494824342384
8,7.123980337388712,5.099343620764713,2.5209369380483966,1.5744439697476456,-0.050225765687663806,0.686552939835164,1.4635433422628112,0.04306090944493102,2.739301106965911,-1.2975115724846544,3.14,-0.28010920035274356,-0.6426035501552166,-1.9699153794174795
9,6.377327057188366,4.022829882171134,2.8314313971192027,2.394516820719574,0.8527388410077859,0.7610432484364019,2.211861313337435,0.7582873225408326,2.3189113977550937,-2.1006973527807866,3.14,0.10900208630098457,-1.4442228565512378,-1.7111178019281745
10,5.015284813930402,3.940325720718551,1.933527699257625,2.1496407107714695,1.346657417061916,1.6579081096038206,0.8197738750130008,0.34963553243334994,2.264315007036736,-1.24895988851863,0.585665764581107,-0.3054099516861839,-0.6149997353175233,-1.9341634759033384
