iteration,err_norm,position_error,orientation_error,tcp_x,tcp_y,tcp_z,q0_dda_joint_linear_track,q1_dda_joint_carriage,q2_dda_joint_base,q3_dda_joint_shoulder,q4_dda_joint_elbow,q5_dda_joint_wrist1,q6_dda_joint_wrist2,q7_dda_joint_wrist3
0,2.100603804070658,0.13420492868082742,2.094326157465974,6.0951619799528665,1.8135291856696616,1.5879132043006505,5.190205158110699,-0.9468791528109046,0.4682082748142688,-1.309796791011812,-0.47586919395671495,0.6906730860309058,1.3431497357777524,-1.158018870766006
1,1.4037193556619696,0.14796134314114867,1.3945053644653136,6.094305788775281,1.7802215050007142,1.5779537881430141,5.284760363233798,-1.0,0.37681738900380185,-1.453477580714685,-0.1843393550327484,1.2508556049087867,1.090966558162528,-1.3969415421551505
2,0.9133657878667913,0.11546907429156612,0.9055287648748538,6.096406408159352,1.8124239535007445,1.6066603389942746,5.370181981398363,-1.0,0.3165326059102937,-1.4886303078441756,0.026527194521146796,1.6348495887871206,1.1073554644920018,-1.6542301231388732
3,0.5883358959575564,0.08567577415752828,0.5818918967569726,6.0965538069597915,1.8265449928622863,1.637449746173731,5.439965437784846,-1.0,0.2681539824231318,-1.4750465888503264,0.14034466570327975,1.8466931725982931,1.2256385271835635,-1.765333113991559
4,0.38223266913104276,0.06247608228737082,0.3770335144410528,6.095866583376453,1.834963082919358,1.6634430433229448,5.4792781134056785,-1.0,0.24175221775768416,-1.4530628139982584,0.20109909029431916,1.9601049679076574,1.3173581835725503,-1.7871009957121466
5,0.24972946032480592,0.047954762343710926,0.2450593057146104,6.095355756848187,1.8398172070356271,1.6820211058271837,5.503408466049699,-1.0,0.2252962498049496,-1.4350314271591702,0.23632086070678665,2.028992936545862,1.3764402101833146,-1.7824450851152405
6,0.16422710495053738,0.03942510889092769,0.15941454862131763,6.095070678679177,1.84195438509798,1.6948151530238276,5.520620806003088,-1.0,0.2126470923734872,-1.421564380047407,0.25698499958495824,2.073171310010637,1.4143172824434573,-1.7707628602385275
7,0.10922110915237482,0.03420810803174382,0.10372089823316064,6.094946807150372,1.84225510728272,1.703569250670796,5.534295136799793,-1.0,0.20167394910354777,-1.4116067823527911,0.2686929397010763,2.102146029512223,1.4391856911092935,-1.7580356460877153
8,0.07410399795618722,0.030605281129821364,0.06748605432140008,6.094919058269187,1.8414185480648024,1.7095514471129665,5.54583968052312,-1.0,0.19170931944773842,-1.4041811835380056,0.2747949591031494,2.1214141684824512,1.4560503502552862,-1.7461377725434366
9,0.05194633189248698,0.027752709108248997,0.04390997170713197,6.094940323953519,1.8399359245549975,1.7136322900685914,5.5558833059663515,-1.0,0.18256855423073626,-1.3985706836994973,0.2774110956998126,2.1343977667261793,1.4679109708928322,-1.7355649063877707
10,0.03814517684438537,0.02527275158025496,0.0285709519378008,6.09498143668507,1.8381319280099604,1.7164079783898052,5.564743244362244,-1.0,0.1742033405926261,-1.3942683375141036,0.2779009773411011,2.1432830300396297,1.4765747233830795,-1.7263374831388638
11,0.02959010440673456,0.02301985096335979,0.018591544533428463,6.095026424158289,1.8362121753170009,1.7182889926627807,5.572609022853878,-1.0,0.16658793407851738,-1.3909155516635214,0.27713454793013365,2.149479457600209,1.4831430234992693,-1.7183233316579838
12,0.024188663425120032,0.02094509312438782,0.012099139426035709,6.095067674128277,1.8343014133763553,1.719558669223704,5.57961463403507,-1.0,0.15968835170115003,-1.3882573565602172,0.27566369766413373,2.153899303611167,1.4882971291434206,-1.711356039932736
