iteration,err_norm,position_error,orientation_error,tcp_x,tcp_y,tcp_z,q0_dda_joint_linear_track,q1_dda_joint_carriage,q2_dda_joint_base,q3_dda_joint_shoulder,q4_dda_joint_elbow,q5_dda_joint_wrist1,q6_dda_joint_wrist2,q7_dda_joint_wrist3
0,1.667530383640243,1.6675303836402435,0.0,4.427684499980985,1.8243478414620988,1.7110858044611825,4.35443558480953,-0.8732308403339405,-0.24133878265701486,-1.3602729913656686,-0.08938391671870885,1.4496569105238641,1.8121351145010622,-1.5707963260433282
1,1.0832599892600054,1.083259989255603,2.9571954146410086e-06,5.0120216694850726,1.8362453927901723,1.7110540078031045,4.7712488188967495,-0.85529587274064,-0.0986268125302946,-1.3582670155479375,-0.09356881555679473,1.4518366341636495,1.6694259844167487,-1.5707961350948993
2,0.7045711189484531,0.704571118937654,3.823186138945208e-06,5.390769689632669,1.8375378159857598,1.711032472538909,5.036584219087577,-0.8634157169563252,-0.0017714296285536169,-1.3588586604674608,-0.09238933337019947,1.4512483021214566,1.5725715671277225,-1.5707963006321122
3,0.4582896169961185,0.45828961698190335,3.57838906169108e-06,5.637045904752669,1.834732219799619,1.7110180561822899,5.217348912058452,-0.8767093146180714,0.05468245030517466,-1.3600432858253368,-0.08997653749707057,1.4500196007690183,1.5161174480492248,-1.5707963279432047
4,0.29802918046850485,0.29802918045359267,2.9706054414777276e-06,5.7972791279877605,1.831679224724387,1.7110088102968355,5.339710811759138,-0.8875589076286063,0.08758015171124725,-1.361019702892223,-0.08798274398010571,1.4490019413550255,1.483219102751182,-1.5707963005098422
5,0.19377738305589753,0.19377738304186617,2.3284941836006086e-06,5.901504027058472,1.8292946807377943,1.7110029829982412,5.421259680258118,-0.8952333426491976,0.10739071661901842,-1.3617059257400566,-0.08658009900430876,1.4482854344347833,1.4634078635309258,-1.5707962768420356
6,0.12597955103528216,0.12597955102289016,1.7656461290836987e-06,5.969280876909136,1.827604666257678,1.7109993313360121,5.475068366156187,-0.9004171848623799,0.11964053877079736,-1.3621660360726455,-0.08563906637116486,1.4478045393033212,1.4511574630564712,-1.5707962679033103
7,0.0818969256856648,0.08189692567517459,1.3101163292130733e-06,6.013348498070429,1.8264538187547152,1.7109970483046488,5.510366637700363,-0.9038541078433586,0.1273504878989716,-1.362469315842875,-0.08501851599966397,1.4474873457795996,1.443447057396133,-1.5707962698793831
8,0.05323738549001271,0.05323738548140439,9.571604044885837e-07,6.041997737216741,1.8256852827384338,1.7109956229991108,5.5334422470914095,-0.9061130160071997,0.13225885926310646,-1.3626678079375643,-0.08461222711727759,1.4472796398234942,1.438538341023104,-1.5707962773627548
9,0.03460622174146461,0.03460622173456565,6.906169787798344e-07,6.060621980171182,1.8251774532557068,1.7109947343662073,5.548495839261983,-0.9075909667123158,0.13540670104993183,-1.3627972948031581,-0.08434709754446165,1.4471440834156577,1.435390245287058,-1.570796286568903
10,0.022494907963260043,0.022494907957833737,4.933162140025799e-07,6.072728701337241,1.8248439359770219,1.7109941811462328,5.558303384533569,-0.9085555146873234,0.13743504305580717,-1.3628816284865668,-0.08417436890830839,1.447055762575109,1.433361719602275,-1.5707962954352188
11,0.014622091068848897,0.014622091064649496,3.500980175873873e-07,6.080598493066046,1.8246257026039925,1.7109938373142375,5.564687829785808,-0.9091840709826491,0.13874601716995089,-1.3629365065982495,-0.08406193757694322,1.446998269356319,1.4320506142848133,-1.570796303066417
12,0.009504552488522293,0.00950455248531559,2.45756246186356e-07,6.0857140480299545,1.8244832284916452,1.71099362402509,5.568841752288058,-0.9095933071710669,0.1395950094340921,-1.3629721997436115,-0.08398879094725277,1.4469608626067225,1.43120152918007,-1.5707963092255173
13,0.006178056487054639,0.006178056484633786,1.7120130796843874e-07,6.089039247083544,1.8243903470336489,1.7109934919991527,5.57154351750476,-0.9098596011666624,0.14014552335992594,-1.3629954081727194,-0.083941216440023,1.4469365319517093,1.430650950044997,-1.5707963139960324
14,0.004015788105822635,0.004015788104012552,1.1542389828584848e-07,6.091200669023231,1.8243298510660877,1.7109934104718443,5.573300400091655,-0.9100328202597504,0.14050279027702253,-1.3630104961527632,-0.08391027950470742,1.4469207093084409,1.4302936376021977,-1.570796317587966
15,0.002610290655914285,0.0026102906545733624,7.884953353001449e-08,6.092605614694118,1.824290471567214,1.7109933602637963,5.57444269189897,-0.9101454706435077,0.14073477046698202,-1.3630203039083282,-0.08389016392468832,1.4469104207263386,1.4300616257886882,-1.5707963202377475
16,0.0016967052622838773,0.001696705261298734,5.16191365590357e-08,6.093518840663394,1.8242648473527345,1.7109933294371662,5.5751853210726505,-0.9102187205466903,0.1408854522312758,-1.3630266788864123,-0.08387708542907849,1.4469037311082957,1.4299109221522015,-1.5707963221626726
17,0.001102868146016132,0.0011028681452953761,2.9802322387695312e-08,6.094112443767027,1.8242481777455914,1.7109933105748616,5.575668092341265,-0.9102663462206192,0.14098334915357508,-1.363030822402312,-0.08386858259091685,1.4468993817259967,1.4298130101586328,-1.5707963235444329
18,0.0007168702396199531,0.0007168702390965669,2.1073424255447017e-08,6.094498289361166,1.8242373351861945,1.7109932990778918,5.575981922195014,-0.9102973096579576,0.1410469614992358,-1.3630335154702387,-0.08386305472127817,1.4468965539739362,1.4297493874620273,-1.5707963245268963
19,0.00046596936070157754,0.00046596936032412633,0.0,6.094749091124475,1.8242302834845614,1.7109932921010773,5.57618592509126,-0.910317439498448,0.14108830006365422,-1.3630352657918967,-0.08385946100495589,1.4468947155442904,1.4297080418092987,-1.5707963252200439
20,0.0003028824255028292,0.00030288242523283617,0.0,6.094912113569742,1.8242256975561177,1.710993287888666,5.5763185336097125,-0.9103305259097273,0.1411151656554871,-1.3630364033757625,-0.08385712472596636,1.4468935203252637,1.4296811713760729,-1.5707963257059219
21,0.00019687506990420786,0.00019687506971050012,0.0,6.095018078968332,1.8242227153206814,1.7109932853602348,5.57640473255903,-0.910339033247995,0.14113262608843904,-1.3630371427183783,-0.08385560591990356,1.446892743283049,1.4296637076441827,-1.5707963260446511
22,0.000127969754136499,0.00012796975399965822,0.0,6.095086956988481,1.8242207760232396,1.7109932838530224,5.576460763713542,-0.910344563720424,0.14114397423735925,-1.3630376232322732,-0.08385461855472368,1.4468922381107292,1.42965235725216,-1.5707963262796898
23,8.318095829781445e-05,8.318095819986391e-05,0.0,6.095131728027485,1.8242195149537668,1.7109932829619137,5.576497184997583,-0.9103481589594575,0.1411513499241721,-1.363037935527101,-0.0838539766775835,1.446891909688109,1.429644980043129,-1.5707963264421152
