iteration,err_norm,position_error,orientation_error,tcp_x,tcp_y,tcp_z,q0_dda_joint_linear_track,q1_dda_joint_carriage,q2_dda_joint_base,q3_dda_joint_shoulder,q4_dda_joint_elbow,q5_dda_joint_wrist1,q6_dda_joint_wrist2,q7_dda_joint_wrist3
0,7.16030471768299,6.035975129096098,2.0943951023903686,0.47255,3.7499999999986655,2.697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5.078866993191628,4.406317637285767,1.6449804248748356,2.654694227493234,4.464891689737789,2.5999301729063062,2.0982916286168516,0.2858810676409311,-0.18914193800494744,0.3270558950290171,0.15189656487912337,-0.011098525842211531,-0.23381085482544828,-0.04458949291755028
2,3.9261330337345783,3.5623026639260065,1.203787007912278,3.818948223395154,4.437836347684101,2.6777394976214626,3.569309018884195,1.0,-0.87016711978675,-0.11812625614388234,-0.09594863270575663,0.29143480247398523,0.18187956177513787,0.6402614061284255
3,2.742791833426294,2.57718431899564,0.7831669584470421,5.0186181364762765,4.107116089754981,2.4667557098510335,5.170786099846659,0.8506536108061743,-1.0845764721128088,-0.5096989502892939,-0.11857887774592128,1.4104588587248013,0.1154570840311171,0.22727520567039217
4,1.8832875089424783,1.7978477207847554,0.5114865152830627,5.6969977309005415,3.5962820420248858,2.1688219750777598,6.23048889680013,0.33638175181491803,-1.2944535210803598,-0.8632309373468807,-0.12444421031560464,1.8906104427585944,0.14195635491357542,0.3083427031049164
5,1.2511248284652365,1.2016811982993347,0.3334977485807524,5.998244166624358,3.083887523950435,1.9599478091520397,6.699706136233537,-0.23579285212486323,-1.4010003537231503,-1.0728299091182296,-0.1092368668772696,2.163102708468466,0.11354319928914906,0.3617126536817662
6,0.8214320714352973,0.7910221842031112,0.21719061402405918,6.109955701333764,2.6995193597275158,1.8337523547368286,6.887734389085904,-0.6721635352862333,-1.464219579991194,-1.1930458851732892,-0.09736108059478432,2.312344343957056,0.08199621164063926,0.40357505309312525
7,0.5366001568600973,0.5173181511555527,0.1413572118895397,6.144722731853745,2.4354458080253885,1.7610691481532137,6.959517971031833,-0.9728784650973001,-1.5032118806417591,-1.2611980821423878,-0.09026831098375188,2.3941743460917984,0.05663679344173359,0.4349962783061096
8,0.5161776958117139,0.5077888232377856,0.0919844039943778,6.151495868540451,2.4325675237925015,1.7192503897943068,6.985653410555847,-1.0,-1.5275873704692382,-1.300309485676226,-0.08622919930231099,2.440040651016972,0.038182759498990644,0.45736099518264123
9,0.5242421634191344,0.520757612876567,0.05989331319491651,6.151260190417373,2.448166894835354,1.6937133385594694,6.996335299202273,-1.0,-1.5428497379797768,-1.324278040953144,-0.08347491112603247,2.4682863972051843,0.025306211054820484,0.4715438969217855
