iteration,err_norm,position_error,orientation_error,tcp_x,tcp_y,tcp_z,q0_dda_joint_linear_track,q1_dda_joint_carriage,q2_dda_joint_base,q3_dda_joint_shoulder,q4_dda_joint_elbow,q5_dda_joint_wrist1,q6_dda_joint_wrist2,q7_dda_joint_wrist3,dq0_dda_joint_linear_track,dq1_dda_joint_carriage,dq2_dda_joint_base,dq3_dda_joint_shoulder,dq4_dda_joint_elbow,dq5_dda_joint_wrist1,dq6_dda_joint_wrist2,dq7_dda_joint_wrist3
0,4.235689388952453,3.624986321461638,1.6378338249985964,3.05255,3.7499999999986655,2.697,2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4.95250003507901,3.2481000942535356,2.517688552986523,2.84769754927542,2.352360025777033,1.4863733415798137,2.93,-0.3499999999999996,-0.45715031373926,-1.0990000000413727,-1.099000000020686,1.099,1.0990000000333928,1.0990000000000002,0.3500000000000001,-0.3499999999999996,-0.45715031373926,-1.0990000000413727,-1.099000000020686,1.099,1.0990000000333928,1.0990000000000002
2,3.772697022701577,2.4335157949825454,2.257754856814455,3.973996950192156,2.9582030491949487,2.5199227639362074,3.279999999999992,-0.5861162835277811,0.6418496862607399,-5.225264665398299e-11,-0.7342131714139812,-2.220446049250313e-16,3.339284404546561e-11,2.1195000000000004,0.34999999999999165,-0.23611628352778152,1.099,1.09899999998912,0.36478682860670486,-1.0990000000000002,-1.099,1.0205000000000002
3,2.562347025303335,1.5964233921372424,1.8288932379451213,4.6697961356801825,2.6356936434843172,1.3989510615279064,3.6300000000925094,-0.2361162835277814,0.5476175195139458,-1.0990000000522526,-0.8625299830207398,0.3359652109029676,-0.47345426624118503,2.6297499999999996,0.35000000009251764,0.3499999999999997,-0.09423216674679413,-1.099,-0.12831681160675856,0.3359652109029678,-0.4734542662745779,0.5102499999999992
4,1.910445355772649,1.7331453986732246,0.7173294797634391,4.722940692359479,2.8861702480305516,2.354285595606481,3.980000000158196,-0.22144282535290455,0.46506264737493386,-0.7090701365868357,0.2364700169792604,-0.4458376135622688,-1.211159781096436,1.5307500000623022,0.35000000006568666,0.014673458174876863,-0.08255487213901191,0.3899298634654169,1.0990000000000002,-0.7818028244652364,-0.737705514855251,-1.0989999999376974
5,1.4810605358435518,1.250061476889867,0.7800956095770913,5.829847129552188,3.1448756130345883,1.5275616105622678,4.330000000170234,-0.5714428253529045,1.4755237753436905,-1.7025840742076077,0.43538255186408076,0.6531623864377312,-2.175579890548218,0.4317500000594139,0.35000000001203757,-0.3499999999999999,1.0104611279687568,-0.993513937620772,0.19891253488482036,1.099,-0.9644201094517821,-1.0990000000028883
6,0.7242509927629432,0.5868055313416318,0.42420327798781216,5.596222006967514,2.2325881454608796,1.9958170542247857,4.537953857291191,-0.7857214126764522,0.730047446649401,-1.0487120695401808,0.17279912183829255,-0.3636708797849386,-1.6110970757271206,0.6047674901560783,0.20795385712095715,-0.21427858732354776,-0.7454763286942895,0.6538720046674269,-0.2625834300257882,-1.0168332662226698,0.5644828148210976,0.17301749009666445
7,0.2055666262994117,0.200471688119163,0.04540908809020045,5.926061404248303,2.077685563779604,1.7100962280244667,4.8879538572911905,-0.8928607063387245,0.7192925778922492,-0.764616982690179,-0.9262008781617075,0.48257418557883636,-1.9155957614766481,0.9055546077635647,0.34999999999999964,-0.10713929366227226,-0.010754868757151814,0.28409508685000184,-1.099,0.846245065363775,-0.30449868574952754,0.30078711760748633
8,0.010278653089851627,0.007664306418931439,0.006849018177270455,6.050152968977413,1.9438786820018132,1.7742026014064844,5.075764092450407,-0.9464303531693623,0.6280671434279896,-0.7718281316909363,-0.8190584119795721,0.4606193772086328,-1.874503466660266,1.0127710358917554,0.18781023515921635,-0.05356964683063781,-0.09122543446425957,-0.007211149000757366,0.10714246618213541,-0.021954808370203582,0.0410922948163821,0.10721642812819077
9,2.6199065588111264e-05,2.1608910719954454e-05,1.481368795350408e-05,6.056484678351669,1.9412511198672815,1.7776117947722962,5.082908666221673,-0.9504863445202877,0.6276762870650746,-0.7681062427592787,-0.8183626164274209,0.45281224956836036,-1.8688256364468077,1.0097752257849377,0.007144573771266316,-0.004055991350925381,-0.00039085636291502635,0.003721888931657591,0.0006957955521511572,-0.0078071276402724155,0.005677830213458357,-0.002995810106817709
