iteration,err_norm,position_error,orientation_error,tcp_x,tcp_y,tcp_z,q0_rt_joint_linear_track,q1_rt_joint_carriage,q2_rt_base,q3_rt_shoulder,q4_rt_elbow,q5_rt_wrist1,q6_rt_wrist2,q7_rt_wrist3,dq0_rt_joint_linear_track,dq1_rt_joint_carriage,dq2_rt_base,dq3_rt_shoulder,dq4_rt_elbow,dq5_rt_wrist1,dq6_rt_wrist2,dq7_rt_wrist3
0,5.21683334264535,3.234994901571105,3.0182576636531593,0.267,-3.2807478955731993e-13,2.541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4.271848577400922,2.6759221293194946,2.7496418882655496,0.3245314722469734,0.766104386470635,2.473792973895917,0.0,0.29063876629573454,-0.12897919474257727,0.2697337807987283,0.012518472628252654,-0.1484519920842969,-0.24469683554222305,-0.1484519920842969,0.0,0.29063876629573454,-0.12897919474257727,0.2697337807987283,0.012518472628252654,-0.1484519920842969,-0.24469683554222305,-0.1484519920842969
2,3.9499553797455147,2.5642561435809275,2.6292607289384335,0.3003851009541502,1.0233101285203363,2.5007657002547243,0.0,1.0,-0.9109571683309431,0.25674204814093493,-0.39839276767077153,1.1086211593995594,0.20671018203341146,-0.9421295264376272,0.0,0.7093612337042654,-0.7819779735883658,-0.012991732657793353,-0.4109112402990242,1.2570731514838562,0.4514070175756345,-0.7936775343533302
3,3.1247691031853857,2.1609023053912817,2.110132364434645,0.6752746304146917,1.212091020007082,2.4652436241304994,0.0,1.0,-0.9952021008234478,0.3404135125888455,-0.11259706153831,0.9160343294951232,-0.13414827206154906,-1.0673808899930834,0.0,0.0,-0.08424493249250475,0.08367146444791057,0.2857957061324615,-0.1925868299044362,-0.3408584540949605,-0.1252513635554563
4,2.6241651033379543,1.9667488858691606,1.6606123365946166,0.8651868264455888,1.2295965243922067,2.3574304107340867,0.0,1.0,-1.0702928806289904,0.18421408487094265,0.4135528325309757,0.9424665930713099,-0.5037429283470645,-1.2358024936418204,0.0,0.0,-0.07509077980554257,-0.15619942771790285,0.5261498940692857,0.026432263576186665,-0.3695946562855154,-0.16842160364873693
5,2.255462037849464,1.809581069709161,1.3010975639328985,1.0758380138463628,1.1905829463629283,2.283778903793977,0.11468414489904095,1.0,-1.13870029786137,0.17981985607927534,0.5168098324368557,1.2584361547793077,-0.6893731916502043,-1.6084268122990053,0.11468414489904095,0.0,-0.06840741723237964,-0.004394228791667315,0.10325699990588005,0.31596956170799784,-0.1856302633031398,-0.3726243186571849
6,1.941966026766117,1.625863459385191,1.0339448825315842,1.2531363535608004,1.237183556433079,2.190666958186407,0.17191904874048308,1.0,-1.124495682958303,0.25997395691250547,0.5350131602744084,1.3087865892718642,-0.9136031408331718,-1.7438055227188085,0.05723490384144213,0.0,0.014204614903067014,0.08015410083323013,0.01820332783755263,0.050350434492556495,-0.22422994918296757,-0.1353787104198032
7,1.684836303192847,1.458582364313282,0.8253843728689254,1.411684746335026,1.2875698984655521,2.1015345634789524,0.23582725253588088,1.0,-1.1066963658308713,0.34044136239223394,0.5348612633996578,1.3224440232471193,-1.1062858144379093,-1.8141873594209217,0.0639082037953978,0.0,0.01779931712743177,0.08046740547972847,-0.00015189687475059,0.013657433975255096,-0.19268267360473745,-0.07038183670211318
8,1.472425535591934,1.3102955614483098,0.6597682995363778,1.5520049130335436,1.3386059764448222,2.0215615828185958,0.307427273783218,1.0,-1.085711482256942,0.41173988724970406,0.5271356886064507,1.3295643873755199,-1.2688925789764924,-1.8611535835091393,0.07160002124733711,0.0,0.020984883573929247,0.07129852485747012,-0.007725574793207124,0.007120364128400558,-0.16260676453858314,-0.0469662240882176
9,1.2967386957571132,1.1808309023165475,0.527701546042909,1.6746269051220648,1.3891832117918692,1.9522873615671392,0.38221119526166214,1.0,-1.0625134094184872,0.4730376848620823,0.5155203485557571,1.3345670629193476,-1.405720318708936,-1.895736432272729,0.07478392147844415,0.0,0.023198072838454875,0.061297797612378246,-0.011615340050693534,0.005002675543827717,-0.13682773973244355,-0.034582848763589746
10,1.1513482644451871,1.068845320978358,0.4222184989410435,1.7807736951361286,1.4384445201358975,1.8937416837801793,0.4567422506763946,1.0,-1.0379460057208871,0.5250156007676091,0.5018901464497709,1.3380445179034213,-1.5209747493464687,-1.9227913950426814,0.07453105541473248,0.0,0.02456740369760002,0.051977915905526806,-0.0136302021059862,0.0034774549840737023,-0.11525443063753271,-0.02705496276995234
11,1.030849773816298,0.9724471189086559,0.3379007831122968,1.8719930054650944,1.4857880453500854,1.8451730356780294,0.5288218140081983,1.0,-1.012626436924731,0.5687341381469649,0.4873668200752689,1.3398487760317914,-1.6183867829457466,-1.9449911318791635,0.07207956333180365,0.0,0.025319568796156044,0.043718537379355826,-0.014523326374502044,0.0018042581283701509,-0.09741203359927786,-0.02219973683648213
12,0.9306708011020639,0.8895782311367031,0.27046865151651356,1.949919515267554,1.5308351535475382,1.8054617551091214,0.5971650339679874,1.0,-0.987002615634283,0.6053102474185992,0.47267665918018464,1.339789655612889,-1.701121865508402,-1.9639636824883882,0.06834321995978909,0.0,0.025623821290448046,0.03657610927163424,-0.014690160895084237,-5.9120418902436356e-05,-0.08273508256265538,-0.018972550609224648
13,0.8469724435294044,0.8182372905404798,0.21652190911754876,2.0161511945847574,1.5733787907178227,1.7733680869677564,0.6611099968019746,1.0,-0.9614049565246131,0.6358015454588649,0.4583016200052968,1.337796650012385,-1.7717994051394328,-1.9807442312836188,0.0639449628339872,0.0,0.025597659109669935,0.030491298040265735,-0.01437503917488786,-0.001993005600503972,-0.07067753963103085,-0.01678054879523061
14,0.7765727046515172,0.7565985258259071,0.17335224664476,2.0721887051585637,1.6133356130872796,1.7476758650272406,0.7204056016396729,1.0,-0.9360807665892598,0.6611632445005734,0.44455533702218025,1.3339293253611721,-1.8325565949391132,-1.9959998655596123,0.05929560483769836,0.0,0.025324189935353347,0.025361699041708485,-0.013746282983116531,-0.0038673246512128667,-0.06075718979968037,-0.015255634275993524
15,0.7168714309686041,0.7030643723860387,0.13879958941196674,2.1194076174423,1.6507080970245767,1.7272691183422686,0.7750637443577199,1.0,-0.9112165099164208,0.6822352289678909,0.4316289660635406,1.3283452872584984,-1.8851246069438845,-2.010159695057376,0.05465814271804692,0.0,0.02486425667283898,0.021071984467317506,-0.012926370958639632,-0.005584038102673716,-0.05256801200477135,-0.01415982949776362
16,0.6657728322109424,0.6562770959727424,0.11113963220076493,2.1590479651498287,1.6855564614704341,1.7111665041565058,0.8252580075370232,1.0,-0.8869525036711904,0.6997428438093064,0.41962345264160655,1.3212617243937206,-1.9309020194696267,-2.0234972016542203,0.05019426317930331,0.0,0.024264006245230396,0.017507614841415498,-0.012005513421934066,-0.007083562864777848,-0.04577741252574219,-0.013337506596844406
17,0.6216076054608185,0.6151065023149409,0.08899498977040575,2.1922133904159136,1.7179784900320412,1.698530235496227,0.8712550507510302,1.0,-0.8633929189009122,0.7143041662151974,0.408574355105006,1.3129225508989266,-1.971019233953639,-2.0361846282030496,0.045997043214006994,0.0,0.023559584770278197,0.01456132240589103,-0.01104909753660055,-0.008339173494793961,-0.04011721448401229,-0.012687426548829261
18,0.5830584020000518,0.5786252845869,0.07126474775874282,2.2198758526213282,1.7480952130588863,1.6886604815786554,0.913368780299699,1.0,-0.8406128692838535,0.7264402420060279,0.39847148368058755,1.3035742044413752,-2.006392191722376,-2.048329374429297,0.04211372954866888,0.0,0.022780049617058706,0.012136075790830425,-0.010102871424418458,-0.009348346457551449,-0.03537295776873717,-0.012144746226247616
19,0.5490920078060089,0.5460796034428,0.0570685104207062,2.2428836282307176,1.776040781649002,1.6809822981112452,0.9519302903620411,1.0,-0.8186636999501902,0.7365864176875058,0.38927431465104995,1.2934497018781934,-2.037765872743362,-2.0599982522524924,0.0385615100623421,0.0,0.02194916933366331,0.01014617568147791,-0.0091971690295376,-0.010124502563181759,-0.0313736810209857,-0.011668877823195256
20,0.5189003638788866,0.5168595791489712,0.04570191442520251,2.2619711849898,1.8019553109308086,1.6750294775856185,0.9872686568756278,1.0,-0.7975771557853065,0.7451037107201006,0.3809237871673047,1.2827593789645768,-2.065748938234132,-2.0712334213607613,0.03533836651358668,0.0,0.021086544164883647,0.008517293032594853,-0.008350527483745263,-0.010690322913616601,-0.02798306549077001,-0.011235169108268828
21,0.49185119740651834,0.49047227965417173,0.03660122404224559,2.277769973471193,1.825979841108324,1.6704279277850436,1.019699148945978,1.0,-0.7773688266104001,0.7522896068109274,0.37335103435210953,1.2716865466047553,-2.0908410900555006,-2.0820626393975386,0.03243049207035009,0.0,0.020208329174906448,0.00718589609082676,-0.0075727528151951495,-0.011072832359821483,-0.025092151821368702,-0.010829218036777277
22,0.4674479674983556,0.4665183680160096,0.029315124776261584,2.2908194628086282,1.848252831660354,1.6668800226679998,1.0495164684977756,1.0,-0.7580410892969123,0.7583879445793326,0.36648359682418297,1.2603864991111497,-2.1134546172152073,-2.0925056764892127,0.029817319551797672,0.0,0.019327737313487803,0.006098337768405182,-0.006867437527926568,-0.01130004749360558,-0.02261352715970677,-0.010443037091674157
23,0.4452981668566503,0.44467268466673704,0.023482228177839088,2.3015779471134756,1.868907782174727,1.6641506307106737,1.0769913609012134,1.0,-0.7395856624537197,0.7635977243447292,0.36024964283948413,1.248987636640207,-2.1339313782938087,-2.102578190121923,0.02747489240343781,0.0,0.01845542684319257,0.005209779765396605,-0.006233953984698837,-0.011398862470942683,-0.020476761078601413,-0.010072513632710223
24,0.4250887183668419,0.4246685412298096,0.01881311321266478,2.310432800865855,1.8880716888164315,1.6620550738360536,1.1023694488074551,1.0,-0.7219858330984873,0.7680807947813817,0.3545806665605767,1.237593791034653,-2.152556227014297,-2.1122939571547503,0.025378087906241742,0.0,0.01759982935523241,0.004483070436652525,-0.005668976278907445,-0.01139384560555401,-0.018624848720488085,-0.009715767032827394
25,0.40656715778696084,0.4062852656562939,0.01507597608658219,2.3177099799003766,1.905864121248427,1.6604490079852707,1.1258714952988937,1.0,-0.7052183879876694,0.7719684472477506,0.34941306534091277,1.2262871228734744,-2.169567670299407,-2.1216660725908785,0.02350204649143861,0.0,0.016767445110817847,0.003887652466368907,-0.00516760121966392,-0.011306668161178646,-0.01701144328511006,-0.009372115436128148
26,0.38952739525764507,0.3893384630889749,0.012085154385827013,2.3236826559935513,1.9223967567919216,1.6592200766995662,1.1476945486126253,1.0,-0.6892552719681624,0.7753669941581475,0.34468892101425697,1.2151311749677853,-2.1851663683772005,-2.13070752092008,0.021823053313731577,0.0,0.015963116019507062,0.0033985469103968713,-0.004724144326655799,-0.011155947905689079,-0.015598698077793571,-0.009041448329201618
27,0.37379901902004947,0.37367247171997886,0.009691943859961824,2.328578941656114,1.9377732463234,1.6582811257821668,1.1680135926198763,1.0,-0.6740649934641105,0.7783624330100468,0.3403562382181858,1.2041738274735898,-2.1995219450737995,-2.13943138382199,0.02031904400725093,0.0,0.015190278504051857,0.0029954388518993458,-0.0043326827960711856,-0.010957347494195524,-0.014355576696599037,-0.00872386290190974
28,0.3592392928735032,0.35915455136733143,0.007777246095305689,2.332588711138005,1.9520893151709204,1.6575647494998642,1.1869834479074073,1.0,-0.6596137981391356,0.7810243079126084,0.3363688298890097,1.1934500119396765,-2.2127784680056775,-2.1478508510630783,0.018969855287531034,0.0,0.014451195324974964,0.002661874902561534,-0.003987408329176101,-0.010723815533913328,-0.013256522931877956,-0.00841946724108844
29,0.34572717596234714,0.34567041646848,0.006245679798876407,2.335869557327549,1.9654330248990968,1.6570189468580532,1.2047407533012582,1.0,-0.645866633313568,0.7834088805923102,0.3326859882035426,1.1829841168201807,-2.225058876228592,-2.1559791366690586,0.017757305393850897,0.0,0.013747164825567593,0.002384572679701824,-0.0036828416854670643,-0.010465895119495805,-0.012280408222914652,-0.008128285605980334
