iteration,err_norm,position_error,orientation_error,tcp_x,tcp_y,tcp_z,q0_dda_joint_linear_track,q1_dda_joint_carriage,q2_dda_joint_base,q3_dda_joint_shoulder,q4_dda_joint_elbow,q5_dda_joint_wrist1,q6_dda_joint_wrist2,q7_dda_joint_wrist3,dq0_dda_joint_linear_track,dq1_dda_joint_carriage,dq2_dda_joint_base,dq3_dda_joint_shoulder,dq4_dda_joint_elbow,dq5_dda_joint_wrist1,dq6_dda_joint_wrist2,dq7_dda_joint_wrist3
0,6.631844651496125,4.4158626523624696,2.773492570860513,0.47255,3.7499999999986655,2.697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5.271378895145099,3.9263366879211854,2.252247421343967,0.6153253254292053,2.784002659467333,2.5471619751080916,0.0538752179795963,-0.4181079445026444,0.1598858470200515,-0.4199431365827508,-0.16376839898614218,0.07461584557189012,0.22521521334854847,0.12359719127034402,0.0538752179795963,-0.4181079445026444,0.1598858470200515,-0.4199431365827508,-0.16376839898614218,0.07461584557189012,0.22521521334854847,0.12359719127034402
2,4.586417604775962,3.729777113244408,1.804887385103451,0.8792777847079147,2.82457187958043,2.7034056513442133,0.4244821579990925,-1.0,0.3240702529133146,-0.03017485693249944,0.035393486789955325,-0.29701358970744357,0.355488114044585,-0.4041728527341895,0.3706069400194962,-0.5818920554973557,0.16418440589326308,0.38976827965025135,0.1991618857760975,-0.3716294352793337,0.13027290069603656,-0.5277700440045335
3,3.676453807511798,3.1336890926919936,1.5242002399744563,1.6112028394153608,3.123746234286671,2.5785157777241112,1.0381401747446233,-1.0,-0.42853173810359946,0.5612260484807219,-0.49821842952647855,0.12646377285727206,1.3296504915186889,-1.1872199782836625,0.6136580167455308,0.0,-0.752601991016914,0.5914009054132213,-0.5336119163164339,0.42347736256471563,0.9741623774741038,-0.7830471255494731
4,3.1365664295094366,2.7560659846654425,1.228996181916026,2.0022866418552505,2.982845633297308,2.6202699678434915,1.503130801011987,-1.0,-0.47687388033701866,0.5063272743969257,-0.6209003414463657,0.08059210971568553,1.5479811449945684,-1.2570826882682766,0.46499062626736376,0.0,-0.048342142233419205,-0.054898774083796176,-0.1226819119198872,-0.04587166314158653,0.21833065347587954,-0.06986270998461408
5,2.6936218657863558,2.4267481613651483,0.9903653333071031,2.369783287252464,2.953167085505312,2.583738427061113,1.898612456038419,-1.0,-0.49131823152465787,0.6300101408661537,-0.8807286677662172,0.033093535580649536,1.682874507547297,-1.363151854148589,0.39548165502643196,0.0,-0.014444351187639204,0.12368286646922799,-0.2598283263198514,-0.047498574135036,0.13489336255272866,-0.10606916588031234
6,2.318179108726329,2.130407539788995,0.7970950055567578,2.6922250850821747,2.9251976018279535,2.5094485111642397,2.2446674785394523,-1.0,-0.49943827308773975,0.7791673321489123,-1.1772069486305108,0.02051682632782701,1.768460620965526,-1.4718577157653219,0.34605502250103326,0.0,-0.008120041563081881,0.14915719128275862,-0.2964782808642936,-0.012576709252822525,0.08558611341822897,-0.1087058616167329
7,1.9984201748627781,1.8658208334139925,0.6403776553968815,2.9703577394764156,2.8860991635247943,2.4208128287186765,2.5494746706389186,-1.0,-0.5038103034555175,0.9038237202267079,-1.4496718147487186,0.030790280878434884,1.8185139071606442,-1.5722803126566354,0.3048071920994664,0.0,-0.004372030367777724,0.12465638807779555,-0.27246486611820786,0.010273454550607873,0.050053286195118174,-0.1004225968913135
8,1.7294214414960003,1.6355854207423175,0.5135049133638963,3.2072762263440993,2.843154444850506,2.328489865427356,2.8131044165583474,-1.0,-0.5048156514695794,1.0013484239731627,-1.6892311445553043,0.05753169196999691,1.8437541021816777,-1.658718639311265,0.2636297459194288,0.0,-0.0010053480140619353,0.09752470374645483,-0.23955932980658567,0.02674141109156203,0.025240195021033474,-0.08643832665462958
9,1.5070564266272717,1.4406683438852843,0.41119933361935235,3.4067875875866758,2.8019355639968637,2.238775089541327,3.03680087632655,-1.0,-0.5039259491998886,1.074935618229105,-1.8960150038382326,0.09629368433621432,1.8537638625407207,-1.7298573957580725,0.22369645976820252,0.0,0.0008897022696907619,0.07358719425594229,-0.2067838592829283,0.03876199236621741,0.010009760359042996,-0.07113875644680756
10,1.3269693763264812,1.2801649645571935,0.3290109302097112,3.5731679900666085,2.7655883241701193,2.155355000888514,3.2235774145513276,-1.0,-0.5025973960878244,1.128778838522675,-2.0724356356535796,0.14263279006816548,1.8555183789425376,-1.7872067003993104,0.1867765382247777,0.0,0.0013285531120642569,0.053843220293569916,-0.17642063181534695,0.04633910573195116,0.0017545164018168968,-0.057349304641237886
11,1.1843914523891683,1.15163122117436,0.2631468752843323,3.71084936521727,2.735453950283782,2.0800958407953827,3.3775985100419703,-1.0,-0.5018072561982899,1.1671672196388216,-2.221764526810671,0.19242878334531113,1.8533923429148755,-1.8333107569528666,0.1540210954906427,0.0,0.0007901398895344691,0.03838838111614673,-0.14932889115709136,0.04979599327714565,-0.002126036027662037,-0.046104056553556205
12,1.0741805506888162,1.0514898235243368,0.2104361370676738,3.824122809112745,2.711631515948916,2.0136245904370833,3.503486773486896,-1.0,-0.5020771231568127,1.1939963208116426,-2.34755845209027,0.24242279035510278,1.8498783755362527,-1.8706985372481444,0.12588826344492565,0.0,-0.00026986695852282416,0.026829101172821,-0.12579392527959898,0.04999400700979165,-0.003513967378622862,-0.037387780295277784
13,0.9910098863858696,0.9754896979900975,0.16827885025812242,3.9169305153008507,2.6934830472393783,1.9557917260246696,3.605792964883291,-1.0,-0.5036066466936677,1.2124614044969733,-2.4532746409742123,0.29039110536788465,1.8462890037680253,-1.901481673432443,0.10230619139639519,0.0,-0.001529523536854982,0.01846508368533062,-0.10571618888394241,0.04796831501278187,-0.0035893717682273785,-0.03078313618429851
