frame,timestamp_start,x_m,y_m,z_m,qx,qy,qz,qw
0,2026-06-01 20:59:55.267908,1.0375828742980957,1.007414698600769,-0.3806118965148926,-0.00018659100169315934,0.0003113218699581921,5.827107816003263e-05,-1.0
1,2026-06-01 20:59:55.267908,1.0375837087631226,1.007422924041748,-0.3806138038635254,-0.00014495194773189723,0.0005014005000703037,0.000248643133090809,-0.9999998807907104
2,2026-06-01 20:59:55.267908,1.0375794172286987,1.0074148178100586,-0.38061031699180603,-0.00015861123392824084,0.00034623482497408986,6.527136429212987e-05,-1.0
3,2026-06-01 20:59:55.267908,1.0376014709472656,1.007423996925354,-0.38062113523483276,-0.00011921154509764165,0.0005208084476180375,0.00022586171689908952,-0.9999998807907104
4,2026-06-01 20:59:55.267908,1.0376043319702148,1.007426142692566,-0.38060563802719116,-0.00020412297453731298,0.0003898054710589349,-8.913211058825254e-05,-0.9999998807907104
5,2026-06-01 20:59:55.267908,1.037581205368042,1.0074145793914795,-0.38061147928237915,-0.00019301877182442695,0.00031260092509910464,2.8673714041360654e-05,-1.0
6,2026-06-01 20:59:55.267908,1.0375862121582031,1.0074161291122437,-0.38060998916625977,-0.0001368191879009828,0.0003196702746208757,3.430713331908919e-05,-1.0
7,2026-06-01 20:59:55.267908,1.0375818014144897,1.0074154138565063,-0.3806080222129822,-0.0001415548613294959,0.0003476414131000638,-5.342722943169065e-06,-1.0
8,2026-06-01 20:59:55.267908,1.0375816822052002,1.007420301437378,-0.380609393119812,-0.00013588763249572366,0.00026982565759681165,-5.35662479705934e-07,-1.0
9,2026-06-01 20:59:55.267908,1.037588357925415,1.0074172019958496,-0.38061556220054626,-0.00012826199235860258,0.0003449802752584219,7.053836452541873e-05,-1.0
10,2026-06-01 20:59:55.267908,1.0375820398330688,1.007411003112793,-0.38061416149139404,-0.00013736743130721152,0.0004623343120329082,-1.1186009032826405e-05,-0.9999998807907104
11,2026-06-01 20:59:55.267908,1.0375914573669434,1.0074200630187988,-0.38061487674713135,-9.904384205583483e-05,0.0004732722882181406,0.00018646277021616697,-0.9999998807907104
12,2026-06-01 20:59:55.267908,1.0375783443450928,1.0074256658554077,-0.38060709834098816,-0.00016796347335912287,0.0003570865956135094,4.623860149877146e-05,-1.0
13,2026-06-01 20:59:55.267908,1.0375723838806152,1.0074291229248047,-0.38060688972473145,-0.0001759814185788855,0.0004237978719174862,4.894462472293526e-05,-0.9999998807907104
14,2026-06-01 20:59:55.267908,1.0375804901123047,1.0074310302734375,-0.38061025738716125,-0.00018270390864927322,0.000377070129616186,9.919375770550687e-06,-1.0
15,2026-06-01 20:59:55.267908,1.0375785827636719,1.007414698600769,-0.38061368465423584,-9.751776815392077e-05,0.00029450946021825075,6.9190573412925e-05,-1.0
16,2026-06-01 20:59:55.267908,1.0375840663909912,1.0074139833450317,-0.38061049580574036,-9.08387009985745e-05,0.00040094368159770966,-1.1022840453733806e-06,-1.0
17,2026-06-01 20:59:55.267908,1.0375845432281494,1.0074149370193481,-0.38061198592185974,-0.00016144028631970286,0.0003166227834299207,5.0770533562172204e-05,-1.0
18,2026-06-01 20:59:55.267908,1.0375791788101196,1.0074228048324585,-0.380610853433609,-0.00015909801004454494,0.0003552527632564306,2.5256211301893927e-05,-1.0
19,2026-06-01 20:59:55.267908,1.0376262664794922,1.007455587387085,-0.38061973452568054,-0.00013987437705509365,0.00041270192014053464,-0.00010374424891779199,-0.9999998807907104
20,2026-06-01 20:59:55.267908,1.0375841856002808,1.0074241161346436,-0.3806106746196747,-0.00017643846513237804,0.0003834130766335875,5.959530972177163e-05,-0.9999998807907104
21,2026-06-01 20:59:55.267908,1.0375850200653076,1.0074182748794556,-0.380615770816803,-0.0001635021617403254,0.0003091061080340296,-1.0143008694285527e-05,-1.0
22,2026-06-01 20:59:55.267908,1.0376290082931519,1.0074409246444702,-0.38062387704849243,-0.00017390752327628434,0.0004915501340292394,-0.00011740658374037594,-0.9999998807907104
23,2026-06-01 20:59:55.267908,1.0375823974609375,1.0074244737625122,-0.3806101083755493,-0.00017954122449737042,0.0004104053950868547,-3.421312794671394e-05,-0.9999998807907104
24,2026-06-01 20:59:55.267908,1.0375802516937256,1.007426142692566,-0.3806139826774597,-0.00018369466124568135,0.0003468793584033847,4.9321526603307575e-05,-1.0
25,2026-06-01 20:59:55.267908,1.0375806093215942,1.0074262619018555,-0.3806135058403015,-0.00016259928815998137,0.00033117251587100327,5.810157745145261e-05,-1.0
26,2026-06-01 20:59:55.267908,1.0375804901123047,1.00742506980896,-0.3806079924106598,-0.0001390264369547367,0.00029975679353810847,8.321566565427929e-05,-1.0
27,2026-06-01 20:59:55.267908,1.0375853776931763,1.0074183940887451,-0.3806096017360687,-0.00011004904081346467,0.0002525372547097504,4.473759327083826e-05,-1.0
28,2026-06-01 20:59:55.267908,1.0375854969024658,1.0074191093444824,-0.3806157112121582,-0.00019242642156314105,0.0003087872755713761,8.121144492179155e-05,-1.0
29,2026-06-01 20:59:55.267908,1.037576675415039,1.0074195861816406,-0.38061368465423584,-0.00013967088307254016,0.0003252265742048621,9.216056059813127e-05,-1.0
30,2026-06-01 20:59:55.267908,1.0375711917877197,1.0074210166931152,-0.38060683012008667,-0.00017041375394910574,0.00040878544677980244,9.476054401602596e-05,-0.9999998807907104
31,2026-06-01 20:59:55.267908,1.037582278251648,1.0074247121810913,-0.380610853433609,-0.0001505863619968295,0.00030717445770278573,4.848164462600835e-05,-1.0
32,2026-06-01 20:59:55.267908,1.0375797748565674,1.0074189901351929,-0.3806111812591553,-0.00015863747103139758,0.00035121754626743495,1.6826903447508812e-05,-1.0
33,2026-06-01 20:59:55.267908,1.0375818014144897,1.0074135065078735,-0.38061606884002686,-0.00016340578440576792,0.0002883465203922242,4.470640851650387e-05,-1.0
34,2026-06-01 20:59:55.267908,1.037570595741272,1.0073957443237305,-0.38060808181762695,-0.0001693930389592424,0.00017811333236750215,-5.8153447753284127e-05,-1.0
35,2026-06-01 20:59:55.267908,1.03757905960083,1.0074124336242676,-0.38060784339904785,-0.0001654169027460739,0.00037697271909564734,8.797386544756591e-05,-1.0
36,2026-06-01 20:59:55.267908,1.0375804901123047,1.0074169635772705,-0.3806106448173523,-0.0002280781918670982,0.0003331467160023749,6.732664041919634e-05,-1.0
37,2026-06-01 20:59:55.267908,1.0375810861587524,1.0074217319488525,-0.3806111514568329,-0.00019502406939864159,0.0004207512829452753,6.344511348288506e-05,-0.9999998807907104
38,2026-06-01 20:59:55.267908,1.0375841856002808,1.0074245929718018,-0.3806157410144806,-0.0001697455154499039,0.00036901229759678245,1.9473971406114288e-05,-1.0
39,2026-06-01 20:59:55.267908,1.0375806093215942,1.0074166059494019,-0.3806109130382538,-0.00015724002150818706,0.0003257140633650124,3.8829082768643275e-05,-1.0
40,2026-06-01 20:59:55.267908,1.0375853776931763,1.0074127912521362,-0.3806132972240448,-0.00020111910998821259,0.00038702035089954734,6.887593190185726e-05,-0.9999998807907104
