Order,J1,J2,J3,J4,J5,J6,Speed,Acceleration
1,66.757,-42.499,49.902,-6.537,113.220,0.363,80,100
2,67.075,-41.866,52.806,-12.901,112.408,0.209,80,100
3,66.087,-39.513,56.196,-19.832,110.508,1.193,80,100
4,65.032,-36.907,60.867,-23.222,110.063,4.649,80,100
5,66.656,-35.770,64.060,-27.856,108.826,8.845,80,100
6,67.418,-34.624,65.090,-30.040,108.156,8.655,80,100
7,69.839,-32.067,68.675,-35.356,107.815,7.789,80,100
8,70.589,-30.915,69.682,-37.542,107.116,7.608,80,100
9,71.340,-29.763,70.689,-39.729,106.417,7.427,80,100
10,72.090,-28.611,71.696,-41.916,105.718,7.246,80,100
11,73.884,-28.414,74.984,-46.832,103.601,7.577,80,100
12,73.939,-26.948,79.344,-53.443,104.602,8.091,80,100
13,74.730,-25.703,80.266,-55.580,103.851,7.866,80,100
14,75.520,-24.459,81.187,-57.718,103.099,7.641,80,100
15,77.640,-21.036,84.342,-62.104,101.263,5.077,80,100
16,78.425,-19.803,85.236,-64.267,100.511,4.913,80,100
17,79.209,-18.570,86.131,-66.430,99.759,4.750,80,100
18,79.448,-15.598,84.916,-72.344,96.242,6.084,80,100
19,78.377,-10.845,85.293,-77.941,96.509,4.091,80,100
20,80.687,-6.732,88.437,-82.559,95.499,2.243,80,100
21,81.763,-3.140,91.290,-87.985,92.537,1.165,80,100
22,82.771,-2.087,92.335,-90.090,91.793,1.096,80,100
23,84.881,1.465,94.508,-94.846,91.011,2.927,80,100
24,85.897,2.454,95.562,-96.949,90.218,2.750,80,100
25,86.914,3.443,96.616,-99.053,89.425,2.573,80,100
26,87.930,4.431,97.670,-101.156,88.632,2.396,80,100
27,88.946,5.420,98.724,-103.260,87.838,2.220,80,100
28,89.963,6.409,99.778,-105.363,87.045,2.043,80,100
29,91.446,9.542,102.359,-110.303,84.459,3.358,80,100
30,93.645,11.372,104.449,-114.512,83.004,2.687,80,100
31,94.745,12.287,105.494,-116.616,82.277,2.352,80,100
32,95.844,13.201,106.538,-118.721,81.550,2.017,80,100
33,96.944,14.116,107.583,-120.825,80.822,1.682,80,100
34,98.043,15.031,108.628,-122.929,80.095,1.347,80,100
35,99.142,15.946,109.673,-125.034,79.368,1.011,80,100
36,100.242,16.861,110.718,-127.138,78.640,0.676,80,100
37,101.341,17.776,111.762,-129.242,77.913,0.341,80,100
