Order,J1,J2,J3,J4,J5,J6,Speed,Acceleration
1,66.757,-42.499,49.902,-6.537,113.220,0.363,50,80
2,68.318,-40.968,47.606,-5.952,113.985,0.363,50,80
3,69.818,-39.671,45.659,-5.389,114.634,0.363,50,80
4,71.202,-38.803,44.359,-4.870,115.068,0.363,50,80
5,72.414,-38.499,43.902,-4.416,115.220,0.363,50,80
6,73.409,-38.803,44.359,-4.043,115.068,0.363,50,80
7,74.148,-39.671,45.659,-3.765,114.634,0.363,50,80
8,74.603,-40.968,47.606,-3.595,113.985,0.363,50,80
9,74.757,-42.499,49.902,-3.537,113.220,0.363,50,80
10,74.603,-44.030,52.198,-3.595,112.455,0.363,50,80
11,74.148,-45.327,54.145,-3.765,111.806,0.363,50,80
12,73.409,-46.195,55.445,-4.043,111.372,0.363,50,80
13,72.414,-46.499,55.902,-4.416,111.220,0.363,50,80
14,71.202,-46.195,55.445,-4.870,111.372,0.363,50,80
15,69.818,-45.327,54.145,-5.389,111.806,0.363,50,80
16,68.318,-44.030,52.198,-5.952,112.455,0.363,50,80
17,66.757,-42.499,49.902,-6.537,113.220,0.363,50,80
18,65.196,-40.968,47.606,-7.122,113.985,0.363,50,80
19,63.696,-39.671,45.659,-7.685,114.634,0.363,50,80
20,62.312,-38.803,44.359,-8.204,115.068,0.363,50,80
21,61.100,-38.499,43.902,-8.658,115.220,0.363,50,80
22,60.105,-38.803,44.359,-9.031,115.068,0.363,50,80
23,59.366,-39.671,45.659,-9.309,114.634,0.363,50,80
24,58.911,-40.968,47.606,-9.479,113.985,0.363,50,80
25,58.757,-42.499,49.902,-9.537,113.220,0.363,50,80
26,58.911,-44.030,52.198,-9.479,112.455,0.363,50,80
27,59.366,-45.327,54.145,-9.309,111.806,0.363,50,80
28,60.105,-46.195,55.445,-9.031,111.372,0.363,50,80
29,61.100,-46.499,55.902,-8.658,111.220,0.363,50,80
30,62.312,-46.195,55.445,-8.204,111.372,0.363,50,80
31,63.696,-45.327,54.145,-7.685,111.806,0.363,50,80
32,65.196,-44.030,52.198,-7.122,112.455,0.363,50,80
33,66.757,-42.499,49.902,-6.537,113.220,0.363,50,80
