Order,X,Y,Z,Rx,Ry,Rz,Speed,Acceleration
1,10.000,-258.000,1330.000,0.800,0.000,180.000,120,200
2,33.411,-231.212,1330.000,0.800,0.000,180.000,120,200
3,55.922,-208.503,1330.000,0.800,0.000,180.000,120,200
4,76.668,-193.328,1330.000,0.800,0.000,180.000,120,200
5,94.853,-188.000,1330.000,0.800,0.000,180.000,120,200
6,109.776,-193.328,1330.000,0.800,0.000,180.000,120,200
7,120.866,-208.503,1330.000,0.800,0.000,180.000,120,200
8,127.694,-231.212,1330.000,0.800,0.000,180.000,120,200
9,130.000,-258.000,1330.000,0.800,0.000,180.000,120,200
10,127.694,-284.788,1330.000,0.800,0.000,180.000,120,200
11,120.866,-307.497,1330.000,0.800,0.000,180.000,120,200
12,109.776,-322.672,1330.000,0.800,0.000,180.000,120,200
13,94.853,-328.000,1330.000,0.800,0.000,180.000,120,200
14,76.668,-322.672,1330.000,0.800,0.000,180.000,120,200
15,55.922,-307.497,1330.000,0.800,0.000,180.000,120,200
16,33.411,-284.788,1330.000,0.800,0.000,180.000,120,200
17,10.000,-258.000,1330.000,0.800,0.000,180.000,120,200
18,-13.411,-231.212,1330.000,0.800,0.000,180.000,120,200
19,-35.922,-208.503,1330.000,0.800,0.000,180.000,120,200
20,-56.668,-193.328,1330.000,0.800,0.000,180.000,120,200
21,-74.853,-188.000,1330.000,0.800,0.000,180.000,120,200
22,-89.776,-193.328,1330.000,0.800,0.000,180.000,120,200
23,-100.866,-208.503,1330.000,0.800,0.000,180.000,120,200
24,-107.694,-231.212,1330.000,0.800,0.000,180.000,120,200
25,-110.000,-258.000,1330.000,0.800,0.000,180.000,120,200
26,-107.694,-284.788,1330.000,0.800,0.000,180.000,120,200
27,-100.866,-307.497,1330.000,0.800,0.000,180.000,120,200
28,-89.776,-322.672,1330.000,0.800,0.000,180.000,120,200
29,-74.853,-328.000,1330.000,0.800,0.000,180.000,120,200
30,-56.668,-322.672,1330.000,0.800,0.000,180.000,120,200
31,-35.922,-307.497,1330.000,0.800,0.000,180.000,120,200
32,-13.411,-284.788,1330.000,0.800,0.000,180.000,120,200
33,10.000,-258.000,1330.000,0.800,0.000,180.000,120,200
